Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,ABB,112.8,112.8,112.8,112.8,625,70500.0,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,,,,,,0,,Thursday,1994-11-11,,,False,False,,,False,False,,,False,True,,,False
1994-11-24,,,,,,0,,Thursday,1994-11-18,,,False,False,,,False,False,,,False,True,,,False
1994-12-01,,,,,,0,,Thursday,1994-11-25,1,,False,False,,,False,True,-23.200000000000003,-20.57,False,True,,,False
1994-12-08,ABB,99.2,100.0,88.0,88.0,4063,82500.0,Thursday,1994-12-02,2,,True,False,,,False,True,-23.200000000000003,-20.57,False,True,,,False
1994-12-15,ABB,89.6,89.6,89.6,89.6,313,28000.0,Thursday,1994-12-09,3,,False,False,1.5999999999999943,1.82,True,True,-23.200000000000003,-20.57,False,True,,,False
1994-12-22,,,,,,0,,Thursday,1994-12-16,4,,True,False,,,False,True,-23.200000000000003,-20.57,False,True,,,False
1994-12-29,,,,,,0,,Thursday,1994-12-23,5,,False,False,,,False,True,-23.200000000000003,-20.57,False,True,,,False
1995-01-05,ABB,96.0,96.0,94.4,94.4,1563,118000.0,Thursday,1994-12-30,1,1,False,False,,,False,False,17.60000000000001,19.64,True,False,-6.47999999999999,-7.23,False
1995-01-12,ABB,92.8,96.0,92.0,96.0,2188,90000.0,Thursday,1995-01-06,2,2,True,True,1.5999999999999943,1.69,True,False,17.60000000000001,19.64,True,False,-6.47999999999999,-7.23,False
1995-01-19,ABB,95.2,97.6,95.2,97.6,1251,30500.0,Thursday,1995-01-13,3,3,False,False,1.5999999999999943,1.67,True,False,17.60000000000001,19.64,True,False,-6.47999999999999,-7.23,False
1995-01-26,ABB,96.8,103.2,96.0,103.2,7501,161250.0,Thursday,1995-01-20,4,4,True,True,5.6000000000000085,5.74,True,False,17.60000000000001,19.64,True,False,-6.47999999999999,-7.23,False
1995-02-02,ABB,104.0,116.8,101.12,116.8,19376,876000.0,Thursday,1995-01-27,1,5,False,False,13.599999999999994,13.18,True,True,-4.799999999999997,-4.48,False,False,-6.47999999999999,-7.23,False
1995-02-09,ABB,117.6,120.0,105.76,108.48,9064,305100.0,Thursday,1995-02-03,2,6,True,True,-8.319999999999993,-7.12,False,True,-4.799999999999997,-4.48,False,False,-6.47999999999999,-7.23,False
1995-02-16,ABB,106.8,106.8,102.4,102.4,2813,256000.0,Thursday,1995-02-10,3,7,False,False,-6.079999999999998,-5.6,False,True,-4.799999999999997,-4.48,False,False,-6.47999999999999,-7.23,False
1995-02-23,ABB,102.4,102.4,92.0,96.0,4064,120000.0,Thursday,1995-02-17,4,8,True,True,-6.400000000000006,-6.25,False,True,-4.799999999999997,-4.48,False,False,-6.47999999999999,-7.23,False
1995-03-02,ABB,97.6,102.4,97.6,101.6,7814,190500.0,Thursday,1995-02-24,1,9,False,False,5.599999999999994,5.83,True,False,-6.240000000000009,-6.09,False,False,-6.47999999999999,-7.23,False
1995-03-09,ABB,103.84,111.04,102.4,104.8,10939,294750.0,Thursday,1995-03-03,2,10,True,True,3.200000000000003,3.15,True,False,-6.240000000000009,-6.09,False,False,-6.47999999999999,-7.23,False
1995-03-16,ABB,104.0,104.8,100.48,104.0,14689,747500.0,Thursday,1995-03-10,3,11,False,False,-0.7999999999999972,-0.76,False,False,-6.240000000000009,-6.09,False,False,-6.47999999999999,-7.23,False
