Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2013-07-15,ABFRL,174.0,174.0,156.65,156.65,166167,4497108,Monday,,,False,False,,,False,False,,,False,False,,,False
2013-07-22,ABFRL,150.0,155.0,128.9,142.4,42810,816664,Monday,,,False,False,-14.25,-9.1,False,False,,,False,False,,,False
2013-07-29,ABFRL,135.5,172.0,131.0,155.35,122517,5950372,Monday,,,False,False,12.949999999999989,9.09,True,False,,,False,False,,,False
2013-08-05,ABFRL,155.0,164.0,130.25,144.05,81049,2977514,Monday,1,,False,False,-11.299999999999983,-7.27,False,True,-27.19999999999999,-17.64,False,False,,,False
2013-08-12,ABFRL,145.0,153.9,137.25,143.55,51563,1994340,Monday,2,,True,False,-0.5,-0.35,False,True,-27.19999999999999,-17.64,False,False,,,False
2013-08-19,ABFRL,142.0,147.0,127.0,130.8,110015,5235663,Monday,3,,False,False,-12.75,-8.88,False,True,-27.19999999999999,-17.64,False,False,,,False
2013-08-26,ABFRL,132.0,139.7,121.5,127.0,42499,250444,Monday,4,,True,False,-3.8000000000000114,-2.91,False,True,-27.19999999999999,-17.64,False,False,,,False
2013-09-02,ABFRL,125.4,133.85,116.0,123.3,18328,481487,Monday,1,,False,False,-3.700000000000003,-2.91,False,False,-15.25,-12.01,False,False,,,False
2013-09-09,ABFRL,128.95,135.0,119.0,124.05,29419,179004,Monday,2,,True,False,0.75,0.61,True,False,-15.25,-12.01,False,False,,,False
2013-09-16,ABFRL,123.7,126.7,116.0,118.15,13859,329048,Monday,3,,False,False,-5.8999999999999915,-4.76,False,False,-15.25,-12.01,False,False,,,False
2013-09-23,ABFRL,111.0,126.0,107.05,116.9,34127,294588,Monday,4,,True,False,-1.25,-1.06,False,False,-15.25,-12.01,False,False,,,False
2013-09-30,ABFRL,113.0,121.85,105.0,111.55,282937,17574702,Monday,5,,False,False,-5.3500000000000085,-4.58,False,False,-15.25,-12.01,False,False,,,False
2013-10-07,ABFRL,113.7,116.0,110.0,111.15,48940,903983,Monday,1,,False,False,-0.3999999999999915,-0.36,False,True,-10.5,-9.4,False,False,,,False
2013-10-14,ABFRL,112.0,112.0,101.15,108.1,56590,2587806,Monday,2,,True,False,-3.0500000000000114,-2.74,False,True,-10.5,-9.4,False,False,,,False
2013-10-21,ABFRL,110.0,111.0,100.5,103.55,83929,2375334,Monday,3,,False,False,-4.549999999999997,-4.21,False,True,-10.5,-9.4,False,False,,,False
2013-10-28,ABFRL,101.55,104.0,97.5,99.05,28010,129260,Monday,4,,True,False,-4.5,-4.35,False,True,-10.5,-9.4,False,False,,,False
2013-11-04,ABFRL,98.1,101.0,90.05,92.15,16920,442044,Monday,1,,False,False,-6.8999999999999915,-6.97,False,False,-14.150000000000006,-13.98,False,False,,,False
2013-11-11,ABFRL,94.9,94.9,80.7,83.8,21869,231204,Monday,2,,True,False,-8.350000000000009,-9.06,False,False,-14.150000000000006,-13.98,False,False,,,False
2013-11-18,ABFRL,83.0,84.0,77.05,79.9,25546,167071,Monday,3,,False,False,-3.8999999999999915,-4.65,False,False,-14.150000000000006,-13.98,False,False,,,False
2013-11-25,ABFRL,78.5,96.15,75.0,87.1,41382,2054515,Monday,4,,True,False,7.199999999999989,9.01,True,False,-14.150000000000006,-13.98,False,False,,,False
2013-12-02,ABFRL,86.5,89.95,83.05,84.25,25949,241629,Monday,1,,False,False,-2.8499999999999943,-3.27,False,True,2.5500000000000114,2.93,True,False,,,False
