Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2013-01-01,ABFRL,174.0,174.0,75.0,89.65,1687273,1844549,Tuesday,False,,,False
2014-01-01,ABFRL,89.9,144.9,80.1,120.15,4721061,1645214,Wednesday,True,30.5,34.02,True
2015-01-01,ABFRL,119.0,245.0,107.25,231.3,26244954,26630264,Thursday,False,111.15,92.51,True
2016-01-01,ABFRL,233.0,263.45,122.9,138.05,189939396,24675334,Friday,True,-93.25,-40.32,False
2017-01-01,ABFRL,138.5,188.45,136.1,172.45,135934601,145928400,Sunday,False,34.39999999999998,24.92,True
2018-01-01,ABFRL,170.1,215.75,132.1,202.5,249033169,107606472,Monday,True,30.05000000000001,17.43,True
2019-01-01,ABFRL,202.45,247.3,179.7,231.7,154046579,126708848,Tuesday,False,29.19999999999999,14.42,True
2020-01-01,ABFRL,232.9,285.5,97.0,165.6,527868451,609549248,Wednesday,True,-66.1,-28.53,False
2021-01-01,ABFRL,166.65,310.0,148.5,272.25,875120737,977944896,Friday,False,106.65,64.4,True
2022-01-01,ABFRL,272.0,359.5,221.3,287.5,1056375295,0,Saturday,True,15.25,5.6,True
2023-01-01,ABFRL,287.5,290.0,202.7,222.65,177468835,0,Sunday,False,-64.85,-22.56,False
