Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-11-26,ADANIPORTS,154.0,210.0,154.0,184.31,208047928,4248126208,Monday,,,False,False,,,False,False,,,False,False,,,False
2007-12-03,ADANIPORTS,187.95,226.8,184.4,220.48,73361745,2478089472,Monday,1,,False,False,36.16999999999999,19.62,True,True,69.44999999999999,37.68,True,False,,,False
2007-12-10,ADANIPORTS,222.0,230.0,203.2,222.1,33530185,1189053440,Monday,2,,True,False,1.6200000000000045,0.73,True,True,69.44999999999999,37.68,True,False,,,False
2007-12-17,ADANIPORTS,228.0,233.6,204.3,212.04,20504465,660809920,Monday,3,,False,False,-10.060000000000002,-4.53,False,True,69.44999999999999,37.68,True,False,,,False
2007-12-24,ADANIPORTS,219.0,254.8,217.05,249.82,28347780,1454124800,Monday,4,,True,False,37.78,17.82,True,True,69.44999999999999,37.68,True,False,,,False
2007-12-31,ADANIPORTS,252.67,264.8,246.6,248.07,14941325,683178560,Monday,5,,False,False,-1.75,-0.7,False,True,69.44999999999999,37.68,True,False,,,False
2008-01-07,ADANIPORTS,248.0,255.78,212.6,217.17,14223565,669902144,Monday,1,1,False,False,-30.900000000000006,-12.46,False,False,-86.22999999999999,-33.98,False,True,-188.7,-74.36,False
2008-01-14,ADANIPORTS,216.48,216.48,194.98,198.92,17477270,673198976,Monday,2,2,True,True,-18.25,-8.4,False,False,-86.22999999999999,-33.98,False,True,-188.7,-74.36,False
2008-01-21,ADANIPORTS,199.0,201.0,132.01,173.14,13926540,349781760,Monday,3,3,False,False,-25.78,-12.96,False,False,-86.22999999999999,-33.98,False,True,-188.7,-74.36,False
2008-01-28,ADANIPORTS,167.0,172.8,156.64,165.07,6860015,168694112,Monday,4,4,True,True,-8.069999999999993,-4.66,False,False,-86.22999999999999,-33.98,False,True,-188.7,-74.36,False
2008-02-04,ADANIPORTS,169.58,174.48,153.03,156.81,5667700,223473840,Monday,1,5,False,False,-8.259999999999991,-5.0,False,True,-20.400000000000006,-12.18,False,True,-188.7,-74.36,False
