Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2015-12-21,ALKEM,1380.0,1543.95,1356.2,1523.75,16435189,8305729536,Monday,,,False,False,,,False,True,,,False,False,,,False
2015-12-28,ALKEM,1532.7,1540.5,1434.0,1503.1,5285669,764096384,Monday,,,False,False,-20.65000000000009,-1.36,False,True,,,False,False,,,False
2016-01-04,ALKEM,1499.9,1588.9,1458.45,1477.2,3142837,281032864,Monday,1,1,False,False,-25.899999999999864,-1.72,False,False,-126.45000000000005,-8.51,False,True,143.4000000000001,9.65,True
2016-01-11,ALKEM,1463.4,1492.0,1364.0,1431.65,1338511,368273344,Monday,2,2,True,True,-45.549999999999955,-3.08,False,False,-126.45000000000005,-8.51,False,True,143.4000000000001,9.65,True
2016-01-18,ALKEM,1421.0,1421.05,1281.0,1366.8,1798776,227417760,Monday,3,3,False,False,-64.85000000000014,-4.53,False,False,-126.45000000000005,-8.51,False,True,143.4000000000001,9.65,True
2016-01-25,ALKEM,1373.8,1377.8,1330.0,1358.8,462999,185169120,Monday,4,4,True,True,-8.0,-0.59,False,False,-126.45000000000005,-8.51,False,True,143.4000000000001,9.65,True
2016-02-01,ALKEM,1361.0,1430.9,1330.0,1338.05,524277,41593284,Monday,1,5,False,False,-20.75,-1.53,False,True,-94.14999999999986,-6.93,False,True,143.4000000000001,9.65,True
2016-02-08,ALKEM,1345.0,1389.75,1252.6,1319.75,772481,683651584,Monday,2,6,True,True,-18.299999999999955,-1.37,False,True,-94.14999999999986,-6.93,False,True,143.4000000000001,9.65,True
2016-02-15,ALKEM,1359.5,1359.5,1286.0,1310.35,480718,99148944,Monday,3,7,False,False,-9.400000000000091,-0.71,False,True,-94.14999999999986,-6.93,False,True,143.4000000000001,9.65,True
2016-02-22,ALKEM,1310.0,1320.0,1227.0,1279.55,317883,52557520,Monday,4,8,True,True,-30.799999999999955,-2.35,False,True,-94.14999999999986,-6.93,False,True,143.4000000000001,9.65,True
2016-02-29,ALKEM,1279.8,1347.0,1252.55,1311.3,302360,73234800,Monday,5,9,False,False,31.75,2.48,True,True,-94.14999999999986,-6.93,False,True,143.4000000000001,9.65,True
2016-03-07,ALKEM,1345.0,1379.0,1325.0,1367.2,244817,74515128,Monday,1,10,False,True,55.90000000000009,4.26,True,False,91.79999999999995,7.26,True,True,143.4000000000001,9.65,True
2016-03-14,ALKEM,1350.0,1389.7,1318.3,1374.95,298359,144996720,Monday,2,11,True,False,7.75,0.57,True,False,91.79999999999995,7.26,True,True,143.4000000000001,9.65,True
2016-03-21,ALKEM,1386.85,1388.0,1340.9,1355.8,156726,83724720,Monday,3,12,False,True,-19.15000000000009,-1.39,False,False,91.79999999999995,7.26,True,True,143.4000000000001,9.65,True
