Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-10,AMBUJACEM,24.67,24.67,24.67,24.67,3000,74000.0,Thursday,1994-11-04,,,False,False,,,False,False,,,False,True,,,False
1994-11-17,AMBUJACEM,22.33,23.0,22.0,23.0,12000,138000.0,Thursday,1994-11-11,,,False,False,-1.6700000000000017,-6.77,False,False,,,False,True,,,False
1994-11-24,AMBUJACEM,22.0,22.83,22.0,22.83,4500,68500.0,Thursday,1994-11-18,,,False,False,-0.1700000000000017,-0.74,False,False,,,False,True,,,False
1994-12-01,AMBUJACEM,22.14,22.67,22.0,22.67,10500,102000.0,Thursday,1994-11-25,1,,False,False,-0.1599999999999966,-0.7,False,True,-2.0700000000000003,-9.41,False,True,,,False
1994-12-08,,,,,,0,,Thursday,1994-12-02,2,,True,False,,,False,True,-2.0700000000000003,-9.41,False,True,,,False
1994-12-15,AMBUJACEM,21.33,21.33,21.33,21.33,1500,32000.0,Thursday,1994-12-09,3,,False,False,,,False,True,-2.0700000000000003,-9.41,False,True,,,False
1994-12-22,AMBUJACEM,22.0,22.0,20.07,20.07,28500,30100.0,Thursday,1994-12-16,4,,True,False,-1.259999999999998,-5.91,False,True,-2.0700000000000003,-9.41,False,True,,,False
1994-12-29,AMBUJACEM,20.33,20.67,19.93,19.93,84000,1495000.0,Thursday,1994-12-23,5,,False,False,-0.14000000000000057,-0.7,False,True,-2.0700000000000003,-9.41,False,True,,,False
1995-01-05,AMBUJACEM,20.74,20.74,20.0,20.0,9000,30000.0,Thursday,1994-12-30,1,1,False,False,0.07000000000000028,0.35,True,False,0.21000000000000085,1.05,True,False,-1.8299999999999983,-9.18,False
1995-01-12,AMBUJACEM,19.67,20.0,19.33,19.67,426000,88500.0,Thursday,1995-01-06,2,2,True,True,-0.3299999999999983,-1.65,False,False,0.21000000000000085,1.05,True,False,-1.8299999999999983,-9.18,False
