Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-05-22,APOLLOHOSP,15.0,15.25,15.0,15.05,1400,6020,Monday,,,False,False,,,False,False,,,False,False,,,False
1995-05-29,APOLLOHOSP,16.5,18.25,16.5,18.25,4600,3650,Monday,,,False,False,3.1999999999999993,21.26,True,False,,,False,False,,,False
1995-06-05,APOLLOHOSP,18.5,18.63,18.0,18.58,4700,55725,Monday,1,,False,False,0.3299999999999983,1.81,True,True,0.0,0.0,False,False,,,False
1995-06-12,APOLLOHOSP,18.13,19.25,18.13,19.0,12000,9500,Monday,2,,True,False,0.4200000000000017,2.26,True,True,0.0,0.0,False,False,,,False
1995-06-19,APOLLOHOSP,19.25,19.25,18.38,18.5,3700,12950,Monday,3,,False,False,-0.5,-2.63,False,True,0.0,0.0,False,False,,,False
1995-06-26,APOLLOHOSP,18.3,18.3,16.5,18.0,215100,18000,Monday,4,,True,False,-0.5,-2.7,False,True,0.0,0.0,False,False,,,False
1995-07-03,APOLLOHOSP,18.33,19.33,17.5,18.6,258000,11160,Monday,1,,False,False,0.6000000000000014,3.33,True,False,0.5,2.78,True,False,,,False
1995-07-10,APOLLOHOSP,19.0,19.0,18.0,18.25,805900,14673000,Monday,2,,True,False,-0.3500000000000014,-1.88,False,False,0.5,2.78,True,False,,,False
1995-07-17,APOLLOHOSP,18.5,18.95,18.0,18.95,800800,7580,Monday,3,,False,False,0.6999999999999993,3.84,True,False,0.5,2.78,True,False,,,False
1995-07-24,APOLLOHOSP,18.5,19.63,18.02,18.5,6900,18500,Monday,4,,True,False,-0.4499999999999993,-2.37,False,False,0.5,2.78,True,False,,,False
1995-07-31,APOLLOHOSP,18.75,18.75,18.5,18.5,2200,3700,Monday,5,,False,False,0.0,0.0,False,False,0.5,2.78,True,False,,,False
1995-08-07,APOLLOHOSP,18.5,18.5,17.0,18.38,17600,154350,Monday,1,,False,False,-0.120000000000001,-0.65,False,True,-2.120000000000001,-11.46,False,False,,,False
1995-08-14,APOLLOHOSP,17.5,18.48,17.5,17.5,3900,10500,Monday,2,,True,False,-0.879999999999999,-4.79,False,True,-2.120000000000001,-11.46,False,False,,,False
1995-08-21,APOLLOHOSP,17.5,18.0,17.5,17.5,14400,1750,Monday,3,,False,False,0.0,0.0,False,True,-2.120000000000001,-11.46,False,False,,,False
1995-08-28,APOLLOHOSP,16.38,16.38,16.38,16.38,800,3275,Monday,4,,True,False,-1.120000000000001,-6.4,False,True,-2.120000000000001,-11.46,False,False,,,False
1995-09-04,APOLLOHOSP,15.5,16.5,15.25,16.0,110500,1600,Monday,1,,False,False,-0.379999999999999,-2.32,False,False,1.620000000000001,9.89,True,False,,,False
1995-09-11,APOLLOHOSP,17.5,17.5,16.5,17.0,4300,32300,Monday,2,,True,False,1.0,6.25,True,False,1.620000000000001,9.89,True,False,,,False
1995-09-18,APOLLOHOSP,17.13,17.5,16.0,16.5,4300,3300,Monday,3,,False,False,-0.5,-2.94,False,False,1.620000000000001,9.89,True,False,,,False
1995-09-25,APOLLOHOSP,16.02,18.0,16.02,18.0,2600,3600,Monday,4,,True,False,1.5,9.09,True,False,1.620000000000001,9.89,True,False,,,False
1995-10-02,APOLLOHOSP,17.75,17.75,16.5,16.88,1600,20250,Monday,1,,False,False,-1.120000000000001,-6.22,False,True,-2.0,-11.11,False,False,,,False
1995-10-09,APOLLOHOSP,17.7,17.75,16.5,17.13,3400,20550,Monday,2,,True,False,0.25,1.48,True,True,-2.0,-11.11,False,False,,,False
1995-10-16,APOLLOHOSP,17.25,17.38,16.25,16.5,2300,16500,Monday,3,,False,False,-0.629999999999999,-3.68,False,True,-2.0,-11.11,False,False,,,False
1995-10-23,APOLLOHOSP,16.0,18.25,16.0,17.0,7600,15300,Monday,4,,True,False,0.5,3.03,True,True,-2.0,-11.11,False,False,,,False
1995-10-30,APOLLOHOSP,17.0,17.0,16.0,16.5,5100,13200,Monday,5,,False,False,-0.5,-2.94,False,True,-2.0,-11.11,False,False,,,False
1995-11-06,APOLLOHOSP,16.55,18.0,15.5,18.0,7800,72000,Monday,1,,False,False,1.5,9.09,True,False,0.25,1.56,True,False,,,False
1995-11-13,APOLLOHOSP,18.0,18.0,15.0,16.0,805100,24000,Monday,2,,True,False,-2.0,-11.11,False,False,0.25,1.56,True,False,,,False
1995-11-20,APOLLOHOSP,16.0,16.0,14.0,15.0,9500,28500,Monday,3,,False,False,-1.0,-6.25,False,False,0.25,1.56,True,False,,,False
1995-11-27,APOLLOHOSP,15.0,16.5,15.0,16.45,10400,19740,Monday,4,,True,False,1.4499999999999993,9.67,True,False,0.25,1.56,True,False,,,False
1995-12-04,APOLLOHOSP,16.25,17.5,15.0,16.0,7200,19200,Monday,1,,False,False,-0.4499999999999993,-2.74,False,True,1.75,10.77,True,False,,,False
1995-12-11,APOLLOHOSP,16.02,19.75,16.0,18.1,42700,222630,Monday,2,,True,False,2.1000000000000014,13.13,True,True,1.75,10.77,True,False,,,False
1995-12-18,APOLLOHOSP,18.1,19.0,17.63,18.08,823800,101220,Monday,3,,False,False,-0.020000000000003126,-0.11,False,True,1.75,10.77,True,False,,,False
1995-12-25,APOLLOHOSP,18.0,18.5,18.0,18.0,13900,70200,Monday,4,,True,False,-0.0799999999999983,-0.44,False,True,1.75,10.77,True,False,,,False
1996-01-01,APOLLOHOSP,18.0,18.38,17.0,17.0,8900,28900,Monday,1,1,False,False,-1.0,-5.56,False,False,-1.5,-8.33,False,True,-2.6799999999999997,-14.89,False
1996-01-08,APOLLOHOSP,17.0,18.25,16.63,18.25,8700,43800,Monday,2,2,True,True,1.25,7.35,True,False,-1.5,-8.33,False,True,-2.6799999999999997,-14.89,False
1996-01-15,APOLLOHOSP,17.88,18.88,16.25,17.13,5800,10275,Monday,3,3,False,False,-1.120000000000001,-6.14,False,False,-1.5,-8.33,False,True,-2.6799999999999997,-14.89,False
1996-01-22,APOLLOHOSP,16.52,17.0,15.25,15.5,16200,7750,Monday,4,4,True,True,-1.629999999999999,-9.52,False,False,-1.5,-8.33,False,True,-2.6799999999999997,-14.89,False
1996-01-29,APOLLOHOSP,15.5,17.5,15.5,17.5,8800,38500,Monday,5,5,False,False,2.0,12.9,True,False,-1.5,-8.33,False,True,-2.6799999999999997,-14.89,False
1996-02-05,APOLLOHOSP,17.5,18.75,17.48,18.25,17300,43800,Monday,1,6,False,True,0.75,4.29,True,True,1.5199999999999996,9.21,True,True,-2.6799999999999997,-14.89,False
1996-02-12,APOLLOHOSP,18.25,23.25,18.0,20.9,49900,221540,Monday,2,7,True,False,2.6499999999999986,14.52,True,True,1.5199999999999996,9.21,True,True,-2.6799999999999997,-14.89,False
1996-02-19,APOLLOHOSP,21.25,21.25,18.25,18.92,34800,132475,Monday,3,8,False,True,-1.9799999999999969,-9.47,False,True,1.5199999999999996,9.21,True,True,-2.6799999999999997,-14.89,False
