Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,ASHOKLEY,10.15,10.15,10.0,10.0,13000,130000.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,ASHOKLEY,9.75,9.85,9.75,9.85,5000,9850.0,Monday,,,False,False,-0.15000000000000036,-1.5,False,False,,,False,True,,,False
1994-11-21,ASHOKLEY,10.1,10.13,10.0,10.13,9000,40500.0,Monday,,,False,False,0.28000000000000114,2.84,True,False,,,False,True,,,False
1994-11-28,ASHOKLEY,9.95,9.95,9.95,9.95,2000,19900.0,Monday,,,False,False,-0.1800000000000015,-1.78,False,False,,,False,True,,,False
1994-12-05,ASHOKLEY,9.5,9.75,9.25,9.75,12000,68250.0,Monday,1,,False,False,-0.1999999999999993,-2.01,False,True,-0.3800000000000008,-3.75,False,True,,,False
1994-12-12,ASHOKLEY,9.5,9.5,9.25,9.25,64000,37000.0,Monday,2,,True,False,-0.5,-5.13,False,True,-0.3800000000000008,-3.75,False,True,,,False
1994-12-19,ASHOKLEY,9.25,9.5,9.25,9.5,29000,19000.0,Monday,3,,False,False,0.25,2.7,True,True,-0.3800000000000008,-3.75,False,True,,,False
1994-12-26,ASHOKLEY,9.56,9.75,9.46,9.75,121000,9750.0,Monday,4,,True,False,0.25,2.63,True,True,-0.3800000000000008,-3.75,False,True,,,False
1995-01-02,ASHOKLEY,9.38,9.45,9.25,9.25,40000,18500.0,Monday,1,1,False,False,-0.5,-5.13,False,False,-0.6999999999999993,-7.18,False,False,-4.28,-43.9,False
1995-01-09,ASHOKLEY,9.0,9.0,8.85,9.0,8000,36000.0,Monday,2,2,True,True,-0.25,-2.7,False,False,-0.6999999999999993,-7.18,False,False,-4.28,-43.9,False
1995-01-16,ASHOKLEY,8.75,9.2,8.75,9.05,1014000,4561200.0,Monday,3,3,False,False,0.05000000000000071,0.56,True,False,-0.6999999999999993,-7.18,False,False,-4.28,-43.9,False
1995-01-23,,,,,,0,,Monday,4,4,True,True,,,False,False,-0.6999999999999993,-7.18,False,False,-4.28,-43.9,False
1995-01-30,ASHOKLEY,9.5,9.5,9.25,9.25,21000,74000.0,Monday,5,5,False,False,,,False,False,-0.6999999999999993,-7.18,False,False,-4.28,-43.9,False
1995-02-06,ASHOKLEY,9.0,9.4,9.0,9.4,229000,987000.0,Monday,1,6,False,True,0.15000000000000036,1.62,True,True,-1.4000000000000004,-15.47,False,False,-4.28,-43.9,False
1995-02-13,ASHOKLEY,9.0,9.1,8.5,8.5,18000,51000.0,Monday,2,7,True,False,-0.9000000000000004,-9.57,False,True,-1.4000000000000004,-15.47,False,False,-4.28,-43.9,False
1995-02-20,ASHOKLEY,8.4,8.4,7.5,7.5,226000,1042500.0,Monday,3,8,False,True,-1.0,-11.76,False,True,-1.4000000000000004,-15.47,False,False,-4.28,-43.9,False
1995-02-27,ASHOKLEY,7.88,8.25,7.65,8.1,96000,275400.0,Monday,4,9,True,False,0.5999999999999996,8.0,True,True,-1.4000000000000004,-15.47,False,False,-4.28,-43.9,False
1995-03-06,ASHOKLEY,8.05,8.25,7.75,8.25,47000,107250.0,Monday,1,10,False,True,0.15000000000000036,1.85,True,False,0.11999999999999922,1.57,True,False,-4.28,-43.9,False
1995-03-13,ASHOKLEY,7.9,7.9,7.3,7.85,11000,31400.0,Monday,2,11,True,False,-0.40000000000000036,-4.85,False,False,0.11999999999999922,1.57,True,False,-4.28,-43.9,False
1995-03-20,ASHOKLEY,7.15,7.7,7.15,7.55,8000,22650.0,Monday,3,12,False,True,-0.2999999999999998,-3.82,False,False,0.11999999999999922,1.57,True,False,-4.28,-43.9,False
1995-03-27,ASHOKLEY,7.55,8.0,7.5,7.77,80000,116513.0,Monday,4,13,True,False,0.21999999999999975,2.91,True,False,0.11999999999999922,1.57,True,False,-4.28,-43.9,False
