Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,ASIANPAINT,11.6,11.6,11.2,11.2,100000,336000.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-21,ASIANPAINT,11.0,11.0,10.7,10.7,5000,53500.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-28,ASIANPAINT,11.16,11.16,10.8,11.0,7500,55000.0,Monday,,,False,False,0.3000000000000007,2.8,True,False,,,False,True,,,False
1994-12-05,ASIANPAINT,10.6,11.0,10.5,10.7,172500,1177000.0,Monday,1,,False,False,-0.3000000000000007,-2.73,False,True,-0.5600000000000005,-5.02,False,True,,,False
1994-12-12,ASIANPAINT,10.5,10.7,10.22,10.7,57500,26750.0,Monday,2,,True,False,0.0,0.0,False,True,-0.5600000000000005,-5.02,False,True,,,False
1994-12-19,ASIANPAINT,10.5,11.08,10.42,10.7,27500,26750.0,Monday,3,,False,False,0.0,0.0,False,True,-0.5600000000000005,-5.02,False,True,,,False
1994-12-26,ASIANPAINT,10.5,10.6,10.5,10.6,7500,26500.0,Monday,4,,True,False,-0.09999999999999964,-0.93,False,True,-0.5600000000000005,-5.02,False,True,,,False
1995-01-02,ASIANPAINT,10.4,10.7,10.2,10.3,15000,51500.0,Monday,1,1,False,False,-0.29999999999999893,-2.83,False,False,0.40000000000000036,3.77,True,False,2.3200000000000003,21.89,True
1995-01-09,ASIANPAINT,10.44,10.44,10.1,10.1,70000,75750.0,Monday,2,2,True,True,-0.20000000000000107,-1.94,False,False,0.40000000000000036,3.77,True,False,2.3200000000000003,21.89,True
1995-01-16,ASIANPAINT,10.2,10.78,10.2,10.3,12500,25750.0,Monday,3,3,False,False,0.20000000000000107,1.98,True,False,0.40000000000000036,3.77,True,False,2.3200000000000003,21.89,True
1995-01-23,ASIANPAINT,10.2,10.6,10.2,10.54,75000,553350.0,Monday,4,4,True,True,0.23999999999999844,2.33,True,False,0.40000000000000036,3.77,True,False,2.3200000000000003,21.89,True
1995-01-30,ASIANPAINT,10.3,11.0,10.3,11.0,42500,192500.0,Monday,5,5,False,False,0.46000000000000085,4.36,True,False,0.40000000000000036,3.77,True,False,2.3200000000000003,21.89,True
1995-02-06,ASIANPAINT,10.8,11.4,10.8,11.39,167500,598238.0,Monday,1,6,False,True,0.39000000000000057,3.55,True,True,-0.09999999999999964,-0.91,False,False,2.3200000000000003,21.89,True
1995-02-13,ASIANPAINT,11.4,11.4,10.8,10.82,315000,162300.0,Monday,2,7,True,False,-0.5700000000000003,-5.0,False,True,-0.09999999999999964,-0.91,False,False,2.3200000000000003,21.89,True
1995-02-20,ASIANPAINT,10.81,11.2,10.0,11.0,72500,54995.0,Monday,3,8,False,True,0.17999999999999972,1.66,True,True,-0.09999999999999964,-0.91,False,False,2.3200000000000003,21.89,True
1995-02-27,ASIANPAINT,10.6,11.0,10.6,10.9,35000,27250.0,Monday,4,9,True,False,-0.09999999999999964,-0.91,False,True,-0.09999999999999964,-0.91,False,False,2.3200000000000003,21.89,True
1995-03-06,ASIANPAINT,10.94,10.94,10.42,10.74,70000,80550.0,Monday,1,10,False,True,-0.16000000000000014,-1.47,False,False,0.6999999999999993,6.42,True,False,2.3200000000000003,21.89,True
1995-03-13,ASIANPAINT,10.4,10.92,10.4,10.44,35000,26113.0,Monday,2,11,True,False,-0.3000000000000007,-2.79,False,False,0.6999999999999993,6.42,True,False,2.3200000000000003,21.89,True
1995-03-20,ASIANPAINT,10.6,10.76,10.6,10.63,42500,79725.0,Monday,3,12,False,True,0.19000000000000128,1.82,True,False,0.6999999999999993,6.42,True,False,2.3200000000000003,21.89,True
1995-03-27,ASIANPAINT,10.6,11.6,10.6,11.6,242500,232000.0,Monday,4,13,True,False,0.9699999999999989,9.13,True,False,0.6999999999999993,6.42,True,False,2.3200000000000003,21.89,True
1995-04-03,ASIANPAINT,11.52,13.0,11.5,12.8,362500,1248000.0,Monday,1,14,False,True,1.200000000000001,10.34,True,True,0.33999999999999986,2.93,True,False,2.3200000000000003,21.89,True
1995-04-10,ASIANPAINT,12.72,12.8,12.58,12.8,122500,352000.0,Monday,2,15,True,False,0.0,0.0,False,True,0.33999999999999986,2.93,True,False,2.3200000000000003,21.89,True
1995-04-17,ASIANPAINT,12.8,12.8,12.0,12.1,162500,90750.0,Monday,3,16,False,True,-0.7000000000000011,-5.47,False,True,0.33999999999999986,2.93,True,False,2.3200000000000003,21.89,True
1995-04-24,ASIANPAINT,12.0,12.12,11.53,11.94,112500,447938.0,Monday,4,17,True,False,-0.16000000000000014,-1.32,False,True,0.33999999999999986,2.93,True,False,2.3200000000000003,21.89,True
1995-05-01,ASIANPAINT,11.8,12.1,11.5,11.96,162500,358920.0,Monday,1,18,False,True,0.02000000000000135,0.17,True,False,0.8300000000000001,6.95,True,False,2.3200000000000003,21.89,True
1995-05-08,ASIANPAINT,12.0,12.88,11.62,11.99,482500,2577420.0,Monday,2,19,True,False,0.02999999999999936,0.25,True,False,0.8300000000000001,6.95,True,False,2.3200000000000003,21.89,True
1995-05-15,ASIANPAINT,12.44,13.2,12.1,12.9,702500,548250.0,Monday,3,20,False,True,0.9100000000000001,7.59,True,False,0.8300000000000001,6.95,True,False,2.3200000000000003,21.89,True
1995-05-22,ASIANPAINT,12.7,12.8,12.55,12.62,250000,504800.0,Monday,4,21,True,False,-0.28000000000000114,-2.17,False,False,0.8300000000000001,6.95,True,False,2.3200000000000003,21.89,True
1995-05-29,ASIANPAINT,12.54,12.77,12.38,12.7,237500,222250.0,Monday,5,22,False,True,0.08000000000000007,0.63,True,False,0.8300000000000001,6.95,True,False,2.3200000000000003,21.89,True
1995-06-05,ASIANPAINT,12.6,12.78,12.5,12.55,207500,345208.0,Monday,1,23,False,False,-0.14999999999999858,-1.18,False,True,-0.009999999999999787,-0.08,False,False,2.3200000000000003,21.89,True
1995-06-12,ASIANPAINT,12.5,13.0,12.5,12.7,105000,190500.0,Monday,2,24,True,True,0.14999999999999858,1.2,True,True,-0.009999999999999787,-0.08,False,False,2.3200000000000003,21.89,True
1995-06-19,ASIANPAINT,12.8,13.1,12.8,12.91,147500,710050.0,Monday,3,25,False,False,0.21000000000000085,1.65,True,True,-0.009999999999999787,-0.08,False,False,2.3200000000000003,21.89,True
1995-06-26,ASIANPAINT,12.74,13.0,12.6,12.76,182500,287100.0,Monday,4,26,True,True,-0.15000000000000036,-1.16,False,True,-0.009999999999999787,-0.08,False,False,2.3200000000000003,21.89,True
1995-07-03,ASIANPAINT,12.6,12.8,11.52,12.2,147500,366000.0,Monday,1,27,False,False,-0.5600000000000005,-4.39,False,False,0.4399999999999995,3.45,True,False,2.3200000000000003,21.89,True
1995-07-10,ASIANPAINT,12.1,12.5,12.02,12.4,87500,372030.0,Monday,2,28,True,True,0.20000000000000107,1.64,True,False,0.4399999999999995,3.45,True,False,2.3200000000000003,21.89,True
1995-07-17,ASIANPAINT,12.7,14.12,12.7,13.26,222500,232050.0,Monday,3,29,False,False,0.8599999999999994,6.94,True,False,0.4399999999999995,3.45,True,False,2.3200000000000003,21.89,True
1995-07-24,ASIANPAINT,13.6,13.6,13.1,13.48,195000,404400.0,Monday,4,30,True,True,0.22000000000000064,1.66,True,False,0.4399999999999995,3.45,True,False,2.3200000000000003,21.89,True
1995-07-31,ASIANPAINT,13.2,13.48,12.8,13.3,175000,598500.0,Monday,5,31,False,False,-0.17999999999999972,-1.34,False,False,0.4399999999999995,3.45,True,False,2.3200000000000003,21.89,True
1995-08-07,ASIANPAINT,13.5,13.89,13.2,13.22,102500,132200.0,Monday,1,32,False,True,-0.08000000000000007,-0.6,False,True,-0.1999999999999993,-1.52,False,False,2.3200000000000003,21.89,True
1995-08-14,ASIANPAINT,13.16,13.3,12.82,13.28,52500,132800.0,Monday,2,33,True,False,0.05999999999999872,0.45,True,True,-0.1999999999999993,-1.52,False,False,2.3200000000000003,21.89,True
1995-08-21,ASIANPAINT,13.3,13.32,13.2,13.2,130000,165063.0,Monday,3,34,False,True,-0.08000000000000007,-0.6,False,True,-0.1999999999999993,-1.52,False,False,2.3200000000000003,21.89,True
1995-08-28,ASIANPAINT,13.26,13.26,13.0,13.0,25000,32500.0,Monday,4,35,True,False,-0.1999999999999993,-1.52,False,True,-0.1999999999999993,-1.52,False,False,2.3200000000000003,21.89,True
1995-09-04,ASIANPAINT,13.2,13.2,12.7,13.06,65000,130600.0,Monday,1,36,False,True,0.0600000000000005,0.46,True,False,-0.3100000000000005,-2.38,False,False,2.3200000000000003,21.89,True
1995-09-11,ASIANPAINT,13.06,13.2,12.96,13.06,82500,359150.0,Monday,2,37,True,False,0.0,0.0,False,False,-0.3100000000000005,-2.38,False,False,2.3200000000000003,21.89,True
1995-09-18,ASIANPAINT,12.84,12.84,12.5,12.6,185000,315000.0,Monday,3,38,False,True,-0.46000000000000085,-3.52,False,False,-0.3100000000000005,-2.38,False,False,2.3200000000000003,21.89,True
1995-09-25,ASIANPAINT,12.3,13.0,12.3,12.69,612500,317275.0,Monday,4,39,True,False,0.08999999999999986,0.71,True,False,-0.3100000000000005,-2.38,False,False,2.3200000000000003,21.89,True
1995-10-02,ASIANPAINT,12.7,13.09,12.7,13.04,67500,326000.0,Monday,1,40,False,True,0.34999999999999964,2.76,True,True,0.009999999999999787,0.08,True,False,2.3200000000000003,21.89,True
1995-10-09,ASIANPAINT,13.04,13.3,13.0,13.04,2632500,32795600.0,Monday,2,41,True,False,0.0,0.0,False,True,0.009999999999999787,0.08,True,False,2.3200000000000003,21.89,True
1995-10-16,ASIANPAINT,13.04,13.2,12.6,12.68,2650000,95100.0,Monday,3,42,False,True,-0.35999999999999943,-2.76,False,True,0.009999999999999787,0.08,True,False,2.3200000000000003,21.89,True
1995-10-23,ASIANPAINT,12.68,12.74,12.52,12.57,32500,125750.0,Monday,4,43,True,False,-0.10999999999999943,-0.87,False,True,0.009999999999999787,0.08,True,False,2.3200000000000003,21.89,True
1995-10-30,ASIANPAINT,12.57,12.72,12.53,12.65,150000,347875.0,Monday,5,44,False,True,0.08000000000000007,0.64,True,True,0.009999999999999787,0.08,True,False,2.3200000000000003,21.89,True
1995-11-06,ASIANPAINT,12.6,12.65,11.56,11.75,142500,381875.0,Monday,1,45,False,False,-0.9000000000000004,-7.11,False,False,-1.459999999999999,-11.5,False,False,2.3200000000000003,21.89,True
1995-11-13,ASIANPAINT,11.75,12.0,10.52,10.92,181250,273000.0,Monday,2,46,True,True,-0.8300000000000001,-7.06,False,False,-1.459999999999999,-11.5,False,False,2.3200000000000003,21.89,True
1995-11-20,ASIANPAINT,10.92,11.16,10.44,10.8,213750,337500.0,Monday,3,47,False,False,-0.11999999999999922,-1.1,False,False,-1.459999999999999,-11.5,False,False,2.3200000000000003,21.89,True
1995-11-27,ASIANPAINT,10.8,12.1,10.1,11.96,288750,478400.0,Monday,4,48,True,True,1.1600000000000001,10.74,True,False,-1.459999999999999,-11.5,False,False,2.3200000000000003,21.89,True
1995-12-04,ASIANPAINT,11.96,13.2,11.84,12.48,373750,421200.0,Monday,1,49,False,False,0.5199999999999996,4.35,True,True,1.6799999999999997,14.95,True,False,2.3200000000000003,21.89,True
1995-12-11,ASIANPAINT,12.48,12.68,12.05,12.2,236250,106750.0,Monday,2,50,True,True,-0.28000000000000114,-2.24,False,True,1.6799999999999997,14.95,True,False,2.3200000000000003,21.89,True
1995-12-18,ASIANPAINT,12.2,13.16,12.16,12.71,265000,508400.0,Monday,3,51,False,False,0.5100000000000016,4.18,True,True,1.6799999999999997,14.95,True,False,2.3200000000000003,21.89,True
1995-12-25,ASIANPAINT,12.6,13.0,12.57,12.92,178750,129200.0,Monday,4,52,True,True,0.20999999999999908,1.65,True,True,1.6799999999999997,14.95,True,False,2.3200000000000003,21.89,True
1996-01-01,ASIANPAINT,12.92,13.0,12.68,12.68,88750,285300.0,Monday,1,1,False,False,-0.2400000000000002,-1.86,False,False,0.08000000000000007,0.62,True,True,-1.3800000000000008,-10.68,False
1996-01-08,ASIANPAINT,12.68,12.8,12.2,12.76,127500,79750.0,Monday,2,2,True,True,0.08000000000000007,0.63,True,False,0.08000000000000007,0.62,True,True,-1.3800000000000008,-10.68,False
1996-01-15,ASIANPAINT,12.76,13.11,12.44,13.09,366250,1440340.0,Monday,3,3,False,False,0.33000000000000007,2.59,True,False,0.08000000000000007,0.62,True,True,-1.3800000000000008,-10.68,False
1996-01-22,ASIANPAINT,13.09,13.59,12.9,13.04,360000,2558315.0,Monday,4,4,True,True,-0.05000000000000071,-0.38,False,False,0.08000000000000007,0.62,True,True,-1.3800000000000008,-10.68,False
1996-01-29,ASIANPAINT,13.04,13.38,12.96,13.33,218750,566695.0,Monday,5,5,False,False,0.2900000000000009,2.22,True,False,0.08000000000000007,0.62,True,True,-1.3800000000000008,-10.68,False
1996-02-05,ASIANPAINT,13.33,14.6,13.2,14.47,283750,1030988.0,Monday,1,6,False,True,1.1400000000000006,8.55,True,True,1.4000000000000004,10.77,True,True,-1.3800000000000008,-10.68,False
1996-02-12,ASIANPAINT,14.47,15.8,14.2,14.68,792500,9430615.0,Monday,2,7,True,False,0.20999999999999908,1.45,True,True,1.4000000000000004,10.77,True,True,-1.3800000000000008,-10.68,False
1996-02-19,ASIANPAINT,14.68,14.8,12.46,14.55,4617500,18772080.0,Monday,3,8,False,True,-0.129999999999999,-0.89,False,True,1.4000000000000004,10.77,True,True,-1.3800000000000008,-10.68,False
