Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-03-19,ASTRAL,6.18,6.82,5.41,5.57,111650318,18591520,Monday,,,False,False,,,False,False,,,False,False,,,False
2007-03-26,ASTRAL,5.52,5.52,4.56,4.97,6755366,11446584,Monday,,,False,False,-0.6000000000000005,-10.77,False,False,,,False,False,,,False
2007-04-02,ASTRAL,4.71,5.09,4.63,4.72,1641482,2159456,Monday,1,,False,False,-0.25,-5.03,False,True,1.1600000000000001,23.34,True,False,,,False
2007-04-09,ASTRAL,4.77,4.95,4.56,4.67,984681,471615,Monday,2,,True,False,-0.04999999999999982,-1.06,False,True,1.1600000000000001,23.34,True,False,,,False
2007-04-16,ASTRAL,4.72,5.84,4.69,5.28,6351065,1647151,Monday,3,,False,False,0.6100000000000003,13.06,True,True,1.1600000000000001,23.34,True,False,,,False
2007-04-23,ASTRAL,5.41,6.33,5.19,5.87,8150014,3211731,Monday,4,,True,False,0.5899999999999999,11.17,True,True,1.1600000000000001,23.34,True,False,,,False
2007-04-30,ASTRAL,5.77,6.51,5.77,6.26,2642683,10596387,Monday,5,,False,False,0.3899999999999997,6.64,True,True,1.1600000000000001,23.34,True,False,,,False
2007-05-07,ASTRAL,6.6,6.84,6.09,6.5,2824015,3762456,Monday,1,,False,False,0.2400000000000002,3.83,True,False,0.4299999999999997,7.01,True,False,,,False
2007-05-14,ASTRAL,6.55,7.05,6.48,6.57,3500881,1551776,Monday,2,,True,False,0.07000000000000028,1.08,True,False,0.4299999999999997,7.01,True,False,,,False
2007-05-21,ASTRAL,6.6,7.09,6.6,6.86,2955316,2148814,Monday,3,,False,False,0.29000000000000004,4.41,True,False,0.4299999999999997,7.01,True,False,,,False
2007-05-28,ASTRAL,6.89,6.91,6.48,6.89,1236583,2979025,Monday,4,,True,False,0.02999999999999936,0.44,True,False,0.4299999999999997,7.01,True,False,,,False
2007-06-04,ASTRAL,6.9,6.93,6.3,6.55,571999,561217,Monday,1,,False,False,-0.33999999999999986,-4.93,False,True,-0.23999999999999932,-3.66,False,False,,,False
2007-06-11,ASTRAL,6.48,6.66,6.03,6.43,245131,251052,Monday,2,,True,False,-0.1200000000000001,-1.83,False,True,-0.23999999999999932,-3.66,False,False,,,False
2007-06-18,ASTRAL,6.57,6.57,6.12,6.32,222965,351658,Monday,3,,False,False,-0.10999999999999943,-1.71,False,True,-0.23999999999999932,-3.66,False,False,,,False
2007-06-25,ASTRAL,6.42,6.48,6.12,6.32,1262565,556352,Monday,4,,True,False,0.0,0.0,False,True,-0.23999999999999932,-3.66,False,False,,,False
2007-07-02,ASTRAL,6.42,6.98,6.27,6.87,673148,2364770,Monday,1,,False,False,0.5499999999999998,8.7,True,False,1.0299999999999994,16.3,True,False,,,False
2007-07-09,ASTRAL,7.8,8.33,7.2,7.7,9797215,5434211,Monday,2,,True,False,0.8300000000000001,12.08,True,False,1.0299999999999994,16.3,True,False,,,False
2007-07-16,ASTRAL,7.72,8.03,7.38,7.44,2356032,2580639,Monday,3,,False,False,-0.2599999999999998,-3.38,False,False,1.0299999999999994,16.3,True,False,,,False
2007-07-23,ASTRAL,7.32,7.55,6.9,7.23,1408080,1553287,Monday,4,,True,False,-0.20999999999999996,-2.82,False,False,1.0299999999999994,16.3,True,False,,,False
2007-07-30,ASTRAL,7.2,7.56,6.9,6.94,1277931,585883,Monday,5,,False,False,-0.29000000000000004,-4.01,False,False,1.0299999999999994,16.3,True,False,,,False
2007-08-06,ASTRAL,6.9,7.19,6.72,6.89,503250,1071543,Monday,1,,False,False,-0.05000000000000071,-0.72,False,True,-0.6199999999999992,-8.44,False,False,,,False
2007-08-13,ASTRAL,6.93,7.13,6.32,6.66,479332,901913,Monday,2,,True,False,-0.22999999999999954,-3.34,False,True,-0.6199999999999992,-8.44,False,False,,,False
2007-08-20,ASTRAL,6.81,6.96,6.19,6.45,414266,413445,Monday,3,,False,False,-0.20999999999999996,-3.15,False,True,-0.6199999999999992,-8.44,False,False,,,False
2007-08-27,ASTRAL,6.34,6.87,6.3,6.73,285797,364414,Monday,4,,True,False,0.28000000000000025,4.34,True,True,-0.6199999999999992,-8.44,False,False,,,False
2007-09-03,ASTRAL,6.84,7.02,6.6,6.73,572233,485136,Monday,1,,False,False,0.0,0.0,False,False,0.47999999999999954,7.13,True,False,,,False
2007-09-10,ASTRAL,6.62,7.32,6.62,7.21,966266,787736,Monday,2,,True,False,0.47999999999999954,7.13,True,False,0.47999999999999954,7.13,True,False,,,False
2007-09-17,ASTRAL,7.17,7.2,6.61,6.97,1028647,742489,Monday,3,,False,False,-0.2400000000000002,-3.33,False,False,0.47999999999999954,7.13,True,False,,,False
2007-09-24,ASTRAL,6.75,7.94,6.72,7.21,2151766,1846057,Monday,4,,True,False,0.2400000000000002,3.44,True,False,0.47999999999999954,7.13,True,False,,,False
2007-10-01,ASTRAL,7.51,8.01,7.08,7.79,2182765,10693497,Monday,1,,False,False,0.5800000000000001,8.04,True,True,0.6100000000000003,8.46,True,False,,,False
2007-10-08,ASTRAL,7.95,8.36,7.21,7.52,1799048,2586067,Monday,2,,True,False,-0.27000000000000046,-3.47,False,True,0.6100000000000003,8.46,True,False,,,False
2007-10-15,ASTRAL,7.2,8.23,6.96,7.81,1424132,3757951,Monday,3,,False,False,0.29000000000000004,3.86,True,True,0.6100000000000003,8.46,True,False,,,False
2007-10-22,ASTRAL,7.53,9.42,7.5,7.96,847015,865469,Monday,4,,True,False,0.15000000000000036,1.92,True,True,0.6100000000000003,8.46,True,False,,,False
2007-10-29,ASTRAL,7.86,8.04,7.5,7.5,713231,1507603,Monday,5,,False,False,-0.45999999999999996,-5.78,False,True,0.6100000000000003,8.46,True,False,,,False
2007-11-05,ASTRAL,7.5,8.03,7.26,7.64,562866,136794,Monday,1,,False,False,0.13999999999999968,1.87,True,False,1.459999999999999,18.67,True,False,,,False
2007-11-12,ASTRAL,7.5,8.58,7.32,8.3,859232,3895936,Monday,2,,True,False,0.660000000000001,8.64,True,False,1.459999999999999,18.67,True,False,,,False
2007-11-19,ASTRAL,8.1,8.7,7.8,8.41,858315,1018273,Monday,3,,False,False,0.10999999999999943,1.33,True,False,1.459999999999999,18.67,True,False,,,False
2007-11-26,ASTRAL,8.4,9.48,7.93,9.28,1031048,3740238,Monday,4,,True,False,0.8699999999999992,10.34,True,False,1.459999999999999,18.67,True,False,,,False
2007-12-03,ASTRAL,9.48,11.81,9.42,10.27,2375965,2708042,Monday,1,,False,False,0.9900000000000002,10.67,True,True,3.41,36.75,True,False,,,False
2007-12-10,ASTRAL,10.73,11.06,10.09,10.57,776448,1173707,Monday,2,,True,False,0.3000000000000007,2.92,True,True,3.41,36.75,True,False,,,False
2007-12-17,ASTRAL,11.58,13.1,10.8,12.65,2247966,8654502,Monday,3,,False,False,2.08,19.68,True,True,3.41,36.75,True,False,,,False
2007-12-24,ASTRAL,13.07,13.08,11.4,11.53,900765,2431522,Monday,4,,True,False,-1.120000000000001,-8.85,False,True,3.41,36.75,True,False,,,False
2007-12-31,ASTRAL,12.0,14.4,12.0,13.07,1925430,1609627,Monday,5,,False,False,1.540000000000001,13.36,True,True,3.41,36.75,True,False,,,False
2008-01-07,ASTRAL,12.06,13.86,11.4,12.19,709781,1442617,Monday,1,1,False,False,-0.8800000000000008,-6.73,False,False,-0.7899999999999991,-6.23,False,True,-8.79,-69.27,False
2008-01-14,ASTRAL,12.06,14.4,11.82,12.82,673298,1452985,Monday,2,2,True,True,0.6300000000000008,5.17,True,False,-0.7899999999999991,-6.23,False,True,-8.79,-69.27,False
2008-01-21,ASTRAL,12.3,12.9,10.21,11.25,589865,463564,Monday,3,3,False,False,-1.5700000000000003,-12.25,False,False,-0.7899999999999991,-6.23,False,True,-8.79,-69.27,False
2008-01-28,ASTRAL,10.56,12.0,10.56,11.69,290865,855416,Monday,4,4,True,True,0.4399999999999995,3.91,True,False,-0.7899999999999991,-6.23,False,True,-8.79,-69.27,False
2008-02-04,ASTRAL,11.82,12.0,10.5,11.2,201582,226341,Monday,1,5,False,False,-0.4900000000000002,-4.19,False,True,-0.8600000000000012,-7.23,False,True,-8.79,-69.27,False
2008-02-11,ASTRAL,10.52,11.36,10.11,11.24,642350,304256,Monday,2,6,True,True,0.040000000000000924,0.36,True,True,-0.8600000000000012,-7.23,False,True,-8.79,-69.27,False
2008-02-18,ASTRAL,10.8,11.7,10.38,10.92,171666,149058,Monday,3,7,False,False,-0.3200000000000003,-2.85,False,True,-0.8600000000000012,-7.23,False,True,-8.79,-69.27,False
2008-02-25,ASTRAL,10.86,11.52,10.32,11.04,199614,603172,Monday,4,8,True,True,0.11999999999999922,1.1,True,True,-0.8600000000000012,-7.23,False,True,-8.79,-69.27,False
2008-03-03,ASTRAL,10.8,11.15,9.19,9.24,343566,973580,Monday,1,9,False,False,-1.799999999999999,-16.3,False,False,-1.4699999999999989,-13.32,False,True,-8.79,-69.27,False
2008-03-10,ASTRAL,8.41,10.32,8.39,9.19,1702614,132255,Monday,2,10,True,True,-0.05000000000000071,-0.54,False,False,-1.4699999999999989,-13.32,False,True,-8.79,-69.27,False
2008-03-17,ASTRAL,9.06,9.3,8.47,8.88,151600,548488,Monday,3,11,False,False,-0.3099999999999987,-3.37,False,False,-1.4699999999999989,-13.32,False,True,-8.79,-69.27,False
2008-03-24,ASTRAL,8.76,9.81,7.11,9.45,123748,315158,Monday,4,12,True,True,0.5699999999999985,6.42,True,False,-1.4699999999999989,-13.32,False,True,-8.79,-69.27,False
2008-03-31,ASTRAL,9.12,10.92,9.12,9.42,183715,123520,Monday,5,13,False,False,-0.02999999999999936,-0.32,False,False,-1.4699999999999989,-13.32,False,True,-8.79,-69.27,False
2008-04-07,ASTRAL,9.42,10.8,8.7,9.98,54048,30118,Monday,1,14,False,True,0.5600000000000005,5.94,True,True,1.8200000000000003,19.02,True,True,-8.79,-69.27,False
2008-04-14,ASTRAL,9.42,10.32,9.42,10.18,24350,33281,Monday,2,15,True,False,0.1999999999999993,2.0,True,True,1.8200000000000003,19.02,True,True,-8.79,-69.27,False
2008-04-21,ASTRAL,10.17,12.0,10.02,11.43,270815,1203133,Monday,3,16,False,True,1.25,12.28,True,True,1.8200000000000003,19.02,True,True,-8.79,-69.27,False
2008-04-28,ASTRAL,11.16,11.93,10.55,11.35,139698,429673,Monday,4,17,True,False,-0.08000000000000007,-0.7,False,True,1.8200000000000003,19.02,True,True,-8.79,-69.27,False
2008-05-05,ASTRAL,11.4,11.92,10.77,10.81,320198,638271,Monday,1,18,False,True,-0.5399999999999991,-4.76,False,False,-1.0600000000000005,-9.31,False,True,-8.79,-69.27,False
2008-05-12,ASTRAL,10.5,11.03,9.73,10.88,193247,289819,Monday,2,19,True,False,0.07000000000000028,0.65,True,False,-1.0600000000000005,-9.31,False,True,-8.79,-69.27,False
2008-05-19,ASTRAL,10.86,11.04,10.45,10.5,95250,253750,Monday,3,20,False,True,-0.3800000000000008,-3.49,False,False,-1.0600000000000005,-9.31,False,True,-8.79,-69.27,False
2008-05-26,ASTRAL,10.81,10.81,10.02,10.33,198784,385960,Monday,4,21,True,False,-0.16999999999999993,-1.62,False,False,-1.0600000000000005,-9.31,False,True,-8.79,-69.27,False
2008-06-02,ASTRAL,10.26,10.33,9.6,9.61,221733,676634,Monday,1,22,False,True,-0.7200000000000006,-6.97,False,True,-1.1400000000000006,-11.04,False,True,-8.79,-69.27,False
2008-06-09,ASTRAL,9.36,10.44,9.18,9.69,40414,18573,Monday,2,23,True,False,0.08000000000000007,0.83,True,True,-1.1400000000000006,-11.04,False,True,-8.79,-69.27,False
2008-06-16,ASTRAL,9.6,11.4,9.03,9.59,398332,2111799,Monday,3,24,False,True,-0.09999999999999964,-1.03,False,True,-1.1400000000000006,-11.04,False,True,-8.79,-69.27,False
2008-06-23,ASTRAL,9.54,9.66,8.4,9.12,160448,157928,Monday,4,25,True,False,-0.47000000000000064,-4.9,False,True,-1.1400000000000006,-11.04,False,True,-8.79,-69.27,False
2008-06-30,ASTRAL,8.7,9.59,8.04,8.4,125015,179620,Monday,5,26,False,True,-0.7199999999999989,-7.89,False,True,-1.1400000000000006,-11.04,False,True,-8.79,-69.27,False
2008-07-07,ASTRAL,8.4,10.8,8.4,9.44,128232,338775,Monday,1,27,False,False,1.0399999999999991,12.38,True,False,0.6900000000000013,7.51,True,True,-8.79,-69.27,False
2008-07-14,ASTRAL,9.3,9.93,8.4,9.6,129698,351680,Monday,2,28,True,True,0.16000000000000014,1.69,True,False,0.6900000000000013,7.51,True,True,-8.79,-69.27,False
2008-07-21,ASTRAL,9.42,9.95,8.76,9.29,39033,64283,Monday,3,29,False,False,-0.3100000000000005,-3.23,False,False,0.6900000000000013,7.51,True,True,-8.79,-69.27,False
2008-07-28,ASTRAL,9.3,9.9,9.3,9.43,49832,60326,Monday,4,30,True,True,0.14000000000000057,1.51,True,False,0.6900000000000013,7.51,True,True,-8.79,-69.27,False
2008-08-04,ASTRAL,9.6,9.94,9.0,9.71,22533,648,Monday,1,31,False,False,0.28000000000000114,2.97,True,True,0.2599999999999998,2.63,True,True,-8.79,-69.27,False
2008-08-11,ASTRAL,9.84,10.5,9.28,10.2,242848,427380,Monday,2,32,True,True,0.48999999999999844,5.05,True,True,0.2599999999999998,2.63,True,True,-8.79,-69.27,False
2008-08-18,ASTRAL,10.21,10.62,9.78,10.21,282814,341932,Monday,3,33,False,False,0.010000000000001563,0.1,True,True,0.2599999999999998,2.63,True,True,-8.79,-69.27,False
2008-08-25,ASTRAL,9.67,10.31,9.31,10.14,119014,141242,Monday,4,34,True,True,-0.07000000000000028,-0.69,False,True,0.2599999999999998,2.63,True,True,-8.79,-69.27,False
2008-09-01,ASTRAL,9.6,11.68,9.42,9.8,213600,246332,Monday,1,35,False,False,-0.33999999999999986,-3.35,False,False,-1.3500000000000014,-13.31,False,True,-8.79,-69.27,False
2008-09-08,ASTRAL,10.44,10.74,9.04,9.39,125032,90115,Monday,2,36,True,True,-0.41000000000000014,-4.18,False,False,-1.3500000000000014,-13.31,False,True,-8.79,-69.27,False
2008-09-15,ASTRAL,9.0,9.75,7.35,9.18,349398,1947206,Monday,3,37,False,False,-0.21000000000000085,-2.24,False,False,-1.3500000000000014,-13.31,False,True,-8.79,-69.27,False
2008-09-22,ASTRAL,9.07,9.4,8.52,8.95,98632,452825,Monday,4,38,True,True,-0.23000000000000043,-2.51,False,False,-1.3500000000000014,-13.31,False,True,-8.79,-69.27,False
2008-09-29,ASTRAL,8.58,9.11,7.93,8.39,181467,18187,Monday,5,39,False,False,-0.5599999999999987,-6.26,False,False,-1.3500000000000014,-13.31,False,True,-8.79,-69.27,False
2008-10-06,ASTRAL,7.56,8.34,5.61,7.09,73514,172544,Monday,1,40,False,True,-1.3000000000000007,-15.49,False,True,-4.7299999999999995,-53.81,False,True,-8.79,-69.27,False
2008-10-13,ASTRAL,6.86,7.2,5.52,5.7,55299,9500,Monday,2,41,True,False,-1.3899999999999997,-19.61,False,True,-4.7299999999999995,-53.81,False,True,-8.79,-69.27,False
2008-10-20,ASTRAL,6.12,6.12,3.54,3.67,162947,245813,Monday,3,42,False,True,-2.0300000000000002,-35.61,False,True,-4.7299999999999995,-53.81,False,True,-8.79,-69.27,False
2008-10-27,ASTRAL,3.54,4.36,3.31,4.06,119749,247193,Monday,4,43,True,False,0.3899999999999997,10.63,True,True,-4.7299999999999995,-53.81,False,True,-8.79,-69.27,False
2008-11-03,ASTRAL,3.65,4.84,3.65,4.3,464449,435594,Monday,1,44,False,True,0.2400000000000002,5.91,True,False,-0.4599999999999995,-11.33,False,True,-8.79,-69.27,False
2008-11-10,ASTRAL,4.35,4.5,4.14,4.2,198232,252770,Monday,2,45,True,False,-0.09999999999999964,-2.33,False,False,-0.4599999999999995,-11.33,False,True,-8.79,-69.27,False
2008-11-17,ASTRAL,4.26,4.26,3.6,3.69,184483,6273,Monday,3,46,False,True,-0.5100000000000002,-12.14,False,False,-0.4599999999999995,-11.33,False,True,-8.79,-69.27,False
2008-11-24,ASTRAL,3.72,3.72,3.53,3.6,4699,4200,Monday,4,47,True,False,-0.08999999999999986,-2.44,False,False,-0.4599999999999995,-11.33,False,True,-8.79,-69.27,False
2008-12-01,ASTRAL,3.63,3.78,3.42,3.54,29017,45902,Monday,1,48,False,True,-0.06000000000000005,-1.67,False,True,0.2999999999999998,8.33,True,True,-8.79,-69.27,False
2008-12-08,ASTRAL,3.57,3.77,3.3,3.76,46615,87543,Monday,2,49,True,False,0.21999999999999975,6.21,True,True,0.2999999999999998,8.33,True,True,-8.79,-69.27,False
2008-12-15,ASTRAL,3.78,4.08,3.66,3.9,105298,170625,Monday,3,50,False,True,0.14000000000000012,3.72,True,True,0.2999999999999998,8.33,True,True,-8.79,-69.27,False
2008-12-22,ASTRAL,3.72,3.98,3.64,3.9,56649,102960,Monday,4,51,True,False,0.0,0.0,False,True,0.2999999999999998,8.33,True,True,-8.79,-69.27,False
2008-12-29,ASTRAL,3.72,4.08,3.7,4.01,14582,13380,Monday,5,52,False,True,0.10999999999999988,2.82,True,True,0.2999999999999998,8.33,True,True,-8.79,-69.27,False
2009-01-05,ASTRAL,4.02,4.19,3.6,4.02,34300,5092,Monday,1,1,False,False,0.009999999999999787,0.25,True,False,-0.8900000000000001,-22.82,False,False,6.9399999999999995,177.95,True
2009-01-12,ASTRAL,4.19,4.19,3.36,3.66,89883,122,Monday,2,2,True,True,-0.35999999999999943,-8.96,False,False,-0.8900000000000001,-22.82,False,False,6.9399999999999995,177.95,True
