Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-14,ATUL,103.0,103.0,103.0,103.0,50,5150.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-21,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-28,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-12-05,ATUL,103.0,103.0,103.0,103.0,100,10300.0,Monday,1,,False,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-12,,,,,,0,,Monday,2,,True,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-19,ATUL,100.0,100.0,100.0,100.0,100,10000.0,Monday,3,,False,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-26,,,,,,0,,Monday,4,,True,False,,,False,True,-3.0,-2.91,False,True,,,False
1995-01-02,ATUL,102.0,102.5,97.0,97.0,700,48500.0,Monday,1,1,False,False,,,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-09,ATUL,101.75,102.0,99.85,99.95,1900,89955.0,Monday,2,2,True,True,2.950000000000003,3.04,True,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-16,ATUL,98.0,98.0,98.0,98.0,200,19600.0,Monday,3,3,False,False,-1.9500000000000028,-1.95,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-23,,,,,,0,,Monday,4,4,True,True,,,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-30,ATUL,101.5,103.0,101.5,102.5,1500,153750.0,Monday,5,5,False,False,,,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-02-06,ATUL,102.0,107.5,102.0,107.5,1000,10750.0,Monday,1,6,False,True,5.0,4.88,True,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-02-13,ATUL,103.0,107.0,102.0,102.0,5850,5100.0,Monday,2,7,True,False,-5.5,-5.12,False,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-02-20,ATUL,99.5,102.5,94.0,97.0,2550,58200.0,Monday,3,8,False,True,-5.0,-4.9,False,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-02-27,ATUL,95.0,98.0,92.5,98.0,700,9800.0,Monday,4,9,True,False,1.0,1.03,True,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-03-06,,,,,,0,,Monday,1,10,False,True,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-13,,,,,,0,,Monday,2,11,True,False,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-20,,,,,,0,,Monday,3,12,False,True,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-27,ATUL,104.75,107.0,104.75,105.75,2300,15863.0,Monday,4,13,True,False,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-04-03,ATUL,110.0,110.0,106.5,107.5,1750,21500.0,Monday,1,14,False,True,1.75,1.65,True,True,-5.75,-5.44,False,False,-31.0,-31.0,False
