Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-17,ATUL,103.0,103.0,103.0,103.0,50,5150.0,Thursday,1994-11-11,,,False,False,,,False,False,,,False,True,,,False
1994-11-24,,,,,,0,,Thursday,1994-11-18,,,False,False,,,False,False,,,False,True,,,False
1994-12-01,,,,,,0,,Thursday,1994-11-25,1,,False,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-08,ATUL,103.0,103.0,103.0,103.0,100,10300.0,Thursday,1994-12-02,2,,True,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-15,,,,,,0,,Thursday,1994-12-09,3,,False,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-22,ATUL,100.0,100.0,100.0,100.0,100,10000.0,Thursday,1994-12-16,4,,True,False,,,False,True,-3.0,-2.91,False,True,,,False
1994-12-29,,,,,,0,,Thursday,1994-12-23,5,,False,False,,,False,True,-3.0,-2.91,False,True,,,False
1995-01-05,ATUL,102.0,102.5,102.0,102.5,200,10250.0,Thursday,1994-12-30,1,1,False,False,,,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-12,ATUL,97.0,102.0,97.0,99.95,2400,89955.0,Thursday,1995-01-06,2,2,True,True,-2.549999999999997,-2.49,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-19,ATUL,98.0,98.0,98.0,98.0,200,19600.0,Thursday,1995-01-13,3,3,False,False,-1.9500000000000028,-1.95,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-01-26,,,,,,0,,Thursday,1995-01-20,4,4,True,True,,,False,False,-2.0,-2.0,False,False,-31.0,-31.0,False
1995-02-02,ATUL,101.5,103.0,101.5,102.5,1500,153750.0,Thursday,1995-01-27,1,5,False,False,,,False,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-02-09,ATUL,102.0,105.0,102.0,105.0,900,10500.0,Thursday,1995-02-03,2,6,True,True,2.5,2.44,True,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-02-16,ATUL,103.0,107.5,102.0,102.0,5950,5100.0,Thursday,1995-02-10,3,7,False,False,-3.0,-2.86,False,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-02-23,ATUL,99.5,100.0,94.0,97.0,1950,111550.0,Thursday,1995-02-17,4,8,True,True,-5.0,-4.9,False,True,-3.0,-3.06,False,False,-31.0,-31.0,False
1995-03-02,ATUL,102.5,102.5,92.5,93.9,1200,51645.0,Thursday,1995-02-24,1,9,False,False,-3.0999999999999943,-3.2,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-09,ATUL,98.0,98.0,98.0,98.0,100,9800.0,Thursday,1995-03-03,2,10,True,True,4.099999999999994,4.37,True,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-16,,,,,,0,,Thursday,1995-03-10,3,11,False,False,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-23,,,,,,0,,Thursday,1995-03-17,4,12,True,True,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-03-30,ATUL,104.75,107.0,104.75,106.9,2150,138970.0,Thursday,1995-03-24,5,13,False,False,,,False,False,10.75,11.32,True,False,-31.0,-31.0,False
1995-04-06,ATUL,105.0,110.0,105.0,110.0,1700,11000.0,Thursday,1995-03-31,1,14,False,True,3.0999999999999943,2.9,True,True,-5.75,-5.44,False,False,-31.0,-31.0,False
