Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,ATUL,103.0,103.0,100.0,100.0,250,10000,Saturday,True,,,False
1995-01-01,ATUL,102.0,115.0,57.0,69.0,88800,17250,Sunday,False,-31.0,-31.0,False
1996-01-01,ATUL,72.0,81.0,30.5,33.35,435650,491912,Monday,True,-35.65,-51.67,False
1997-01-01,ATUL,35.25,46.95,19.0,21.8,1068850,104640,Wednesday,False,-11.55,-34.63,False
1998-01-01,ATUL,21.8,28.6,14.6,21.5,728100,78475,Thursday,True,-0.3000000000000007,-1.38,False
1999-01-01,ATUL,20.75,38.5,16.0,25.25,1382600,39138,Friday,False,3.75,17.44,True
2000-01-01,ATUL,25.5,26.5,9.15,13.75,684787,6091,Saturday,True,-11.5,-45.54,False
2001-01-01,ATUL,11.9,17.7,8.7,16.05,742749,55998,Monday,False,2.3000000000000007,16.73,True
2002-01-01,ATUL,15.7,38.7,15.0,32.5,1691600,236470,Tuesday,True,16.45,102.49,True
2003-01-01,ATUL,32.25,76.0,25.9,68.1,7921282,3236589,Wednesday,False,35.599999999999994,109.54,True
2004-01-01,ATUL,68.8,71.9,27.0,63.8,16516874,3751950,Thursday,True,-4.299999999999997,-6.31,False
2005-01-01,ATUL,63.5,145.0,58.0,103.75,40025128,1495453,Saturday,False,39.95,62.62,True
2006-01-01,ATUL,104.0,176.9,96.65,116.75,10329133,435478,Sunday,True,13.0,12.53,True
2007-01-01,ATUL,118.0,132.5,66.25,106.7,5882146,46546380,Monday,False,-10.049999999999997,-8.61,False
2008-01-01,ATUL,108.1,123.9,31.05,42.2,8678420,112210,Tuesday,True,-64.5,-60.45,False
2009-01-01,ATUL,43.4,94.8,36.05,92.25,24307406,263050784,Thursday,False,50.05,118.6,True
2010-01-01,ATUL,93.0,218.0,72.8,184.9,55693441,4255659,Friday,True,92.65,100.43,True
2011-01-01,ATUL,188.0,241.05,132.25,134.4,14600429,533434,Saturday,False,-50.5,-27.31,False
2012-01-01,ATUL,135.0,475.0,135.0,423.0,11545913,11331747,Sunday,True,288.6,214.73,True
2013-01-01,ATUL,429.5,455.0,281.35,451.35,5737042,27470064,Tuesday,False,28.350000000000023,6.7,True
2014-01-01,ATUL,455.0,1497.0,395.0,1388.0,22206626,43358344,Wednesday,True,936.65,207.52,True
2015-01-01,ATUL,1384.95,1811.05,1035.0,1611.75,7704827,20947914,Thursday,False,223.75,16.12,True
2016-01-01,ATUL,1625.0,2492.0,1300.0,2077.9,8415656,9194707,Friday,True,466.1500000000001,28.92,True
2017-01-01,ATUL,2074.95,2849.85,1945.4,2735.7,5188148,13941127,Sunday,False,657.7999999999997,31.66,True
2018-01-01,ATUL,2710.0,3645.0,2525.0,3436.95,4477291,17473454,Monday,True,701.25,25.63,True
2019-01-01,ATUL,3451.45,4379.85,3200.0,4050.8,4175198,29360198,Tuesday,False,613.8500000000004,17.86,True
2020-01-01,ATUL,4099.9,7019.75,2923.2,6430.1,9488393,130788232,Wednesday,True,2379.3,58.74,True
2021-01-01,ATUL,6430.1,10969.0,6222.0,9039.1,7447047,120473128,Friday,False,2609.0,40.57,True
2022-01-01,ATUL,9049.9,10856.8,7750.0,8258.0,232261704,0,Saturday,True,-781.1000000000004,-8.64,False
2023-01-01,ATUL,8260.0,8335.85,6745.65,6871.6,2700442,0,Sunday,False,-1386.3999999999996,-16.79,False
