Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1998-12-01,AXISBANK,3.26,3.6,2.98,3.33,1320500,404595,Tuesday,True,,,False,True,,,False
1999-01-01,AXISBANK,3.3,3.64,3.1,3.19,2419500,165880,Friday,False,-0.14000000000000012,-4.2,False,False,1.6100000000000003,48.35,True
1999-02-01,AXISBANK,3.2,3.2,2.8,2.95,1586000,342200,Monday,True,-0.23999999999999977,-7.52,False,False,1.6100000000000003,48.35,True
1999-03-01,AXISBANK,3.1,3.58,2.6,2.81,5410500,177030,Monday,False,-0.14000000000000012,-4.75,False,False,1.6100000000000003,48.35,True
1999-04-01,AXISBANK,2.82,2.88,2.4,2.64,838500,84480,Thursday,True,-0.16999999999999993,-6.05,False,False,1.6100000000000003,48.35,True
1999-05-01,AXISBANK,2.65,3.2,2.57,2.8,1557000,254800,Saturday,False,0.1599999999999997,6.06,True,False,1.6100000000000003,48.35,True
1999-06-01,AXISBANK,2.97,3.6,2.8,3.11,3025500,192820,Tuesday,True,0.31000000000000005,11.07,True,False,1.6100000000000003,48.35,True
1999-07-01,AXISBANK,3.17,4.7,3.05,3.48,4138500,269700,Thursday,False,0.3700000000000001,11.9,True,False,1.6100000000000003,48.35,True
1999-08-01,AXISBANK,3.42,4.0,3.01,3.56,4109000,790320,Sunday,True,0.08000000000000007,2.3,True,False,1.6100000000000003,48.35,True
1999-09-01,AXISBANK,3.6,3.8,3.25,3.52,2260000,540320,Wednesday,False,-0.040000000000000036,-1.12,False,False,1.6100000000000003,48.35,True
1999-10-01,AXISBANK,3.43,4.2,3.3,3.5,6212500,484750,Friday,True,-0.020000000000000018,-0.57,False,False,1.6100000000000003,48.35,True
1999-11-01,AXISBANK,3.55,3.55,3.01,3.3,2208000,419100,Monday,False,-0.20000000000000018,-5.71,False,False,1.6100000000000003,48.35,True
1999-12-01,AXISBANK,3.4,6.14,3.27,4.94,21954500,2294630,Wednesday,True,1.6400000000000006,49.7,True,False,1.6100000000000003,48.35,True
2000-01-01,AXISBANK,5.34,6.32,4.5,6.32,12229000,10017200,Saturday,False,1.38,27.94,True,True,4.099999999999999,83.0,True
2000-02-01,AXISBANK,6.59,9.3,6.59,7.25,23506500,11465875,Tuesday,True,0.9299999999999997,14.72,True,True,4.099999999999999,83.0,True
2000-03-01,AXISBANK,7.4,8.44,5.21,7.94,9481665,2833786,Wednesday,False,0.6900000000000004,9.52,True,True,4.099999999999999,83.0,True
2000-04-01,AXISBANK,8.58,8.58,6.04,6.9,7269285,1859585,Saturday,True,-1.04,-13.1,False,True,4.099999999999999,83.0,True
2000-05-01,AXISBANK,7.2,7.78,6.5,7.22,6566920,1333101,Monday,False,0.3199999999999994,4.64,True,True,4.099999999999999,83.0,True
2000-06-01,AXISBANK,7.06,7.29,6.4,6.6,3263185,370425,Thursday,True,-0.6200000000000001,-8.59,False,True,4.099999999999999,83.0,True
2000-07-01,AXISBANK,6.69,8.73,6.52,7.9,13116010,4037374,Saturday,False,1.3000000000000007,19.7,True,True,4.099999999999999,83.0,True
2000-08-01,AXISBANK,7.93,7.94,7.22,7.62,4465195,766305,Tuesday,True,-0.28000000000000025,-3.54,False,True,4.099999999999999,83.0,True
2000-09-01,AXISBANK,7.6,8.2,6.92,7.24,5572635,828546,Friday,False,-0.3799999999999999,-4.99,False,True,4.099999999999999,83.0,True
2000-10-01,AXISBANK,7.2,7.8,6.16,7.63,4542845,1475795,Sunday,True,0.3899999999999997,5.39,True,True,4.099999999999999,83.0,True
2000-11-01,AXISBANK,7.69,10.28,7.5,8.91,14726200,2797785,Wednesday,False,1.2800000000000002,16.78,True,True,4.099999999999999,83.0,True
2000-12-01,AXISBANK,8.93,10.58,8.61,9.04,12876730,4276915,Friday,True,0.129999999999999,1.46,True,True,4.099999999999999,83.0,True
2001-01-01,AXISBANK,9.1,10.81,8.63,8.75,18465885,19484500,Monday,False,-0.28999999999999915,-3.21,False,False,-3.789999999999999,-41.92,False
2001-02-01,AXISBANK,8.6,8.98,7.02,7.4,30942525,15982520,Thursday,True,-1.3499999999999996,-15.43,False,False,-3.789999999999999,-41.92,False
2001-03-01,AXISBANK,7.54,7.99,4.8,4.99,15638495,1988415,Thursday,False,-2.41,-32.57,False,False,-3.789999999999999,-41.92,False
2001-04-01,AXISBANK,4.9,6.85,4.59,5.96,8509195,2994632,Sunday,True,0.9699999999999998,19.44,True,False,-3.789999999999999,-41.92,False
2001-05-01,AXISBANK,6.19,7.76,6.07,7.3,11356940,13871496,Tuesday,False,1.3399999999999999,22.48,True,False,-3.789999999999999,-41.92,False
2001-06-01,AXISBANK,7.39,7.68,5.99,6.29,7788630,1486421,Friday,True,-1.0099999999999998,-13.84,False,False,-3.789999999999999,-41.92,False
2001-07-01,AXISBANK,6.93,6.93,5.24,5.47,3560940,728850,Sunday,False,-0.8200000000000003,-13.04,False,False,-3.789999999999999,-41.92,False
2001-08-01,AXISBANK,5.44,6.36,5.3,5.74,2487435,487900,Wednesday,True,0.27000000000000046,4.94,True,False,-3.789999999999999,-41.92,False
2001-09-01,AXISBANK,5.84,6.0,4.2,5.03,3917690,551615,Saturday,False,-0.71,-12.37,False,False,-3.789999999999999,-41.92,False
2001-10-01,AXISBANK,5.6,5.99,4.46,5.3,4075225,461392,Monday,True,0.2699999999999996,5.37,True,False,-3.789999999999999,-41.92,False
2001-11-01,AXISBANK,5.25,5.98,5.25,5.54,3930365,1569150,Thursday,False,0.2400000000000002,4.53,True,False,-3.789999999999999,-41.92,False
2001-12-01,AXISBANK,5.6,5.7,5.0,5.25,3396740,439740,Saturday,True,-0.29000000000000004,-5.23,False,False,-3.789999999999999,-41.92,False
2002-01-01,AXISBANK,5.32,6.22,5.13,5.87,3866780,273043,Tuesday,False,0.6200000000000001,11.81,True,True,3.67,69.9,True
2002-02-01,AXISBANK,5.82,9.4,5.79,7.48,25287520,15730702,Friday,True,1.6100000000000003,27.43,True,True,3.67,69.9,True
2002-03-01,AXISBANK,7.4,8.44,7.25,7.97,7631870,2867925,Friday,False,0.4899999999999993,6.55,True,True,3.67,69.9,True
