Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-06,BAJFINANCE,16.0,16.2,15.0,15.4,8000,46200.0,Monday,,,False,False,,,False,True,,,False,False,,,False
1995-02-13,BAJFINANCE,15.3,15.3,14.3,15.2,46000,273600.0,Monday,,,False,False,-0.20000000000000107,-1.3,False,True,,,False,False,,,False
1995-02-20,BAJFINANCE,14.7,15.0,13.5,14.7,37000,147000.0,Monday,,,False,False,-0.5,-3.29,False,True,,,False,False,,,False
1995-02-27,BAJFINANCE,14.5,15.9,14.4,15.9,141000,63600.0,Monday,,,False,False,1.200000000000001,8.16,True,True,,,False,False,,,False
1995-03-06,BAJFINANCE,16.0,16.0,15.25,15.5,32000,139500.0,Monday,1,,False,False,-0.40000000000000036,-2.52,False,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-13,BAJFINANCE,15.25,15.5,14.52,14.95,48000,104650.0,Monday,2,,True,False,-0.5500000000000007,-3.55,False,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-20,BAJFINANCE,14.1,14.8,13.9,14.0,23000,70000.0,Monday,3,,False,False,-0.9499999999999993,-6.35,False,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-27,BAJFINANCE,14.0,14.4,13.8,14.05,51000,70250.0,Monday,4,,True,False,0.05000000000000071,0.36,True,False,-0.3899999999999988,-2.7,False,False,,,False
1995-04-03,BAJFINANCE,14.4,15.2,14.1,15.2,56000,152000.0,Monday,1,,False,False,1.1499999999999986,8.19,True,True,-1.4000000000000004,-9.96,False,False,,,False
1995-04-10,BAJFINANCE,15.0,15.0,14.7,15.0,27000,75000.0,Monday,2,,True,False,-0.1999999999999993,-1.32,False,True,-1.4000000000000004,-9.96,False,False,,,False
1995-04-17,BAJFINANCE,15.0,15.3,14.0,14.4,49000,172800.0,Monday,3,,False,False,-0.5999999999999996,-4.0,False,True,-1.4000000000000004,-9.96,False,False,,,False
1995-04-24,BAJFINANCE,14.1,14.2,12.5,12.65,48000,25300.0,Monday,4,,True,False,-1.75,-12.15,False,True,-1.4000000000000004,-9.96,False,False,,,False
1995-05-01,BAJFINANCE,12.5,13.2,11.8,13.1,28000,39300.0,Monday,1,,False,False,0.4499999999999993,3.56,True,False,0.34999999999999964,2.77,True,False,,,False
1995-05-08,BAJFINANCE,12.8,13.7,12.8,13.0,35000,182000.0,Monday,2,,True,False,-0.09999999999999964,-0.76,False,False,0.34999999999999964,2.77,True,False,,,False
1995-05-15,BAJFINANCE,13.01,13.01,12.5,12.85,25000,38550.0,Monday,3,,False,False,-0.15000000000000036,-1.15,False,False,0.34999999999999964,2.77,True,False,,,False
1995-05-22,BAJFINANCE,12.9,13.1,12.51,12.8,22000,25600.0,Monday,4,,True,False,-0.049999999999998934,-0.39,False,False,0.34999999999999964,2.77,True,False,,,False
1995-05-29,BAJFINANCE,12.7,13.0,12.2,12.5,36000,112500.0,Monday,5,,False,False,-0.3000000000000007,-2.34,False,False,0.34999999999999964,2.77,True,False,,,False
1995-06-05,BAJFINANCE,12.59,15.6,12.5,14.3,68000,57200.0,Monday,1,,False,False,1.8000000000000007,14.4,True,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-12,BAJFINANCE,14.4,14.45,13.0,13.1,38000,91700.0,Monday,2,,True,False,-1.200000000000001,-8.39,False,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-19,BAJFINANCE,13.38,13.8,13.3,13.5,30000,148500.0,Monday,3,,False,False,0.40000000000000036,3.05,True,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-26,BAJFINANCE,14.0,14.0,11.8,12.4,50000,136400.0,Monday,4,,True,False,-1.0999999999999996,-8.15,False,True,-0.5999999999999996,-4.62,False,False,,,False
1995-07-03,BAJFINANCE,12.01,12.01,11.0,11.2,41000,11200.0,Monday,1,,False,False,-1.200000000000001,-9.68,False,False,1.5600000000000005,12.58,True,False,,,False
1995-07-10,BAJFINANCE,11.6,13.0,11.5,12.9,45000,167700.0,Monday,2,,True,False,1.700000000000001,15.18,True,False,1.5600000000000005,12.58,True,False,,,False
1995-07-17,BAJFINANCE,13.35,14.4,13.35,13.9,49000,27800.0,Monday,3,,False,False,1.0,7.75,True,False,1.5600000000000005,12.58,True,False,,,False
1995-07-24,BAJFINANCE,13.6,15.6,13.5,14.0,165000,406000.0,Monday,4,,True,False,0.09999999999999964,0.72,True,False,1.5600000000000005,12.58,True,False,,,False
1995-07-31,BAJFINANCE,13.94,14.0,13.3,13.5,81000,108000.0,Monday,5,,False,False,-0.5,-3.57,False,False,1.5600000000000005,12.58,True,False,,,False
1995-08-07,BAJFINANCE,13.31,13.49,12.7,12.8,24000,102400.0,Monday,1,,False,False,-0.6999999999999993,-5.19,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-14,BAJFINANCE,12.51,12.84,12.0,12.1,34000,133100.0,Monday,2,,True,False,-0.7000000000000011,-5.47,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-21,BAJFINANCE,12.1,12.2,11.1,11.65,74000,163100.0,Monday,3,,False,False,-0.4499999999999993,-3.72,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-28,BAJFINANCE,11.06,11.6,10.99,11.3,64000,56500.0,Monday,4,,True,False,-0.34999999999999964,-3.0,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-09-04,BAJFINANCE,11.2,11.39,10.9,11.2,53000,44800.0,Monday,1,,False,False,-0.10000000000000142,-0.88,False,False,-0.02999999999999936,-0.27,False,False,,,False
1995-09-11,BAJFINANCE,11.0,11.64,11.0,11.6,36000,69600.0,Monday,2,,True,False,0.40000000000000036,3.57,True,False,-0.02999999999999936,-0.27,False,False,,,False
1995-09-18,BAJFINANCE,11.1,11.6,11.0,11.29,43000,67740.0,Monday,3,,False,False,-0.3100000000000005,-2.67,False,False,-0.02999999999999936,-0.27,False,False,,,False
1995-09-25,BAJFINANCE,11.01,11.8,11.01,11.25,59000,67500.0,Monday,4,,True,False,-0.03999999999999915,-0.35,False,False,-0.02999999999999936,-0.27,False,False,,,False
1995-10-02,BAJFINANCE,11.3,11.5,11.3,11.3,16000,124300.0,Monday,1,,False,False,0.05000000000000071,0.44,True,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-09,BAJFINANCE,11.3,11.68,10.61,10.85,56000,43400.0,Monday,2,,True,False,-0.45000000000000107,-3.98,False,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-16,BAJFINANCE,10.85,11.1,9.5,9.8,90000,205800.0,Monday,3,,False,False,-1.049999999999999,-9.68,False,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-23,BAJFINANCE,9.8,10.1,9.5,9.57,31000,66990.0,Monday,4,,True,False,-0.23000000000000043,-2.35,False,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-30,BAJFINANCE,9.5,9.9,9.5,9.87,30000,59220.0,Monday,5,,False,False,0.29999999999999893,3.13,True,True,-1.6999999999999993,-15.11,False,False,,,False
1995-11-06,BAJFINANCE,9.8,9.8,9.0,9.27,35000,55650.0,Monday,1,,False,False,-0.5999999999999996,-6.08,False,False,-1.5500000000000007,-16.23,False,False,,,False
1995-11-13,BAJFINANCE,9.49,9.49,7.4,7.8,110000,257400.0,Monday,2,,True,False,-1.4699999999999998,-15.86,False,False,-1.5500000000000007,-16.23,False,False,,,False
1995-11-20,BAJFINANCE,7.6,7.9,7.4,7.65,64000,61200.0,Monday,3,,False,False,-0.14999999999999947,-1.92,False,False,-1.5500000000000007,-16.23,False,False,,,False
