Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-09,BAJFINANCE,16.0,16.2,15.8,15.82,5000,79125.0,Thursday,1995-02-03,,,False,False,,,False,True,,,False,False,,,False
1995-02-16,BAJFINANCE,15.0,15.4,14.3,15.2,49000,273600.0,Thursday,1995-02-10,,,False,False,-0.620000000000001,-3.92,False,True,,,False,False,,,False
1995-02-23,BAJFINANCE,14.7,15.0,13.5,14.5,27000,116000.0,Thursday,1995-02-17,,,False,False,-0.6999999999999993,-4.61,False,True,,,False,False,,,False
1995-03-02,BAJFINANCE,15.0,15.4,14.4,15.14,147000,1785930.0,Thursday,1995-02-24,1,,False,False,0.6400000000000006,4.41,True,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-09,BAJFINANCE,15.3,16.0,15.25,15.4,27000,77000.0,Thursday,1995-03-03,2,,True,False,0.2599999999999998,1.72,True,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-16,BAJFINANCE,15.6,15.6,14.52,14.95,57000,104650.0,Thursday,1995-03-10,3,,False,False,-0.45000000000000107,-2.92,False,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-23,BAJFINANCE,14.1,14.8,13.9,14.45,18000,43350.0,Thursday,1995-03-17,4,,True,False,-0.5,-3.34,False,False,-0.3899999999999988,-2.7,False,False,,,False
1995-03-30,BAJFINANCE,14.2,14.4,13.8,14.05,51000,42150.0,Thursday,1995-03-24,5,,False,False,-0.3999999999999986,-2.77,False,False,-0.3899999999999988,-2.7,False,False,,,False
1995-04-06,BAJFINANCE,14.0,15.0,14.0,15.0,51000,345000.0,Thursday,1995-03-31,1,,False,False,0.9499999999999993,6.76,True,True,-1.4000000000000004,-9.96,False,False,,,False
1995-04-13,BAJFINANCE,15.0,15.2,14.7,15.0,37000,75000.0,Thursday,1995-04-07,2,,True,False,0.0,0.0,False,True,-1.4000000000000004,-9.96,False,False,,,False
1995-04-20,BAJFINANCE,15.0,15.3,14.0,14.0,37000,140000.0,Thursday,1995-04-14,3,,False,False,-1.0,-6.67,False,True,-1.4000000000000004,-9.96,False,False,,,False
1995-04-27,BAJFINANCE,14.0,14.4,12.5,13.01,58000,117090.0,Thursday,1995-04-21,4,,True,False,-0.9900000000000002,-7.07,False,True,-1.4000000000000004,-9.96,False,False,,,False
1995-05-04,BAJFINANCE,12.75,13.0,11.8,13.0,27000,78000.0,Thursday,1995-04-28,1,,False,False,-0.009999999999999787,-0.08,False,False,0.34999999999999964,2.77,True,False,,,False
1995-05-11,BAJFINANCE,13.2,13.7,12.8,13.7,24000,95900.0,Thursday,1995-05-05,2,,True,False,0.6999999999999993,5.38,True,False,0.34999999999999964,2.77,True,False,,,False
1995-05-18,BAJFINANCE,13.5,13.5,12.5,12.7,36000,101600.0,Thursday,1995-05-12,3,,False,False,-1.0,-7.3,False,False,0.34999999999999964,2.77,True,False,,,False
1995-05-25,BAJFINANCE,12.8,13.1,12.51,12.7,23000,38100.0,Thursday,1995-05-19,4,,True,False,0.0,0.0,False,False,0.34999999999999964,2.77,True,False,,,False
1995-06-01,BAJFINANCE,12.8,13.0,12.2,12.4,29000,124000.0,Thursday,1995-05-26,1,,False,False,-0.29999999999999893,-2.36,False,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-08,BAJFINANCE,12.3,15.6,12.2,15.23,73000,137025.0,Thursday,1995-06-02,2,,True,False,2.83,22.82,True,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-15,BAJFINANCE,14.9,14.9,13.0,13.0,35000,39000.0,Thursday,1995-06-09,3,,False,False,-2.2300000000000004,-14.64,False,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-22,BAJFINANCE,13.0,13.8,13.0,13.6,26000,54400.0,Thursday,1995-06-16,4,,True,False,0.5999999999999996,4.62,True,True,-0.5999999999999996,-4.62,False,False,,,False
1995-06-29,BAJFINANCE,13.51,14.0,11.8,12.4,50000,136400.0,Thursday,1995-06-23,5,,False,False,-1.1999999999999993,-8.82,False,True,-0.5999999999999996,-4.62,False,False,,,False
1995-07-06,BAJFINANCE,12.4,12.4,11.0,11.3,51000,113000.0,Thursday,1995-06-30,1,,False,False,-1.0999999999999996,-8.87,False,False,1.5600000000000005,12.58,True,False,,,False
1995-07-13,BAJFINANCE,11.2,12.8,11.2,12.8,33000,25600.0,Thursday,1995-07-07,2,,True,False,1.5,13.27,True,False,1.5600000000000005,12.58,True,False,,,False
1995-07-20,BAJFINANCE,12.81,14.4,12.8,13.99,60000,153945.0,Thursday,1995-07-14,3,,False,False,1.1899999999999995,9.3,True,False,1.5600000000000005,12.58,True,False,,,False
1995-07-27,BAJFINANCE,13.6,15.6,13.5,14.85,138000,831600.0,Thursday,1995-07-21,4,,True,False,0.8599999999999994,6.15,True,False,1.5600000000000005,12.58,True,False,,,False
1995-08-03,BAJFINANCE,14.2,14.36,13.4,13.4,102000,160800.0,Thursday,1995-07-28,1,,False,False,-1.4499999999999993,-9.76,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-10,BAJFINANCE,13.41,13.5,12.7,13.0,24000,65000.0,Thursday,1995-08-04,2,,True,False,-0.40000000000000036,-2.99,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-17,BAJFINANCE,12.81,12.84,12.0,12.1,31000,108900.0,Thursday,1995-08-11,3,,False,False,-0.9000000000000004,-6.92,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-24,BAJFINANCE,12.41,12.41,11.43,11.8,71000,94400.0,Thursday,1995-08-18,4,,True,False,-0.29999999999999893,-2.48,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-08-31,BAJFINANCE,11.5,11.65,10.99,11.28,73000,214415.0,Thursday,1995-08-25,5,,False,False,-0.5200000000000014,-4.41,False,True,-2.6800000000000015,-19.2,False,False,,,False
1995-09-07,BAJFINANCE,11.25,11.3,10.9,11.1,54000,55500.0,Thursday,1995-09-01,1,,False,False,-0.17999999999999972,-1.6,False,False,-0.02999999999999936,-0.27,False,False,,,False
1995-09-14,BAJFINANCE,11.3,11.55,11.0,11.55,34000,57750.0,Thursday,1995-09-08,2,,True,False,0.45000000000000107,4.05,True,False,-0.02999999999999936,-0.27,False,False,,,False
1995-09-21,BAJFINANCE,11.4,11.64,11.0,11.3,43000,90400.0,Thursday,1995-09-15,3,,False,False,-0.25,-2.16,False,False,-0.02999999999999936,-0.27,False,False,,,False
1995-09-28,BAJFINANCE,11.3,11.8,11.01,11.2,59000,100800.0,Thursday,1995-09-22,4,,True,False,-0.10000000000000142,-0.88,False,False,-0.02999999999999936,-0.27,False,False,,,False
1995-10-05,BAJFINANCE,11.1,11.5,11.1,11.3,11000,45200.0,Thursday,1995-09-29,1,,False,False,0.10000000000000142,0.89,True,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-12,BAJFINANCE,11.3,11.68,10.61,10.9,63000,152600.0,Thursday,1995-10-06,2,,True,False,-0.40000000000000036,-3.54,False,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-19,BAJFINANCE,10.9,11.1,9.95,9.95,73000,268650.0,Thursday,1995-10-13,3,,False,False,-0.9500000000000011,-8.72,False,True,-1.6999999999999993,-15.11,False,False,,,False
1995-10-26,BAJFINANCE,10.09,10.1,9.5,9.8,45000,88200.0,Thursday,1995-10-20,4,,True,False,-0.14999999999999858,-1.51,False,True,-1.6999999999999993,-15.11,False,False,,,False
1995-11-02,BAJFINANCE,9.5,9.8,9.5,9.75,31000,39000.0,Thursday,1995-10-27,1,,False,False,-0.05000000000000071,-0.51,False,False,-1.5500000000000007,-16.23,False,False,,,False
1995-11-09,BAJFINANCE,9.8,9.9,9.5,9.53,35000,123890.0,Thursday,1995-11-03,2,,True,False,-0.22000000000000064,-2.26,False,False,-1.5500000000000007,-16.23,False,False,,,False
1995-11-16,BAJFINANCE,9.53,9.53,7.4,8.12,83000,211120.0,Thursday,1995-11-10,3,,False,False,-1.4100000000000001,-14.8,False,False,-1.5500000000000007,-16.23,False,False,,,False
1995-11-23,BAJFINANCE,8.12,8.3,7.4,7.7,89000,84700.0,Thursday,1995-11-17,4,,True,False,-0.41999999999999904,-5.17,False,False,-1.5500000000000007,-16.23,False,False,,,False
1995-11-30,BAJFINANCE,7.7,8.15,7.6,8.0,35000,8000.0,Thursday,1995-11-24,5,,False,False,0.2999999999999998,3.9,True,False,-1.5500000000000007,-16.23,False,False,,,False
1995-12-07,BAJFINANCE,8.2,8.88,8.1,8.74,50000,157410.0,Thursday,1995-12-01,1,,False,False,0.7400000000000002,9.25,True,True,0.5,6.25,True,False,,,False
1995-12-14,BAJFINANCE,9.0,9.15,8.45,8.69,53000,52170.0,Thursday,1995-12-08,2,,True,False,-0.05000000000000071,-0.57,False,True,0.5,6.25,True,False,,,False
1995-12-21,BAJFINANCE,8.69,8.7,8.1,8.25,29000,41250.0,Thursday,1995-12-15,3,,False,False,-0.4399999999999995,-5.06,False,True,0.5,6.25,True,False,,,False
1995-12-28,BAJFINANCE,8.4,8.55,8.3,8.5,20000,25500.0,Thursday,1995-12-22,4,,True,False,0.25,3.03,True,True,0.5,6.25,True,False,,,False
1996-01-04,BAJFINANCE,8.5,8.5,8.06,8.25,21000,16500.0,Thursday,1995-12-29,1,1,False,False,-0.25,-2.94,False,False,-1.9000000000000004,-22.35,False,True,-3.76,-44.24,False
1996-01-11,BAJFINANCE,8.0,8.0,7.45,7.55,36000,105700.0,Thursday,1996-01-05,2,2,True,True,-0.7000000000000002,-8.48,False,False,-1.9000000000000004,-22.35,False,True,-3.76,-44.24,False
1996-01-18,BAJFINANCE,7.5,7.6,7.0,7.05,23000,14100.0,Thursday,1996-01-12,3,3,False,False,-0.5,-6.62,False,False,-1.9000000000000004,-22.35,False,True,-3.76,-44.24,False
