Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2008-05-01,BAJAJFINSV,600.0,703.0,491.1,644.0,19663320,1969138816,Thursday,False,,,False,True,,,False
2008-06-01,BAJAJFINSV,650.0,699.0,520.0,537.85,15829654,56678092,Sunday,True,-106.14999999999998,-16.48,False,True,,,False
2008-07-01,BAJAJFINSV,535.0,550.0,388.05,442.65,3581521,6140884,Tuesday,False,-95.20000000000005,-17.7,False,True,,,False
2008-08-01,BAJAJFINSV,430.0,592.0,423.0,537.3,1218529,26450204,Friday,True,94.64999999999998,21.38,True,True,,,False
2008-09-01,BAJAJFINSV,532.4,545.0,340.0,386.65,1107818,11198544,Monday,False,-150.64999999999998,-28.04,False,True,,,False
2008-10-01,BAJAJFINSV,378.5,386.95,108.25,116.65,1139671,6702243,Wednesday,True,-270.0,-69.83,False,True,,,False
2008-11-01,BAJAJFINSV,120.0,146.0,93.5,95.55,4245921,18031146,Saturday,False,-21.10000000000001,-18.09,False,True,,,False
2008-12-01,BAJAJFINSV,95.0,154.8,88.15,149.7,6180217,16880022,Monday,True,54.14999999999999,56.67,True,True,,,False
2009-01-01,BAJAJFINSV,151.0,214.0,145.0,172.45,1409446,4102586,Thursday,False,22.75,15.2,True,False,195.90000000000003,130.86,True
2009-02-01,BAJAJFINSV,165.05,174.0,138.65,155.45,570024,5799684,Sunday,True,-17.0,-9.86,False,False,195.90000000000003,130.86,True
2009-03-01,BAJAJFINSV,155.0,175.0,136.3,169.05,693772,2316830,Sunday,False,13.600000000000023,8.75,True,False,195.90000000000003,130.86,True
2009-04-01,BAJAJFINSV,168.0,240.0,165.5,218.2,415962,1403462,Wednesday,True,49.14999999999998,29.07,True,False,195.90000000000003,130.86,True
2009-05-01,BAJAJFINSV,229.1,364.0,220.0,364.0,761273,28838628,Friday,False,145.8,66.82,True,False,195.90000000000003,130.86,True
2009-06-01,BAJAJFINSV,379.9,442.55,362.0,395.8,840038,2620988,Monday,True,31.80000000000001,8.74,True,False,195.90000000000003,130.86,True
2009-07-01,BAJAJFINSV,380.0,390.0,325.15,339.25,438909,9083758,Wednesday,False,-56.55000000000001,-14.29,False,False,195.90000000000003,130.86,True
2009-08-01,BAJAJFINSV,344.0,348.85,261.3,279.3,574767,8044398,Saturday,True,-59.94999999999999,-17.67,False,False,195.90000000000003,130.86,True
2009-09-01,BAJAJFINSV,283.0,310.9,249.0,278.45,1405453,11263581,Tuesday,False,-0.8500000000000227,-0.3,False,False,195.90000000000003,130.86,True
2009-10-01,BAJAJFINSV,272.25,358.0,272.25,311.5,2883265,14929572,Thursday,True,33.05000000000001,11.87,True,False,195.90000000000003,130.86,True
2009-11-01,BAJAJFINSV,301.0,349.7,292.2,311.1,1738008,8817819,Sunday,False,-0.39999999999997726,-0.13,False,False,195.90000000000003,130.86,True
2009-12-01,BAJAJFINSV,313.0,353.4,312.15,345.6,3166238,167194368,Tuesday,True,34.5,11.09,True,False,195.90000000000003,130.86,True
2010-01-01,BAJAJFINSV,349.45,371.7,310.35,318.6,1661608,12489439,Friday,False,-27.0,-7.81,False,True,117.25,33.93,True
2010-02-01,BAJAJFINSV,318.6,361.65,315.0,347.1,2641117,72099264,Monday,True,28.5,8.95,True,True,117.25,33.93,True
2010-03-01,BAJAJFINSV,345.0,360.0,315.0,336.15,4713639,13214056,Monday,False,-10.950000000000045,-3.15,False,True,117.25,33.93,True
2010-04-01,BAJAJFINSV,321.35,369.0,300.0,343.95,4184366,46405048,Thursday,True,7.800000000000011,2.32,True,True,117.25,33.93,True
2010-05-01,BAJAJFINSV,345.0,557.8,325.0,441.0,36510351,144749872,Saturday,False,97.05000000000001,28.22,True,True,117.25,33.93,True
2010-06-01,BAJAJFINSV,438.8,492.7,403.9,437.15,11132238,125790344,Tuesday,True,-3.8500000000000227,-0.87,False,True,117.25,33.93,True
