Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-05-01,BALRAMCHIN,9.4,9.4,9.4,9.4,18750,129250,Monday,False,,,False,False,,,False
1995-06-01,BALRAMCHIN,8.6,8.6,5.44,7.65,1507500,2027780,Thursday,True,-1.75,-18.62,False,False,,,False
1995-07-01,BALRAMCHIN,7.4,9.2,7.2,8.6,323750,32250,Saturday,False,0.9499999999999993,12.42,True,False,,,False
1995-08-01,BALRAMCHIN,8.28,8.44,7.8,7.8,41250,19500,Tuesday,True,-0.7999999999999998,-9.3,False,False,,,False
1995-09-01,BALRAMCHIN,7.4,7.4,6.6,7.2,71250,18000,Friday,False,-0.5999999999999996,-7.69,False,False,,,False
1995-10-01,BALRAMCHIN,7.2,8.38,6.48,6.48,141250,64800,Sunday,True,-0.7199999999999998,-10.0,False,False,,,False
1995-11-01,BALRAMCHIN,6.32,6.8,5.44,5.76,183750,50400,Wednesday,False,-0.7200000000000006,-11.11,False,False,,,False
1995-12-01,BALRAMCHIN,5.92,7.44,5.64,6.92,267500,320050,Friday,True,1.1600000000000001,20.14,True,False,,,False
1996-01-01,BALRAMCHIN,6.72,6.72,5.44,5.8,347500,29000,Monday,False,-1.12,-16.18,False,True,-0.8200000000000003,-11.85,False
1996-02-01,BALRAMCHIN,5.98,10.82,5.84,9.8,2476250,2143750,Thursday,True,4.000000000000001,68.97,True,True,-0.8200000000000003,-11.85,False
1996-03-01,BALRAMCHIN,9.8,10.8,7.54,7.78,3302500,855580,Friday,False,-2.0200000000000005,-20.61,False,True,-0.8200000000000003,-11.85,False
1996-04-01,BALRAMCHIN,7.78,9.75,7.76,9.26,3563750,1899530,Monday,True,1.4799999999999995,19.02,True,True,-0.8200000000000003,-11.85,False
1996-05-01,BALRAMCHIN,9.26,10.8,8.71,8.98,1520500,242325,Wednesday,False,-0.27999999999999936,-3.02,False,True,-0.8200000000000003,-11.85,False
1996-06-01,BALRAMCHIN,8.98,12.9,9.0,11.91,3348500,1333920,Saturday,True,2.9299999999999997,32.63,True,True,-0.8200000000000003,-11.85,False
1996-07-01,BALRAMCHIN,11.79,11.79,7.7,8.05,1035500,583263,Monday,False,-3.8599999999999994,-32.41,False,True,-0.8200000000000003,-11.85,False
1996-08-01,BALRAMCHIN,8.0,8.6,6.98,7.6,1958000,429400,Thursday,True,-0.45000000000000107,-5.59,False,True,-0.8200000000000003,-11.85,False
1996-09-01,BALRAMCHIN,7.76,8.77,6.81,6.81,1697000,238350,Sunday,False,-0.79,-10.39,False,True,-0.8200000000000003,-11.85,False
1996-10-01,BALRAMCHIN,6.43,6.85,5.2,6.2,1124500,65100,Tuesday,True,-0.6099999999999994,-8.96,False,True,-0.8200000000000003,-11.85,False
1996-11-01,BALRAMCHIN,6.1,6.21,5.0,5.25,768500,21000,Friday,False,-0.9500000000000002,-15.32,False,True,-0.8200000000000003,-11.85,False
1996-12-01,BALRAMCHIN,5.2,6.53,4.97,6.1,8466500,2470500,Sunday,True,0.8499999999999996,16.19,True,True,-0.8200000000000003,-11.85,False
1997-01-01,BALRAMCHIN,6.53,7.64,6.5,7.1,10681000,347900,Wednesday,False,1.0,16.39,True,False,3.7300000000000004,61.15,True
1997-02-01,BALRAMCHIN,7.26,8.2,6.8,8.03,4230500,2655568,Saturday,True,0.9299999999999997,13.1,True,False,3.7300000000000004,61.15,True
1997-03-01,BALRAMCHIN,8.23,9.65,7.2,7.31,8345000,2140365,Saturday,False,-0.7199999999999998,-8.97,False,False,3.7300000000000004,61.15,True
1997-04-01,BALRAMCHIN,6.85,9.65,6.65,9.55,6864500,6665900,Tuesday,True,2.240000000000001,30.64,True,False,3.7300000000000004,61.15,True
1997-05-01,BALRAMCHIN,10.0,11.35,9.64,10.71,14256000,1836765,Thursday,False,1.1600000000000001,12.15,True,False,3.7300000000000004,61.15,True
1997-06-01,BALRAMCHIN,10.8,13.5,10.7,12.8,8044500,1158400,Sunday,True,2.09,19.51,True,False,3.7300000000000004,61.15,True
1997-07-01,BALRAMCHIN,12.85,14.2,11.83,14.05,7841000,5316033,Tuesday,False,1.25,9.77,True,False,3.7300000000000004,61.15,True
1997-08-01,BALRAMCHIN,14.17,15.39,12.68,12.89,8541000,2669265,Friday,True,-1.1600000000000001,-8.26,False,False,3.7300000000000004,61.15,True
1997-09-01,BALRAMCHIN,12.53,12.89,10.73,10.99,4696500,819128,Monday,False,-1.9000000000000004,-14.74,False,False,3.7300000000000004,61.15,True
1997-10-01,BALRAMCHIN,10.7,12.85,9.73,11.44,6143500,2758245,Wednesday,True,0.4499999999999993,4.09,True,False,3.7300000000000004,61.15,True
1997-11-01,BALRAMCHIN,11.44,11.44,9.1,9.16,4612500,1666210,Saturday,False,-2.2799999999999994,-19.93,False,False,3.7300000000000004,61.15,True
1997-12-01,BALRAMCHIN,8.9,9.83,8.5,9.83,3362500,712675,Monday,True,0.6699999999999999,7.31,True,False,3.7300000000000004,61.15,True
1998-01-01,BALRAMCHIN,10.3,11.5,9.06,9.28,5294500,896003,Thursday,False,-0.5500000000000007,-5.6,False,True,1.4700000000000006,14.95,True
1998-02-01,BALRAMCHIN,9.2,9.67,8.66,9.09,4235500,2986065,Sunday,True,-0.1899999999999995,-2.05,False,True,1.4700000000000006,14.95,True
1998-03-01,BALRAMCHIN,9.0,12.39,9.0,11.53,9210500,7096715,Sunday,False,2.4399999999999995,26.84,True,True,1.4700000000000006,14.95,True
1998-04-01,BALRAMCHIN,11.95,18.39,11.8,16.72,29922500,43555600,Wednesday,True,5.1899999999999995,45.01,True,True,1.4700000000000006,14.95,True
1998-05-01,BALRAMCHIN,17.1,18.2,13.95,15.24,24558000,20611240,Friday,False,-1.4799999999999986,-8.85,False,True,1.4700000000000006,14.95,True
1998-06-01,BALRAMCHIN,15.4,15.8,10.1,12.8,28891500,14579902,Monday,True,-2.4399999999999995,-16.01,False,True,1.4700000000000006,14.95,True
1998-07-01,BALRAMCHIN,12.61,14.49,11.22,11.86,20352000,1321833,Wednesday,False,-0.9400000000000013,-7.34,False,True,1.4700000000000006,14.95,True
1998-08-01,BALRAMCHIN,11.5,13.6,11.3,12.29,13297500,11171610,Saturday,True,0.4299999999999997,3.63,True,True,1.4700000000000006,14.95,True
1998-09-01,BALRAMCHIN,11.7,13.3,11.41,11.98,9867500,1652550,Tuesday,False,-0.3099999999999987,-2.52,False,True,1.4700000000000006,14.95,True
