Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2018-03-26,BANDHANBNK,499.0,499.0,455.0,469.05,103093513,5655280128,Monday,,,False,False,,,False,False,,,False,True,,,False
2018-04-02,BANDHANBNK,474.9,517.7,469.15,508.25,20503479,937545408,Monday,1,,False,False,39.19999999999999,8.36,True,True,44.400000000000034,9.47,True,True,,,False
2018-04-09,BANDHANBNK,508.8,540.8,496.05,528.65,10886252,559299584,Monday,2,,True,False,20.399999999999977,4.01,True,True,44.400000000000034,9.47,True,True,,,False
2018-04-16,BANDHANBNK,523.9,532.35,493.1,495.05,4271066,470235104,Monday,3,,False,False,-33.599999999999966,-6.36,False,True,44.400000000000034,9.47,True,True,,,False
2018-04-23,BANDHANBNK,496.0,522.95,481.75,506.45,12502956,2854345728,Monday,4,,True,False,11.399999999999977,2.3,True,True,44.400000000000034,9.47,True,True,,,False
2018-04-30,BANDHANBNK,509.5,520.9,496.4,504.6,4721125,544072320,Monday,5,,False,False,-1.849999999999966,-0.37,False,True,44.400000000000034,9.47,True,True,,,False
2018-05-07,BANDHANBNK,507.0,508.0,480.25,484.35,3121844,499338208,Monday,1,,False,False,-20.25,-4.01,False,False,-42.950000000000045,-8.36,False,True,,,False
2018-05-14,BANDHANBNK,484.0,489.8,473.5,479.55,3045039,141149312,Monday,2,,True,False,-4.800000000000011,-0.99,False,False,-42.950000000000045,-8.36,False,True,,,False
2018-05-21,BANDHANBNK,474.0,500.0,463.2,483.1,3140666,140011568,Monday,3,,False,False,3.5500000000000114,0.74,True,False,-42.950000000000045,-8.36,False,True,,,False
2018-05-28,BANDHANBNK,486.7,488.5,463.1,475.1,1497397,164930496,Monday,4,,True,False,-8.0,-1.66,False,False,-42.950000000000045,-8.36,False,True,,,False
2018-06-04,BANDHANBNK,479.0,503.6,456.15,498.1,5186458,483898688,Monday,1,,False,False,23.0,4.84,True,True,56.049999999999955,11.91,True,True,,,False
2018-06-11,BANDHANBNK,501.0,560.0,496.05,550.15,10773771,808120896,Monday,2,,True,False,52.049999999999955,10.45,True,True,56.049999999999955,11.91,True,True,,,False
2018-06-18,BANDHANBNK,548.05,557.9,532.0,536.1,2495681,157580160,Monday,3,,False,False,-14.049999999999955,-2.55,False,True,56.049999999999955,11.91,True,True,,,False
2018-06-25,BANDHANBNK,538.35,542.0,508.0,526.55,2954853,182633344,Monday,4,,True,False,-9.550000000000068,-1.78,False,True,56.049999999999955,11.91,True,True,,,False
2018-07-02,BANDHANBNK,530.0,567.8,523.0,544.3,2750636,170598864,Monday,1,,False,False,17.75,3.37,True,False,174.80000000000007,33.2,True,True,,,False
2018-07-09,BANDHANBNK,548.8,588.8,544.5,568.95,5106651,725126784,Monday,2,,True,False,24.65000000000009,4.53,True,False,174.80000000000007,33.2,True,True,,,False
2018-07-16,BANDHANBNK,558.25,706.8,544.55,687.4,15658771,3729298432,Monday,3,,False,False,118.44999999999993,20.82,True,False,174.80000000000007,33.2,True,True,,,False
2018-07-23,BANDHANBNK,685.0,715.0,660.1,687.05,9095567,930695104,Monday,4,,True,False,-0.35000000000002274,-0.05,False,False,174.80000000000007,33.2,True,True,,,False
2018-07-30,BANDHANBNK,690.4,719.8,682.6,698.7,4232326,455275040,Monday,5,,False,False,11.650000000000091,1.7,True,False,174.80000000000007,33.2,True,True,,,False
2018-08-06,BANDHANBNK,704.35,741.8,671.75,702.7,6210474,574999040,Monday,1,,False,False,4.0,0.57,True,True,-6.550000000000068,-0.93,False,True,,,False
2018-08-13,BANDHANBNK,699.8,711.45,680.55,703.9,2848733,509263232,Monday,2,,True,False,1.1999999999999318,0.17,True,True,-6.550000000000068,-0.93,False,True,,,False
2018-08-20,BANDHANBNK,707.95,709.65,612.0,674.6,7802784,3484432896,Monday,3,,False,False,-29.299999999999955,-4.16,False,True,-6.550000000000068,-0.93,False,True,,,False
2018-08-27,BANDHANBNK,681.65,704.1,672.7,694.8,4582753,512651232,Monday,4,,True,False,20.199999999999932,2.99,True,True,-6.550000000000068,-0.93,False,True,,,False
2018-09-03,BANDHANBNK,694.05,696.0,616.7,658.65,14646891,494316832,Monday,1,,False,False,-36.14999999999998,-5.2,False,False,-129.54999999999995,-18.65,False,True,,,False
2018-09-10,BANDHANBNK,660.0,665.9,598.0,625.3,3843650,529696000,Monday,2,,True,False,-33.35000000000002,-5.06,False,False,-129.54999999999995,-18.65,False,True,,,False
2018-09-17,BANDHANBNK,623.8,633.0,545.05,569.6,6291805,2786112768,Monday,3,,False,False,-55.69999999999993,-8.91,False,False,-129.54999999999995,-18.65,False,True,,,False
2018-09-24,BANDHANBNK,575.0,580.45,531.0,565.25,5997659,506931456,Monday,4,,True,False,-4.350000000000023,-0.76,False,False,-129.54999999999995,-18.65,False,True,,,False
2018-10-01,BANDHANBNK,475.55,498.8,422.1,458.8,24557169,988253824,Monday,1,,False,False,-106.44999999999999,-18.83,False,True,-175.0,-30.96,False,True,,,False
2018-10-08,BANDHANBNK,464.0,521.35,456.3,467.8,13196684,729467648,Monday,2,,True,False,9.0,1.96,True,True,-175.0,-30.96,False,True,,,False
2018-10-15,BANDHANBNK,480.0,482.0,405.0,416.3,4748553,863957376,Monday,3,,False,False,-51.5,-11.01,False,True,-175.0,-30.96,False,True,,,False
2018-10-22,BANDHANBNK,425.0,425.0,368.1,380.45,7952662,642148672,Monday,4,,True,False,-35.85000000000002,-8.61,False,True,-175.0,-30.96,False,True,,,False
2018-10-29,BANDHANBNK,385.55,449.0,381.05,426.85,6426129,799855424,Monday,5,,False,False,46.400000000000034,12.2,True,True,-175.0,-30.96,False,True,,,False
2018-11-05,BANDHANBNK,429.75,445.7,426.0,431.5,1746767,135564784,Monday,1,,False,False,4.649999999999977,1.09,True,False,93.39999999999998,23.93,True,True,,,False
2018-11-12,BANDHANBNK,432.0,489.9,418.1,476.2,3434758,702520704,Monday,2,,True,False,44.69999999999999,10.36,True,False,93.39999999999998,23.93,True,True,,,False
2018-11-19,BANDHANBNK,479.4,485.7,452.0,454.05,1390238,139195376,Monday,3,,False,False,-22.149999999999977,-4.65,False,False,93.39999999999998,23.93,True,True,,,False
2018-11-26,BANDHANBNK,455.8,498.2,442.05,483.65,3536166,467795936,Monday,4,,True,False,29.599999999999966,6.52,True,False,93.39999999999998,23.93,True,True,,,False
2018-12-03,BANDHANBNK,487.95,494.0,467.1,472.0,2424251,243846048,Monday,1,,False,False,-11.649999999999977,-2.41,False,True,66.5,13.75,True,True,,,False
2018-12-10,BANDHANBNK,462.0,541.1,462.0,533.8,8225821,1019854208,Monday,2,,True,False,61.799999999999955,13.09,True,True,66.5,13.75,True,True,,,False
