Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1997-02-01,BANKBARODA,15.56,19.0,15.1,18.29,701500,2551455,Saturday,True,,,False,False,,,False
1997-03-01,BANKBARODA,18.98,27.0,18.35,18.35,3005000,770700,Saturday,False,0.060000000000002274,0.33,True,False,,,False
1997-04-01,BANKBARODA,16.66,24.75,16.66,23.76,2179500,5524200,Tuesday,True,5.41,29.48,True,False,,,False
1997-05-01,BANKBARODA,23.7,24.0,20.6,21.34,2584500,501490,Thursday,False,-2.4200000000000017,-10.19,False,False,,,False
1997-06-01,BANKBARODA,21.1,25.0,20.12,23.85,3731500,2540025,Sunday,True,2.5100000000000016,11.76,True,False,,,False
1997-07-01,BANKBARODA,24.0,28.58,23.8,27.61,7415500,2250215,Tuesday,False,3.759999999999998,15.77,True,False,,,False
1997-08-01,BANKBARODA,27.6,36.0,27.0,27.89,14412000,9524435,Friday,True,0.28000000000000114,1.01,True,False,,,False
1997-09-01,BANKBARODA,28.6,28.6,21.95,26.38,11665000,32763958,Monday,False,-1.5100000000000016,-5.41,False,False,,,False
1997-10-01,BANKBARODA,26.0,27.78,23.36,24.23,8834500,2495690,Wednesday,True,-2.1499999999999986,-8.15,False,False,,,False
1997-11-01,BANKBARODA,24.38,25.8,18.01,21.25,20715500,5301875,Saturday,False,-2.9800000000000004,-12.3,False,False,,,False
1997-12-01,BANKBARODA,20.7,22.9,19.0,22.57,10791500,39666776,Monday,True,1.3200000000000003,6.21,True,False,,,False
1998-01-01,BANKBARODA,22.12,22.8,17.24,18.27,14363500,26674200,Thursday,False,-4.300000000000001,-19.05,False,True,-12.64,-56.0,False
1998-02-01,BANKBARODA,18.58,21.1,17.7,19.78,14580000,8277930,Sunday,True,1.5100000000000016,8.26,True,True,-12.64,-56.0,False
1998-03-01,BANKBARODA,20.18,23.94,19.21,20.42,33552000,67661672,Sunday,False,0.6400000000000006,3.24,True,True,-12.64,-56.0,False
1998-04-01,BANKBARODA,21.1,28.4,21.0,23.19,50213000,39307048,Wednesday,True,2.7699999999999996,13.57,True,True,-12.64,-56.0,False
1998-05-01,BANKBARODA,23.68,27.2,18.63,19.25,46546000,33514250,Friday,False,-3.9400000000000013,-16.99,False,True,-12.64,-56.0,False
1998-06-01,BANKBARODA,19.3,20.0,12.4,16.75,49966500,24882124,Monday,True,-2.5,-12.99,False,True,-12.64,-56.0,False
1998-07-01,BANKBARODA,16.7,21.4,15.71,19.01,59486500,22745466,Wednesday,False,2.2600000000000016,13.49,True,True,-12.64,-56.0,False
1998-08-01,BANKBARODA,18.8,19.46,15.4,16.12,17166000,20012980,Saturday,True,-2.8900000000000006,-15.2,False,True,-12.64,-56.0,False
1998-09-01,BANKBARODA,15.89,16.8,13.4,13.63,37106000,23368636,Tuesday,False,-2.49,-15.45,False,True,-12.64,-56.0,False
1998-10-01,BANKBARODA,13.41,13.41,10.1,10.78,21742500,2080540,Thursday,True,-2.8500000000000014,-20.91,False,True,-12.64,-56.0,False
1998-11-01,BANKBARODA,10.89,12.4,9.88,10.04,18540000,7791040,Sunday,False,-0.7400000000000002,-6.86,False,True,-12.64,-56.0,False
1998-12-01,BANKBARODA,9.95,10.6,9.2,9.93,14467000,10004475,Tuesday,True,-0.10999999999999943,-1.1,False,True,-12.64,-56.0,False
