Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2005-06-01,BANKNIFTY,3659.8,3703.75,3518.95,3638.4,0,0,Wednesday,True,,,False,False,,,False
2005-07-01,BANKNIFTY,3626.65,4431.95,3607.7,4361.1,0,0,Friday,False,722.7000000000003,19.86,True,False,,,False
2005-08-01,BANKNIFTY,4349.6,4370.5,3952.5,4062.6,0,0,Monday,True,-298.50000000000045,-6.84,False,False,,,False
2005-09-01,BANKNIFTY,4063.85,4667.95,4038.9,4622.1,0,0,Thursday,False,559.5000000000005,13.77,True,False,,,False
2005-10-01,BANKNIFTY,4639.15,4704.45,3858.05,4003.8,0,0,Saturday,True,-618.3000000000002,-13.38,False,False,,,False
2005-11-01,BANKNIFTY,4049.8,4426.95,3959.7,4298.2,0,0,Tuesday,False,294.39999999999964,7.35,True,False,,,False
2005-12-01,BANKNIFTY,4321.65,4611.7,4218.45,4534.2,0,0,Thursday,True,236.0,5.49,True,False,,,False
2006-01-01,BANKNIFTY,4566.95,4802.8,4385.65,4617.6,0,0,Sunday,False,83.40000000000055,1.84,True,True,1474.5,32.52,True
2006-02-01,BANKNIFTY,4622.3,4645.4,4360.3,4579.0,0,0,Wednesday,True,-38.600000000000364,-0.84,False,True,1474.5,32.52,True
2006-03-01,BANKNIFTY,4521.7,4785.05,4491.1,4661.5,0,0,Wednesday,False,82.5,1.8,True,True,1474.5,32.52,True
2006-04-01,BANKNIFTY,4661.5,4905.05,4179.85,4549.8,0,0,Saturday,True,-111.69999999999982,-2.4,False,True,1474.5,32.52,True
2006-05-01,BANKNIFTY,4558.25,5074.4,3972.25,4123.5,0,0,Monday,False,-426.3000000000002,-9.37,False,True,1474.5,32.52,True
2006-06-01,BANKNIFTY,4130.85,4206.35,3408.95,3708.9,0,0,Thursday,True,-414.5999999999999,-10.05,False,True,1474.5,32.52,True
2006-07-01,BANKNIFTY,3717.75,4140.55,3413.5,4078.8,0,0,Saturday,False,369.9000000000001,9.97,True,True,1474.5,32.52,True
2006-08-01,BANKNIFTY,4074.15,4633.05,3996.05,4594.8,0,0,Tuesday,True,516.0,12.65,True,True,1474.5,32.52,True
2006-09-01,BANKNIFTY,4593.2,5519.55,4480.2,5276.2,0,0,Friday,False,681.3999999999996,14.83,True,True,1474.5,32.52,True
2006-10-01,BANKNIFTY,5277.05,5686.9,5142.0,5588.7,0,0,Sunday,True,312.5,5.92,True,True,1474.5,32.52,True
2006-11-01,BANKNIFTY,5792.8,6268.25,5460.5,6198.3,0,0,Wednesday,False,609.6000000000004,10.91,True,True,1474.5,32.52,True
2006-12-01,BANKNIFTY,6217.65,6595.85,5408.95,6008.7,0,0,Friday,True,-189.60000000000036,-3.06,False,True,1474.5,32.52,True
2007-01-01,BANKNIFTY,6015.15,6292.9,5684.7,5953.9,0,0,Monday,False,-54.80000000000018,-0.91,False,False,3854.7,64.15,True
2007-02-01,BANKNIFTY,5976.25,6248.6,5112.15,5240.3,0,0,Thursday,True,-713.5999999999995,-11.99,False,False,3854.7,64.15,True
2007-03-01,BANKNIFTY,5262.35,5594.75,4837.25,5308.5,0,0,Thursday,False,68.19999999999982,1.3,True,False,3854.7,64.15,True
2007-04-01,BANKNIFTY,5267.7,5975.0,4921.8,5621.0,0,0,Sunday,True,312.5,5.89,True,False,3854.7,64.15,True
2007-05-01,BANKNIFTY,5656.25,6445.4,5480.5,6324.5,0,0,Tuesday,False,703.5,12.52,True,False,3854.7,64.15,True
2007-06-01,BANKNIFTY,6340.9,6749.95,6048.8,6740.1,0,0,Friday,True,415.60000000000036,6.57,True,False,3854.7,64.15,True
2007-07-01,BANKNIFTY,6811.85,7209.2,6608.1,6928.4,0,0,Sunday,False,188.29999999999927,2.79,True,False,3854.7,64.15,True
2007-08-01,BANKNIFTY,6903.85,7110.55,6058.35,6675.8,0,0,Wednesday,True,-252.59999999999945,-3.65,False,False,3854.7,64.15,True
2007-09-01,BANKNIFTY,6712.6,8082.85,6673.75,8042.2,0,0,Saturday,False,1366.3999999999996,20.47,True,False,3854.7,64.15,True
2007-10-01,BANKNIFTY,8008.55,9237.8,7279.3,9013.1,0,0,Monday,True,970.9000000000005,12.07,True,False,3854.7,64.15,True
2007-11-01,BANKNIFTY,9220.4,9692.5,8429.35,9375.7,0,0,Thursday,False,362.60000000000036,4.02,True,False,3854.7,64.15,True
2007-12-01,BANKNIFTY,9391.2,10124.75,9125.45,9863.4,0,0,Saturday,True,487.6999999999989,5.2,True,False,3854.7,64.15,True
