Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-21,BATAINDIA,107.5,107.5,107.5,107.5,100,10750.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-28,BATAINDIA,105.0,115.0,104.88,115.0,900,23000.0,Monday,,,False,False,7.5,6.98,True,False,,,False,True,,,False
1994-12-05,BATAINDIA,100.0,107.5,100.0,107.5,300,10750.0,Monday,1,,False,False,-7.5,-6.52,False,True,-10.0,-8.7,False,True,,,False
1994-12-12,BATAINDIA,100.0,100.0,100.0,100.0,200,20000.0,Monday,2,,True,False,-7.5,-6.98,False,True,-10.0,-8.7,False,True,,,False
1994-12-19,,,,,,0,,Monday,3,,False,False,,,False,True,-10.0,-8.7,False,True,,,False
1994-12-26,BATAINDIA,105.0,105.0,105.0,105.0,100,10500.0,Monday,4,,True,False,,,False,True,-10.0,-8.7,False,True,,,False
1995-01-02,BATAINDIA,105.0,105.0,102.0,102.0,1100,20400.0,Monday,1,1,False,False,-3.0,-2.86,False,False,-10.0,-9.52,False,False,-71.5,-68.1,False
1995-01-09,BATAINDIA,101.5,105.0,101.5,105.0,400,21000.0,Monday,2,2,True,True,3.0,2.94,True,False,-10.0,-9.52,False,False,-71.5,-68.1,False
1995-01-16,BATAINDIA,105.0,105.0,104.0,104.5,900,73150.0,Monday,3,3,False,False,-0.5,-0.48,False,False,-10.0,-9.52,False,False,-71.5,-68.1,False
1995-01-23,BATAINDIA,100.0,100.0,95.0,100.0,700,20000.0,Monday,4,4,True,True,-4.5,-4.31,False,False,-10.0,-9.52,False,False,-71.5,-68.1,False
1995-01-30,BATAINDIA,95.0,97.5,95.0,97.5,1000,78000.0,Monday,5,5,False,False,-2.5,-2.5,False,False,-10.0,-9.52,False,False,-71.5,-68.1,False
1995-02-06,BATAINDIA,98.0,98.0,91.25,91.25,1100,27375.0,Monday,1,6,False,True,-6.25,-6.41,False,True,-5.0,-5.26,False,False,-71.5,-68.1,False
1995-02-13,BATAINDIA,95.0,95.0,87.5,87.5,800,17500.0,Monday,2,7,True,False,-3.75,-4.11,False,True,-5.0,-5.26,False,False,-71.5,-68.1,False
1995-02-20,BATAINDIA,87.5,92.5,82.5,90.0,1600,27000.0,Monday,3,8,False,True,2.5,2.86,True,True,-5.0,-5.26,False,False,-71.5,-68.1,False
1995-02-27,BATAINDIA,85.05,85.05,82.5,82.5,900,66000.0,Monday,4,9,True,False,-7.5,-8.33,False,True,-5.0,-5.26,False,False,-71.5,-68.1,False
1995-03-06,BATAINDIA,82.5,85.0,78.25,78.25,9400,273875.0,Monday,1,10,False,True,-4.25,-5.15,False,False,-22.0,-24.44,False,False,-71.5,-68.1,False
1995-03-13,BATAINDIA,75.0,80.0,75.0,78.0,17200,202800.0,Monday,2,11,True,False,-0.25,-0.32,False,False,-22.0,-24.44,False,False,-71.5,-68.1,False
1995-03-20,BATAINDIA,78.0,78.0,69.0,71.0,13100,376300.0,Monday,3,12,False,True,-7.0,-8.97,False,False,-22.0,-24.44,False,False,-71.5,-68.1,False
1995-03-27,BATAINDIA,70.25,72.0,63.5,68.0,13100,217600.0,Monday,4,13,True,False,-3.0,-4.23,False,False,-22.0,-24.44,False,False,-71.5,-68.1,False
1995-04-03,BATAINDIA,67.5,73.0,65.03,72.25,10100,115600.0,Monday,1,14,False,True,4.25,6.25,True,True,-15.75,-23.16,False,False,-71.5,-68.1,False
1995-04-10,BATAINDIA,70.0,71.0,69.5,71.0,900,7100.0,Monday,2,15,True,False,-1.25,-1.73,False,True,-15.75,-23.16,False,False,-71.5,-68.1,False
1995-04-17,BATAINDIA,69.0,71.0,55.0,55.63,26800,272563.0,Monday,3,16,False,True,-15.369999999999997,-21.65,False,True,-15.75,-23.16,False,False,-71.5,-68.1,False
1995-04-24,BATAINDIA,55.0,55.0,51.5,52.25,13200,104500.0,Monday,4,17,True,False,-3.3800000000000026,-6.08,False,True,-15.75,-23.16,False,False,-71.5,-68.1,False
1995-05-01,BATAINDIA,52.55,56.0,47.5,50.0,21400,550000.0,Monday,1,18,False,True,-2.25,-4.31,False,False,-3.5,-6.7,False,False,-71.5,-68.1,False
1995-05-08,BATAINDIA,51.25,52.88,46.5,48.03,19700,129668.0,Monday,2,19,True,False,-1.9699999999999989,-3.94,False,False,-3.5,-6.7,False,False,-71.5,-68.1,False
1995-05-15,BATAINDIA,47.5,50.97,46.25,49.2,13800,118080.0,Monday,3,20,False,True,1.1700000000000017,2.44,True,False,-3.5,-6.7,False,False,-71.5,-68.1,False
1995-05-22,BATAINDIA,48.75,50.03,47.0,48.95,23900,9790.0,Monday,4,21,True,False,-0.25,-0.51,False,False,-3.5,-6.7,False,False,-71.5,-68.1,False
1995-05-29,BATAINDIA,48.5,50.0,48.5,50.0,10300,30000.0,Monday,5,22,False,True,1.0499999999999972,2.15,True,False,-3.5,-6.7,False,False,-71.5,-68.1,False
1995-06-05,BATAINDIA,49.5,50.5,48.53,49.75,5200,29850.0,Monday,1,23,False,False,-0.25,-0.5,False,True,-11.280000000000001,-23.14,False,False,-71.5,-68.1,False
1995-06-12,BATAINDIA,49.5,49.5,48.75,49.0,3000,29400.0,Monday,2,24,True,True,-0.75,-1.51,False,True,-11.280000000000001,-23.14,False,False,-71.5,-68.1,False
