Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,BATAINDIA,107.5,115.0,100.0,105.0,1600,10500,Saturday,True,,,False
1995-01-01,BATAINDIA,105.0,105.0,25.52,33.5,608100,120600,Sunday,False,-71.5,-68.1,False
1996-01-01,BATAINDIA,32.0,48.2,18.38,22.77,3431200,1888048,Monday,True,-10.73,-32.03,False
1997-01-01,BATAINDIA,21.5,86.97,21.5,84.95,59413500,15843174,Wednesday,False,62.18000000000001,273.08,True
1998-01-01,BATAINDIA,85.47,131.0,56.13,97.0,63942500,40914600,Thursday,True,12.049999999999997,14.18,True
1999-01-01,BATAINDIA,98.03,142.5,62.78,67.63,62901032,3209483,Friday,False,-29.370000000000005,-30.28,False
2000-01-01,BATAINDIA,65.07,79.92,19.25,29.48,40653015,7710553,Saturday,True,-38.14999999999999,-56.41,False
2001-01-01,BATAINDIA,29.76,33.58,11.53,16.02,55726678,800202,Monday,False,-13.46,-45.66,False
2002-01-01,BATAINDIA,16.43,23.18,14.11,15.36,42709007,502605,Tuesday,True,-0.6600000000000001,-4.12,False
2003-01-01,BATAINDIA,15.33,32.94,11.83,30.26,124019444,10762560,Wednesday,False,14.900000000000002,97.01,True
2004-01-01,BATAINDIA,30.6,45.0,17.34,42.16,163461079,11940084,Thursday,True,11.899999999999995,39.33,True
2005-01-01,BATAINDIA,42.63,97.63,33.67,89.9,360775584,79117392,Saturday,False,47.74000000000001,113.24,True
2006-01-01,BATAINDIA,89.25,164.23,68.75,101.45,379153746,178917616,Sunday,True,11.549999999999997,12.85,True
2007-01-01,BATAINDIA,102.85,147.25,62.5,143.38,200160788,491292512,Monday,False,41.92999999999999,41.33,True
2008-01-01,BATAINDIA,146.0,147.5,38.0,53.68,98006426,54574164,Tuesday,True,-89.69999999999999,-62.56,False
2009-01-01,BATAINDIA,54.0,104.45,38.05,98.55,110043516,78729824,Thursday,False,44.87,83.59,True
2010-01-01,BATAINDIA,99.3,195.7,87.5,181.1,186640120,26613008,Friday,True,82.55,83.76,True
2011-01-01,BATAINDIA,181.5,370.5,148.43,265.03,289069796,227795872,Saturday,False,83.92999999999998,46.34,True
2012-01-01,BATAINDIA,267.5,494.75,259.1,433.48,191309086,93345376,Sunday,True,168.45000000000005,63.56,True
2013-01-01,BATAINDIA,435.45,541.45,343.43,526.88,122468542,99117832,Tuesday,False,93.39999999999998,21.55,True
2014-01-01,BATAINDIA,528.0,706.7,447.28,653.43,75251698,135575232,Wednesday,True,126.54999999999995,24.02,True
2015-01-01,BATAINDIA,652.75,748.0,456.65,521.95,111093399,656142336,Thursday,False,-131.4799999999999,-20.12,False
2016-01-01,BATAINDIA,519.0,613.65,399.2,450.4,111394019,162288128,Friday,True,-71.55000000000007,-13.71,False
2017-01-01,BATAINDIA,450.55,832.8,444.4,747.3,165986890,271819904,Sunday,False,296.9,65.92,True
2018-01-01,BATAINDIA,751.95,1144.9,653.1,1134.3,229001248,664227968,Monday,True,387.0,51.79,True
2019-01-01,BATAINDIA,1133.0,1814.0,1080.75,1751.55,185410801,1118363008,Tuesday,False,617.25,54.42,True
2020-01-01,BATAINDIA,1751.55,1895.45,1000.0,1579.65,232151479,629657984,Wednesday,True,-171.89999999999986,-9.81,False
2021-01-01,BATAINDIA,1587.8,2262.0,1263.6,1871.65,153543996,1354471936,Friday,False,292.0,18.49,True
2022-01-01,BATAINDIA,1871.65,2122.0,1607.1,1649.15,948768976,0,Saturday,True,-222.5,-11.89,False
2023-01-01,BATAINDIA,1650.0,1656.95,1381.05,1474.65,26082574,0,Sunday,False,-174.5,-10.58,False
