Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,BEL,5.12,5.12,5.12,5.12,15625,80000.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-21,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-28,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-12-05,,,,,,0,,Monday,1,,False,False,,,False,True,,,False,True,,,False
1994-12-12,,,,,,0,,Monday,2,,True,False,,,False,True,,,False,True,,,False
1994-12-19,,,,,,0,,Monday,3,,False,False,,,False,True,,,False,True,,,False
1994-12-26,,,,,,0,,Monday,4,,True,False,,,False,True,,,False,True,,,False
1995-01-02,,,,,,0,,Monday,1,1,False,False,,,False,False,,,False,False,,,False
1995-01-09,,,,,,0,,Monday,2,2,True,True,,,False,False,,,False,False,,,False
1995-01-16,,,,,,0,,Monday,3,3,False,False,,,False,False,,,False,False,,,False
1995-01-23,,,,,,0,,Monday,4,4,True,True,,,False,False,,,False,False,,,False
1995-01-30,,,,,,0,,Monday,5,5,False,False,,,False,False,,,False,False,,,False
1995-02-06,,,,,,0,,Monday,1,6,False,True,,,False,True,,,False,False,,,False
1995-02-13,,,,,,0,,Monday,2,7,True,False,,,False,True,,,False,False,,,False
1995-02-20,,,,,,0,,Monday,3,8,False,True,,,False,True,,,False,False,,,False
1995-02-27,,,,,,0,,Monday,4,9,True,False,,,False,True,,,False,False,,,False
1995-03-06,,,,,,0,,Monday,1,10,False,True,,,False,False,,,False,False,,,False
1995-03-13,,,,,,0,,Monday,2,11,True,False,,,False,False,,,False,False,,,False
1995-03-20,,,,,,0,,Monday,3,12,False,True,,,False,False,,,False,False,,,False
1995-03-27,,,,,,0,,Monday,4,13,True,False,,,False,False,,,False,False,,,False
1995-04-03,,,,,,0,,Monday,1,14,False,True,,,False,True,,,False,False,,,False
1995-04-10,,,,,,0,,Monday,2,15,True,False,,,False,True,,,False,False,,,False
1995-04-17,,,,,,0,,Monday,3,16,False,True,,,False,True,,,False,False,,,False
1995-04-24,,,,,,0,,Monday,4,17,True,False,,,False,True,,,False,False,,,False
1995-05-01,,,,,,0,,Monday,1,18,False,True,,,False,False,,,False,False,,,False
1995-05-08,,,,,,0,,Monday,2,19,True,False,,,False,False,,,False,False,,,False
1995-05-15,,,,,,0,,Monday,3,20,False,True,,,False,False,,,False,False,,,False
1995-05-22,,,,,,0,,Monday,4,21,True,False,,,False,False,,,False,False,,,False
1995-05-29,,,,,,0,,Monday,5,22,False,True,,,False,False,,,False,False,,,False
1995-06-05,,,,,,0,,Monday,1,23,False,False,,,False,True,,,False,False,,,False
1995-06-12,,,,,,0,,Monday,2,24,True,True,,,False,True,,,False,False,,,False
1995-06-19,,,,,,0,,Monday,3,25,False,False,,,False,True,,,False,False,,,False
1995-06-26,,,,,,0,,Monday,4,26,True,True,,,False,True,,,False,False,,,False
1995-07-03,,,,,,0,,Monday,1,27,False,False,,,False,False,,,False,False,,,False
1995-07-10,,,,,,0,,Monday,2,28,True,True,,,False,False,,,False,False,,,False
1995-07-17,,,,,,0,,Monday,3,29,False,False,,,False,False,,,False,False,,,False
1995-07-24,,,,,,0,,Monday,4,30,True,True,,,False,False,,,False,False,,,False
1995-07-31,,,,,,0,,Monday,5,31,False,False,,,False,False,,,False,False,,,False
1995-08-07,,,,,,0,,Monday,1,32,False,True,,,False,True,,,False,False,,,False
1995-08-14,,,,,,0,,Monday,2,33,True,False,,,False,True,,,False,False,,,False
1995-08-21,,,,,,0,,Monday,3,34,False,True,,,False,True,,,False,False,,,False
1995-08-28,,,,,,0,,Monday,4,35,True,False,,,False,True,,,False,False,,,False
1995-09-04,,,,,,0,,Monday,1,36,False,True,,,False,False,,,False,False,,,False
1995-09-11,,,,,,0,,Monday,2,37,True,False,,,False,False,,,False,False,,,False
1995-09-18,,,,,,0,,Monday,3,38,False,True,,,False,False,,,False,False,,,False
1995-09-25,,,,,,0,,Monday,4,39,True,False,,,False,False,,,False,False,,,False
1995-10-02,,,,,,0,,Monday,1,40,False,True,,,False,True,,,False,False,,,False
1995-10-09,,,,,,0,,Monday,2,41,True,False,,,False,True,,,False,False,,,False
1995-10-16,,,,,,0,,Monday,3,42,False,True,,,False,True,,,False,False,,,False
1995-10-23,,,,,,0,,Monday,4,43,True,False,,,False,True,,,False,False,,,False
1995-10-30,,,,,,0,,Monday,5,44,False,True,,,False,True,,,False,False,,,False
1995-11-06,,,,,,0,,Monday,1,45,False,False,,,False,False,,,False,False,,,False
1995-11-13,,,,,,0,,Monday,2,46,True,True,,,False,False,,,False,False,,,False
1995-11-20,,,,,,0,,Monday,3,47,False,False,,,False,False,,,False,False,,,False
1995-11-27,,,,,,0,,Monday,4,48,True,True,,,False,False,,,False,False,,,False
1995-12-04,,,,,,0,,Monday,1,49,False,False,,,False,True,,,False,False,,,False
1995-12-11,,,,,,0,,Monday,2,50,True,True,,,False,True,,,False,False,,,False
1995-12-18,,,,,,0,,Monday,3,51,False,False,,,False,True,,,False,False,,,False
1995-12-25,,,,,,0,,Monday,4,52,True,True,,,False,True,,,False,False,,,False
1996-01-01,,,,,,0,,Monday,1,1,False,False,,,False,False,,,False,True,,,False
1996-01-08,,,,,,0,,Monday,2,2,True,True,,,False,False,,,False,True,,,False
1996-01-15,,,,,,0,,Monday,3,3,False,False,,,False,False,,,False,True,,,False
1996-01-22,,,,,,0,,Monday,4,4,True,True,,,False,False,,,False,True,,,False
1996-01-29,,,,,,0,,Monday,5,5,False,False,,,False,False,,,False,True,,,False
1996-02-05,,,,,,0,,Monday,1,6,False,True,,,False,True,,,False,True,,,False
1996-02-12,,,,,,0,,Monday,2,7,True,False,,,False,True,,,False,True,,,False
1996-02-19,,,,,,0,,Monday,3,8,False,True,,,False,True,,,False,True,,,False
1996-02-26,,,,,,0,,Monday,4,9,True,False,,,False,True,,,False,True,,,False
1996-03-04,,,,,,0,,Monday,1,10,False,True,,,False,False,,,False,True,,,False
1996-03-11,,,,,,0,,Monday,2,11,True,False,,,False,False,,,False,True,,,False
1996-03-18,,,,,,0,,Monday,3,12,False,True,,,False,False,,,False,True,,,False
1996-03-25,,,,,,0,,Monday,4,13,True,False,,,False,False,,,False,True,,,False
1996-04-01,,,,,,0,,Monday,1,14,False,True,,,False,True,,,False,True,,,False
1996-04-08,,,,,,0,,Monday,2,15,True,False,,,False,True,,,False,True,,,False
1996-04-15,,,,,,0,,Monday,3,16,False,True,,,False,True,,,False,True,,,False
1996-04-22,,,,,,0,,Monday,4,17,True,False,,,False,True,,,False,True,,,False
1996-04-29,,,,,,0,,Monday,5,18,False,True,,,False,True,,,False,True,,,False
1996-05-06,,,,,,0,,Monday,1,19,False,False,,,False,False,,,False,True,,,False
1996-05-13,,,,,,0,,Monday,2,20,True,True,,,False,False,,,False,True,,,False
1996-05-20,,,,,,0,,Monday,3,21,False,False,,,False,False,,,False,True,,,False
1996-05-27,,,,,,0,,Monday,4,22,True,True,,,False,False,,,False,True,,,False
1996-06-03,,,,,,0,,Monday,1,23,False,False,,,False,True,,,False,True,,,False
1996-06-10,,,,,,0,,Monday,2,24,True,True,,,False,True,,,False,True,,,False
1996-06-17,,,,,,0,,Monday,3,25,False,False,,,False,True,,,False,True,,,False
1996-06-24,,,,,,0,,Monday,4,26,True,True,,,False,True,,,False,True,,,False
1996-07-01,,,,,,0,,Monday,1,27,False,False,,,False,False,,,False,True,,,False
1996-07-08,,,,,,0,,Monday,2,28,True,True,,,False,False,,,False,True,,,False
1996-07-15,,,,,,0,,Monday,3,29,False,False,,,False,False,,,False,True,,,False
1996-07-22,,,,,,0,,Monday,4,30,True,True,,,False,False,,,False,True,,,False
1996-07-29,,,,,,0,,Monday,5,31,False,False,,,False,False,,,False,True,,,False
1996-08-05,,,,,,0,,Monday,1,32,False,True,,,False,True,,,False,True,,,False
1996-08-12,,,,,,0,,Monday,2,33,True,False,,,False,True,,,False,True,,,False
1996-08-19,,,,,,0,,Monday,3,34,False,True,,,False,True,,,False,True,,,False
1996-08-26,,,,,,0,,Monday,4,35,True,False,,,False,True,,,False,True,,,False
1996-09-02,,,,,,0,,Monday,1,36,False,True,,,False,False,,,False,True,,,False
1996-09-09,,,,,,0,,Monday,2,37,True,False,,,False,False,,,False,True,,,False
1996-09-16,,,,,,0,,Monday,3,38,False,True,,,False,False,,,False,True,,,False
1996-09-23,,,,,,0,,Monday,4,39,True,False,,,False,False,,,False,True,,,False
1996-09-30,,,,,,0,,Monday,5,40,False,True,,,False,False,,,False,True,,,False
1996-10-07,,,,,,0,,Monday,1,41,False,False,,,False,True,,,False,True,,,False
1996-10-14,BEL,4.64,6.14,4.64,5.06,315625,963800.0,Monday,2,42,True,True,,,False,True,,,False,True,,,False
1996-10-21,,,,,,0,,Monday,3,43,False,False,,,False,True,,,False,True,,,False
1996-10-28,,,,,,0,,Monday,4,44,True,True,,,False,True,,,False,True,,,False
1996-11-04,,,,,,0,,Monday,1,45,False,False,,,False,False,,,False,True,,,False
1996-11-11,,,,,,0,,Monday,2,46,True,True,,,False,False,,,False,True,,,False
1996-11-18,,,,,,0,,Monday,3,47,False,False,,,False,False,,,False,True,,,False
1996-11-25,,,,,,0,,Monday,4,48,True,True,,,False,False,,,False,True,,,False
1996-12-02,,,,,,0,,Monday,1,49,False,False,,,False,True,,,False,True,,,False
1996-12-09,BEL,4.93,4.93,4.93,4.93,3125,15400.0,Monday,2,50,True,True,,,False,True,,,False,True,,,False
1996-12-16,,,,,,0,,Monday,3,51,False,False,,,False,True,,,False,True,,,False
1996-12-23,,,,,,0,,Monday,4,52,True,True,,,False,True,,,False,True,,,False
1996-12-30,BEL,5.41,5.41,4.48,4.48,18750,84000.0,Monday,5,53,False,False,,,False,True,,,False,True,,,False
1997-01-06,BEL,4.16,4.16,4.16,4.16,12500,52000.0,Monday,1,1,False,False,-0.3200000000000003,-7.14,False,False,-0.7699999999999996,-15.62,False,False,-4.1,-83.16,False
1997-01-13,,,,,,0,,Monday,2,2,True,True,,,False,False,-0.7699999999999996,-15.62,False,False,-4.1,-83.16,False
1997-01-20,,,,,,0,,Monday,3,3,False,False,,,False,False,-0.7699999999999996,-15.62,False,False,-4.1,-83.16,False
1997-01-27,,,,,,0,,Monday,4,4,True,True,,,False,False,-0.7699999999999996,-15.62,False,False,-4.1,-83.16,False
1997-02-03,,,,,,0,,Monday,1,5,False,False,,,False,True,0.3799999999999999,9.13,True,False,-4.1,-83.16,False
