Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1995-01-01,BERGEPAINT,1.59,2.02,1.22,1.61,2666664,26850,Sunday,False,,,False
1996-01-01,BERGEPAINT,1.63,1.63,0.68,0.9,23094461,75225,Monday,True,-0.7100000000000001,-44.1,False
1997-01-01,BERGEPAINT,0.95,2.03,0.94,1.53,110150007,4975425,Wednesday,False,0.63,70.0,True
1998-01-01,BERGEPAINT,1.46,2.26,1.23,1.69,105913341,1218240,Thursday,True,0.15999999999999992,10.46,True
1999-01-01,BERGEPAINT,1.67,3.42,1.48,2.5,149349998,266880,Friday,False,0.81,47.93,True
2000-01-01,BERGEPAINT,2.53,3.53,2.07,2.78,71996578,79052,Saturday,True,0.2799999999999998,11.2,True
2001-01-01,BERGEPAINT,2.77,2.98,2.03,2.06,18028187,203422,Monday,False,-0.7199999999999998,-25.9,False
2002-01-01,BERGEPAINT,2.28,2.61,1.67,2.21,66286666,124440,Tuesday,True,0.1499999999999999,7.28,True
2003-01-01,BERGEPAINT,2.22,5.61,1.9,5.15,86031412,2438059,Wednesday,False,2.9400000000000004,133.03,True
2004-01-01,BERGEPAINT,5.13,9.65,4.32,8.61,181629619,6967238,Thursday,True,3.459999999999999,67.18,True
2005-01-01,BERGEPAINT,8.55,17.4,7.65,16.32,322468032,6113136,Saturday,False,7.710000000000001,89.55,True
2006-01-01,BERGEPAINT,16.09,21.6,13.73,16.88,91328771,1839537,Sunday,True,0.5599999999999987,3.43,True
2007-01-01,BERGEPAINT,16.96,24.25,11.86,23.16,102847411,43001516,Monday,False,6.280000000000001,37.2,True
2008-01-01,BERGEPAINT,23.36,24.43,8.59,12.18,60981283,209476,Tuesday,True,-10.98,-47.41,False
2009-01-01,BERGEPAINT,12.09,27.04,10.32,21.43,163358827,7196280,Thursday,False,9.25,75.94,True
2010-01-01,BERGEPAINT,21.5,44.04,18.23,36.61,284472625,11885182,Friday,True,15.18,70.84,True
2011-01-01,BERGEPAINT,36.93,42.82,26.25,30.84,111417408,1949179,Saturday,False,-5.77,-15.76,False
2012-01-01,BERGEPAINT,30.54,58.54,30.38,57.18,125744289,55989692,Sunday,True,26.34,85.41,True
2013-01-01,BERGEPAINT,56.61,91.57,53.34,80.14,173282169,16650704,Tuesday,False,22.96,40.15,True
2014-01-01,BERGEPAINT,80.71,161.73,71.93,143.84,157216319,54018440,Wednesday,True,63.7,79.49,True
2015-01-01,BERGEPAINT,143.59,193.46,121.93,192.04,160570185,90731768,Thursday,False,48.19999999999999,33.51,True
2016-01-01,BERGEPAINT,192.82,276.8,156.89,210.55,133331924,66480744,Friday,True,18.51000000000002,9.64,True
2017-01-01,BERGEPAINT,212.0,286.3,207.25,273.75,153390958,929623808,Sunday,False,63.19999999999999,30.02,True
2018-01-01,BERGEPAINT,276.7,349.9,232.3,330.3,210366408,174488560,Monday,True,56.55000000000001,20.66,True
2019-01-01,BERGEPAINT,330.3,533.75,285.2,515.55,330661462,293121632,Tuesday,False,185.24999999999994,56.09,True
2020-01-01,BERGEPAINT,515.55,761.75,389.35,759.45,370004708,841538944,Wednesday,True,243.9000000000001,47.31,True
2021-01-01,BERGEPAINT,759.5,872.95,675.05,771.75,250885640,802691776,Friday,False,12.299999999999955,1.62,True
2022-01-01,BERGEPAINT,772.3,799.45,543.6,581.35,437715740,0,Saturday,True,-190.39999999999998,-24.67,False
2023-01-01,BERGEPAINT,584.4,612.0,527.15,610.35,49634411,0,Sunday,False,29.0,4.99,True
