Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2002-01-01,BHARTIARTL,25.95,25.95,10.9,11.4,191043432,7792402,Tuesday,True,,,False
2003-01-01,BHARTIARTL,11.68,56.0,10.33,52.55,646494768,200125744,Wednesday,False,41.15,360.96,True
2004-01-01,BHARTIARTL,53.33,122.5,52.65,108.18,1759410506,261248912,Thursday,True,55.63000000000001,105.86,True
2005-01-01,BHARTIARTL,109.25,188.5,96.25,172.75,871231336,360755552,Saturday,False,64.57,59.69,True
2006-01-01,BHARTIARTL,172.8,340.0,153.65,314.98,418072018,237703440,Sunday,True,142.23000000000002,82.33,True
2007-01-01,BHARTIARTL,312.0,592.1,303.18,498.2,910873476,4470636544,Monday,False,183.21999999999997,58.17,True
2008-01-01,BHARTIARTL,500.0,505.45,241.5,357.75,1917080386,1386985984,Tuesday,True,-140.45,-28.19,False
2009-01-01,BHARTIARTL,357.5,518.0,270.55,329.75,2423709035,1288364928,Thursday,False,-28.0,-7.83,False
2010-01-01,BHARTIARTL,329.85,376.95,252.0,358.8,1513786530,1008921856,Friday,True,29.05000000000001,8.81,True
2011-01-01,BHARTIARTL,360.9,447.85,304.45,343.5,1194696264,1180187008,Saturday,False,-15.300000000000011,-4.26,False
2012-01-01,BHARTIARTL,344.5,400.95,215.8,317.1,1293120572,543305216,Sunday,True,-26.399999999999977,-7.69,False
2013-01-01,BHARTIARTL,318.55,373.8,266.55,330.25,1183099964,696218496,Tuesday,False,13.149999999999977,4.15,True
2014-01-01,BHARTIARTL,331.0,420.0,281.9,352.7,1153995486,770180800,Wednesday,True,22.44999999999999,6.8,True
2015-01-01,BHARTIARTL,354.4,452.45,304.15,340.4,1138685333,1004951360,Thursday,False,-12.300000000000011,-3.49,False
2016-01-01,BHARTIARTL,339.95,385.0,282.3,305.65,829780772,538555008,Friday,True,-34.75,-10.21,False
2017-01-01,BHARTIARTL,303.1,564.8,299.15,529.65,1326182570,3581112064,Sunday,False,224.0,73.29,True
2018-01-01,BHARTIARTL,531.0,542.5,276.85,312.5,1554597598,1185950976,Monday,True,-217.14999999999998,-41.0,False
2019-01-01,BHARTIARTL,315.95,485.6,292.85,455.8,2419506352,2332113408,Tuesday,False,143.3,45.86,True
2020-01-01,BHARTIARTL,456.05,612.0,361.75,509.7,5098283435,7913089536,Wednesday,True,53.89999999999998,11.83,True
2021-01-01,BHARTIARTL,512.25,781.8,499.55,683.8,3875498171,3144541952,Friday,False,174.09999999999997,34.16,True
2022-01-01,BHARTIARTL,687.8,860.55,628.75,806.1,4642300094,0,Saturday,True,122.30000000000007,17.89,True
2023-01-01,BHARTIARTL,806.25,826.1,735.8,799.3,403214608,0,Sunday,False,-6.800000000000068,-0.84,False
