Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-07,BHEL,11.67,11.67,11.33,11.33,9000,102000.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-14,BHEL,11.25,11.5,11.25,11.42,144000,1455625.0,Monday,,,False,False,0.08999999999999986,0.79,True,False,,,False,True,,,False
1994-11-21,BHEL,11.67,11.67,11.6,11.67,70500,175000.0,Monday,,,False,False,0.25,2.19,True,False,,,False,True,,,False
1994-11-28,BHEL,11.83,12.17,11.67,11.73,30000,52800.0,Monday,,,False,False,0.0600000000000005,0.51,True,False,,,False,True,,,False
1994-12-05,,,,,,0,,Monday,1,,False,False,,,False,True,-1.33,-11.34,False,True,,,False
1994-12-12,BHEL,10.27,10.67,10.0,10.67,18000,160000.0,Monday,2,,True,False,,,False,True,-1.33,-11.34,False,True,,,False
1994-12-19,BHEL,10.0,11.5,10.0,11.5,91500,34500.0,Monday,3,,False,False,0.8300000000000001,7.78,True,True,-1.33,-11.34,False,True,,,False
1994-12-26,BHEL,10.4,10.4,10.4,10.4,1500,15600.0,Monday,4,,True,False,-1.0999999999999996,-9.57,False,True,-1.33,-11.34,False,True,,,False
1995-01-02,BHEL,11.33,11.33,10.67,10.67,6000,16000.0,Monday,1,1,False,False,0.2699999999999996,2.6,True,False,-0.7300000000000004,-7.02,False,False,-4.53,-43.56,False
1995-01-09,BHEL,10.68,10.68,10.33,10.33,13500,77500.0,Monday,2,2,True,True,-0.33999999999999986,-3.19,False,False,-0.7300000000000004,-7.02,False,False,-4.53,-43.56,False
1995-01-16,BHEL,10.33,10.47,10.27,10.47,34500,15700.0,Monday,3,3,False,False,0.14000000000000057,1.36,True,False,-0.7300000000000004,-7.02,False,False,-4.53,-43.56,False
1995-01-23,BHEL,10.17,10.33,9.47,9.47,22500,28400.0,Monday,4,4,True,True,-1.0,-9.55,False,False,-0.7300000000000004,-7.02,False,False,-4.53,-43.56,False
1995-01-30,BHEL,9.67,9.93,9.4,9.4,19500,14100.0,Monday,5,5,False,False,-0.07000000000000028,-0.74,False,False,-0.7300000000000004,-7.02,False,False,-4.53,-43.56,False
1995-02-06,BHEL,9.33,9.33,9.0,9.17,18000,68750.0,Monday,1,6,False,True,-0.23000000000000043,-2.45,False,True,-1.3399999999999999,-13.86,False,False,-4.53,-43.56,False
1995-02-13,BHEL,8.67,8.83,8.5,8.5,36000,63750.0,Monday,2,7,True,False,-0.6699999999999999,-7.31,False,True,-1.3399999999999999,-13.86,False,False,-4.53,-43.56,False
1995-02-20,BHEL,7.67,8.33,7.67,8.33,15000,112500.0,Monday,3,8,False,True,-0.16999999999999993,-2.0,False,True,-1.3399999999999999,-13.86,False,False,-4.53,-43.56,False
1995-02-27,BHEL,8.33,8.5,8.27,8.27,6000,12400.0,Monday,4,9,True,False,-0.0600000000000005,-0.72,False,True,-1.3399999999999999,-13.86,False,False,-4.53,-43.56,False
1995-03-06,BHEL,8.13,8.33,7.93,8.13,31500,97600.0,Monday,1,10,False,True,-0.1399999999999988,-1.69,False,False,-1.3200000000000003,-15.85,False,False,-4.53,-43.56,False
1995-03-13,BHEL,7.8,7.8,7.33,7.6,30000,102600.0,Monday,2,11,True,False,-0.5300000000000011,-6.52,False,False,-1.3200000000000003,-15.85,False,False,-4.53,-43.56,False
1995-03-20,BHEL,7.03,7.33,6.73,7.0,28500,136500.0,Monday,3,12,False,True,-0.5999999999999996,-7.89,False,False,-1.3200000000000003,-15.85,False,False,-4.53,-43.56,False
1995-03-27,BHEL,6.87,8.0,6.73,7.01,49500,168240.0,Monday,4,13,True,False,0.009999999999999787,0.14,True,False,-1.3200000000000003,-15.85,False,False,-4.53,-43.56,False
1995-04-03,BHEL,7.34,8.33,7.17,8.23,73500,86450.0,Monday,1,14,False,True,1.2200000000000006,17.4,True,True,-0.20999999999999996,-3.0,False,False,-4.53,-43.56,False
