Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,BHEL,11.67,12.17,10.0,10.4,364500,15600,Saturday,True,,,False
1995-01-01,BHEL,11.33,11.33,5.0,5.87,10729500,2208800,Sunday,False,-4.53,-43.56,False
1996-01-01,BHEL,5.73,15.4,5.07,14.12,219286500,34205700,Monday,True,8.25,140.55,True
1997-01-01,BHEL,14.33,31.01,14.2,23.66,915525000,83283296,Wednesday,False,9.540000000000001,67.56,True
1998-01-01,BHEL,23.38,29.98,12.93,17.47,1859496000,51476440,Thursday,True,-6.190000000000001,-26.16,False
1999-01-01,BHEL,17.47,23.27,9.9,13.98,1830955140,19937856,Friday,False,-3.4899999999999984,-19.98,False
2000-01-01,BHEL,14.66,15.27,5.54,10.9,2935002535,335692000,Saturday,True,-3.08,-22.03,False
2001-01-01,BHEL,10.91,13.06,6.94,9.3,2814217934,60355352,Monday,False,-1.5999999999999996,-14.68,False
2002-01-01,BHEL,9.42,13.09,8.97,11.5,2094740546,36046732,Tuesday,True,2.1999999999999993,23.66,True
2003-01-01,BHEL,11.53,34.32,10.19,33.68,2700983580,275138016,Wednesday,False,22.18,192.87,True
2004-01-01,BHEL,33.67,52.1,25.0,51.12,2722038480,208754208,Thursday,True,17.439999999999998,51.78,True
2005-01-01,BHEL,51.13,99.99,42.0,92.47,1032960291,206294560,Saturday,False,41.35,80.89,True
2006-01-01,BHEL,91.34,177.7,91.34,153.29,1494062715,487935872,Sunday,True,60.81999999999999,65.77,True
2007-01-01,BHEL,154.6,390.67,129.2,345.3,1957071691,816012096,Monday,False,192.01000000000002,125.26,True
2008-01-01,BHEL,344.0,348.0,130.8,181.68,2939672565,1526007040,Tuesday,True,-163.62,-47.38,False
2009-01-01,BHEL,182.93,340.0,167.01,320.44,1952239133,1930140800,Thursday,False,138.76,76.38,True
2010-01-01,BHEL,321.33,359.2,274.0,309.83,1011887463,1063301888,Friday,True,-10.610000000000014,-3.31,False
2011-01-01,BHEL,310.0,313.79,148.9,159.23,1307995971,438893824,Saturday,False,-150.6,-48.61,False
2012-01-01,BHEL,159.8,218.67,130.07,152.17,1862072372,259402240,Sunday,True,-7.060000000000002,-4.43,False
2013-01-01,BHEL,153.5,163.8,66.77,117.93,1911745167,796982912,Tuesday,False,-34.23999999999998,-22.5,False
2014-01-01,BHEL,118.17,194.33,97.03,176.83,2010113635,1422771840,Wednesday,True,58.900000000000006,49.94,True
2015-01-01,BHEL,177.07,200.0,109.43,112.77,1342216994,527758624,Thursday,False,-64.06000000000002,-36.23,False
2016-01-01,BHEL,112.67,114.67,60.1,80.8,2698876492,608240384,Friday,True,-31.97,-28.35,False
2017-01-01,BHEL,80.8,121.83,80.47,92.5,2225937701,539997824,Sunday,False,11.700000000000003,14.48,True
2018-01-01,BHEL,92.65,107.95,61.7,73.1,2381620381,521234144,Monday,True,-19.400000000000006,-20.97,False
2019-01-01,BHEL,73.75,78.85,41.3,43.45,3614612324,690733248,Tuesday,False,-29.64999999999999,-40.56,False
2020-01-01,BHEL,43.5,47.75,18.4,35.9,11358409146,2170422528,Wednesday,True,-7.550000000000004,-17.38,False
2021-01-01,BHEL,36.15,80.35,35.1,58.95,16206096269,1737348992,Friday,False,23.050000000000004,64.21,True
2022-01-01,BHEL,59.0,91.55,41.4,79.2,8402375513,0,Saturday,True,20.25,34.35,True
2023-01-01,BHEL,79.55,83.5,66.3,78.4,1260830364,0,Sunday,False,-0.7999999999999972,-1.01,False
