Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-21,BOSCHLTD,635.0,635.0,635.0,635.0,50,31750.0,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-11-28,,,,,,0,,Monday,,,False,False,,,False,False,,,False,True,,,False
1994-12-05,,,,,,0,,Monday,1,,False,False,,,False,True,-15.0,-2.36,False,True,,,False
1994-12-12,BOSCHLTD,600.0,622.5,600.0,622.5,550,155625.0,Monday,2,,True,False,,,False,True,-15.0,-2.36,False,True,,,False
1994-12-19,BOSCHLTD,620.0,620.0,620.0,620.0,650,403000.0,Monday,3,,False,False,-2.5,-0.4,False,True,-15.0,-2.36,False,True,,,False
1994-12-26,,,,,,0,,Monday,4,,True,False,,,False,True,-15.0,-2.36,False,True,,,False
1995-01-02,BOSCHLTD,627.5,627.5,627.5,627.5,50,31375.0,Monday,1,1,False,False,,,False,False,-30.0,-4.84,False,False,-27.0,-4.35,False
1995-01-09,BOSCHLTD,615.0,615.0,615.0,615.0,100,61500.0,Monday,2,2,True,True,-12.5,-1.99,False,False,-30.0,-4.84,False,False,-27.0,-4.35,False
1995-01-16,BOSCHLTD,610.0,610.0,610.0,610.0,100,61000.0,Monday,3,3,False,False,-5.0,-0.81,False,False,-30.0,-4.84,False,False,-27.0,-4.35,False
1995-01-23,BOSCHLTD,595.0,595.0,590.0,590.0,150,88500.0,Monday,4,4,True,True,-20.0,-3.28,False,False,-30.0,-4.84,False,False,-27.0,-4.35,False
1995-01-30,BOSCHLTD,590.0,590.0,590.0,590.0,100,59000.0,Monday,5,5,False,False,0.0,0.0,False,False,-30.0,-4.84,False,False,-27.0,-4.35,False
1995-02-06,BOSCHLTD,600.0,600.0,600.0,600.0,100,60000.0,Monday,1,6,False,True,10.0,1.69,True,True,-3.5,-0.59,False,False,-27.0,-4.35,False
1995-02-13,BOSCHLTD,600.0,600.0,590.0,590.0,100,59000.0,Monday,2,7,True,False,-10.0,-1.67,False,True,-3.5,-0.59,False,False,-27.0,-4.35,False
1995-02-20,BOSCHLTD,570.0,586.5,570.0,586.5,100,29325.0,Monday,3,8,False,True,-3.5,-0.59,False,True,-3.5,-0.59,False,False,-27.0,-4.35,False
1995-02-27,BOSCHLTD,585.0,585.0,585.0,585.0,50,29250.0,Monday,4,9,True,False,-1.5,-0.26,False,True,-3.5,-0.59,False,False,-27.0,-4.35,False
1995-03-06,BOSCHLTD,586.5,600.0,570.0,590.0,300,29500.0,Monday,1,10,False,True,5.0,0.85,True,False,-6.5,-1.11,False,False,-27.0,-4.35,False
