Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,BPCL,36.4,36.4,30.0,30.2,35000,37750,Saturday,True,,,False
1995-01-01,BPCL,30.4,30.4,17.64,19.04,27778750,6687800,Sunday,False,-11.16,-36.95,False
1996-01-01,BPCL,19.04,30.96,17.6,23.0,56985000,143750,Monday,True,3.960000000000001,20.8,True
1997-01-01,BPCL,22.72,39.68,22.64,33.6,115793750,5040000,Wednesday,False,10.600000000000001,46.09,True
1998-01-01,BPCL,33.43,35.64,16.16,18.92,150235563,5657317,Thursday,True,-14.68,-43.69,False
1999-01-01,BPCL,18.79,36.14,10.44,30.5,328895550,390730,Friday,False,11.579999999999998,61.21,True
2000-01-01,BPCL,33.75,34.08,12.25,20.3,247529891,19020410,Saturday,True,-10.2,-33.44,False
2001-01-01,BPCL,20.63,39.72,19.17,31.77,323409017,10808355,Monday,False,11.469999999999999,56.5,True
2002-01-01,BPCL,31.92,58.45,26.07,36.11,2342865491,525438208,Tuesday,True,4.34,13.66,True
2003-01-01,BPCL,36.24,77.82,30.83,75.07,2107309900,335958752,Wednesday,False,38.959999999999994,107.89,True
2004-01-01,BPCL,75.67,88.83,38.33,76.54,1360504261,112374344,Thursday,True,1.470000000000013,1.96,True
2005-01-01,BPCL,78.0,79.15,56.5,72.53,669763541,46154184,Saturday,False,-4.010000000000005,-5.24,False
2006-01-01,BPCL,72.53,84.17,48.5,56.34,662675008,93641872,Sunday,True,-16.189999999999998,-22.32,False
2007-01-01,BPCL,56.33,90.97,46.98,87.28,762707086,1211990656,Monday,False,30.939999999999998,54.92,True
2008-01-01,BPCL,88.28,92.8,34.33,62.68,994638168,253468464,Tuesday,True,-24.6,-28.19,False
2009-01-01,BPCL,62.83,107.58,54.92,105.93,1076530960,797481152,Thursday,False,43.25000000000001,69.0,True
2010-01-01,BPCL,105.93,140.0,81.4,109.73,1645925885,397484640,Friday,True,3.799999999999997,3.59,True
2011-01-01,BPCL,110.33,132.82,78.13,79.63,806713877,316348032,Saturday,False,-30.10000000000001,-27.43,False
2012-01-01,BPCL,80.82,131.56,76.34,118.78,768930787,331952512,Sunday,True,39.150000000000006,49.16,True
2013-01-01,BPCL,119.17,149.67,85.32,115.97,1021517759,300215424,Tuesday,False,-2.8100000000000023,-2.37,False
2014-01-01,BPCL,116.7,261.67,105.35,215.33,1156383957,358154688,Wednesday,True,99.36000000000001,85.68,True
2015-01-01,BPCL,216.3,329.0,210.0,297.43,1019459722,2773110528,Thursday,False,82.1,38.13,True
2016-01-01,BPCL,297.67,458.63,243.72,423.67,1069461964,990605952,Friday,True,126.24000000000001,42.44,True
2017-01-01,BPCL,426.67,551.55,399.33,517.7,901624704,830503168,Sunday,False,94.03000000000003,22.19,True
2018-01-01,BPCL,518.0,523.0,238.55,362.75,1387560972,1230085632,Monday,True,-154.95000000000005,-29.93,False
2019-01-01,BPCL,361.05,549.0,308.35,491.55,1699916096,2848508672,Tuesday,False,128.8,35.51,True
2020-01-01,BPCL,492.0,510.0,252.0,381.1,2379912351,1637670528,Wednesday,True,-110.44999999999999,-22.47,False
2021-01-01,BPCL,381.1,503.0,357.4,385.45,1969790534,1499526912,Friday,False,4.349999999999966,1.14,True
2022-01-01,BPCL,384.0,406.9,288.05,330.5,2060081535,0,Saturday,True,-54.94999999999999,-14.26,False
2023-01-01,BPCL,330.05,361.6,314.05,357.6,261741833,0,Sunday,False,27.100000000000023,8.2,True
