Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-12-01,BRITANNIA,24.07,24.38,23.63,23.63,10666,31500,Thursday,True,,,False,True,,,False
1995-01-01,BRITANNIA,24.0,24.0,22.09,22.76,30667,424900,Sunday,False,-0.8699999999999974,-3.68,False,False,-11.629999999999999,-49.22,False
1995-02-01,BRITANNIA,21.75,21.75,21.38,21.6,5333,115200,Wednesday,True,-1.1600000000000001,-5.1,False,False,-11.629999999999999,-49.22,False
1995-03-01,BRITANNIA,22.13,23.92,20.63,21.19,14667,28250,Wednesday,False,-0.41000000000000014,-1.9,False,False,-11.629999999999999,-49.22,False
1995-04-01,BRITANNIA,19.05,21.75,19.05,20.25,20000,27000,Saturday,True,-0.9400000000000013,-4.44,False,False,-11.629999999999999,-49.22,False
1995-05-01,BRITANNIA,20.63,20.63,16.5,16.88,57335,45000,Monday,False,-3.370000000000001,-16.64,False,False,-11.629999999999999,-49.22,False
1995-06-01,BRITANNIA,16.88,18.75,14.47,14.63,1407999,78000,Thursday,True,-2.2499999999999982,-13.33,False,False,-11.629999999999999,-49.22,False
1995-07-01,BRITANNIA,14.7,16.13,14.25,16.13,37331,21500,Saturday,False,1.4999999999999982,10.25,True,False,-11.629999999999999,-49.22,False
1995-08-01,BRITANNIA,14.59,15.15,13.5,13.5,11999,18000,Tuesday,True,-2.629999999999999,-16.31,False,False,-11.629999999999999,-49.22,False
1995-09-01,BRITANNIA,13.5,15.6,13.13,15.6,102667,124800,Friday,False,2.0999999999999996,15.56,True,False,-11.629999999999999,-49.22,False
1995-10-01,BRITANNIA,15.45,16.8,15.45,16.44,109333,21925,Sunday,True,0.8400000000000016,5.38,True,False,-11.629999999999999,-49.22,False
1995-11-01,BRITANNIA,16.44,16.65,11.98,11.98,60001,15970,Wednesday,False,-4.460000000000001,-27.13,False,False,-11.629999999999999,-49.22,False
1995-12-01,BRITANNIA,11.81,12.38,11.7,12.0,45333,32000,Friday,True,0.019999999999999574,0.17,True,False,-11.629999999999999,-49.22,False
