Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1999-01-01,BSOFT,7.33,12.82,7.33,12.61,46190000,9880575,Friday,False,,,False
2000-01-01,BSOFT,13.5,15.12,1.44,1.6,95349467,183109,Saturday,True,-11.01,-87.31,False
2001-01-01,BSOFT,1.55,2.32,0.42,1.39,25161598,855208,Monday,False,-0.2100000000000002,-13.13,False
2002-01-01,BSOFT,1.65,7.04,1.65,5.14,5798245435,104518352,Tuesday,True,3.75,269.78,True
2003-01-01,BSOFT,5.17,10.2,3.31,9.64,4804892212,13757423,Wednesday,False,4.500000000000001,87.55,True
2004-01-01,BSOFT,9.7,19.95,5.8,19.43,477277406,27052194,Thursday,True,9.79,101.56,True
2005-01-01,BSOFT,18.24,24.89,16.08,22.56,135600207,6466072,Saturday,False,3.129999999999999,16.11,True
2006-01-01,BSOFT,22.71,41.94,18.48,41.52,119177438,107880720,Sunday,True,18.960000000000004,84.04,True
2007-01-01,BSOFT,44.75,54.57,28.88,40.11,349006603,155635488,Monday,False,-1.4100000000000037,-3.4,False
2008-01-01,BSOFT,40.47,41.06,6.03,8.09,201199799,1340817,Tuesday,True,-32.019999999999996,-79.83,False
2009-01-01,BSOFT,8.12,41.52,6.0,38.31,289333561,22314680,Thursday,False,30.220000000000002,373.55,True
2010-01-01,BSOFT,37.65,57.84,26.4,43.49,420868807,114370472,Friday,True,5.18,13.52,True
2011-01-01,BSOFT,43.49,59.64,39.63,43.94,168506739,4670144,Saturday,False,0.44999999999999574,1.03,True
2012-01-01,BSOFT,44.1,85.2,42.78,66.54,221316751,45064992,Sunday,True,22.60000000000001,51.43,True
2013-01-01,BSOFT,67.08,111.84,55.2,102.84,132223090,38759536,Tuesday,False,36.3,54.55,True
2014-01-01,BSOFT,103.2,126.84,84.06,121.89,280596688,201328144,Wednesday,True,19.049999999999997,18.52,True
2015-01-01,BSOFT,121.98,139.44,51.03,101.37,519730548,35057124,Thursday,False,-20.519999999999996,-16.83,False
2016-01-01,BSOFT,101.55,118.11,64.8,80.61,353257130,27818244,Friday,True,-20.760000000000005,-20.48,False
2017-01-01,BSOFT,78.87,109.02,62.43,108.45,543346034,725986560,Sunday,False,27.840000000000003,34.54,True
2018-01-01,BSOFT,109.02,188.7,108.36,130.86,932940253,98564192,Monday,True,22.41000000000001,20.66,True
2019-01-01,BSOFT,130.53,155.0,57.5,70.7,406300245,8739722,Tuesday,False,-60.16000000000001,-45.97,False
2020-01-01,BSOFT,71.15,276.0,46.7,246.9,483584514,224438768,Wednesday,True,176.2,249.22,True
2021-01-01,BSOFT,248.4,549.35,215.9,544.7,605862456,1284771328,Friday,False,297.80000000000007,120.62,True
2022-01-01,BSOFT,547.6,585.85,260.55,298.75,1452449743,0,Saturday,True,-245.95000000000005,-45.15,False
2023-01-01,BSOFT,300.0,312.6,250.25,272.95,144495619,0,Sunday,False,-25.80000000000001,-8.64,False
