Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2002-12-23,CANBK,42.0,52.0,41.85,50.35,42259034,288743296,Monday,,,False,False,,,False,True,,,False,True,,,False
2002-12-30,CANBK,50.0,50.45,48.7,49.5,10687603,120101256,Monday,,,False,False,-0.8500000000000014,-1.69,False,True,,,False,True,,,False
2003-01-06,CANBK,49.65,54.55,45.1,52.4,22525650,454902912,Monday,1,1,False,False,2.8999999999999986,5.86,True,False,12.600000000000001,25.38,True,False,86.6,174.42,True
2003-01-13,CANBK,52.9,56.4,52.2,55.6,17238500,137268336,Monday,2,2,True,True,3.200000000000003,6.11,True,False,12.600000000000001,25.38,True,False,86.6,174.42,True
2003-01-20,CANBK,55.75,72.65,55.75,65.3,67328687,518604608,Monday,3,3,False,False,9.699999999999996,17.45,True,False,12.600000000000001,25.38,True,False,86.6,174.42,True
2003-01-27,CANBK,66.5,67.75,60.25,62.25,28163660,291788672,Monday,4,4,True,True,-3.049999999999997,-4.67,False,False,12.600000000000001,25.38,True,False,86.6,174.42,True
2003-02-03,CANBK,63.0,70.65,62.65,66.85,41499545,362855968,Monday,1,5,False,False,4.599999999999994,7.39,True,True,0.20000000000000284,0.32,True,False,86.6,174.42,True
2003-02-10,CANBK,67.0,67.0,58.5,58.85,20892517,359235584,Monday,2,6,True,True,-7.999999999999993,-11.97,False,True,0.20000000000000284,0.32,True,False,86.6,174.42,True
2003-02-17,CANBK,60.7,69.9,60.0,67.25,41972437,411211360,Monday,3,7,False,False,8.399999999999999,14.27,True,True,0.20000000000000284,0.32,True,False,86.6,174.42,True
2003-02-24,CANBK,68.0,70.75,61.85,62.45,45281689,729743744,Monday,4,8,True,True,-4.799999999999997,-7.14,False,True,0.20000000000000284,0.32,True,False,86.6,174.42,True
2003-03-03,CANBK,64.3,67.4,61.65,62.2,27936085,213025360,Monday,1,9,False,False,-0.25,-0.4,False,False,8.950000000000003,14.33,True,False,86.6,174.42,True
2003-03-10,CANBK,62.25,63.5,58.15,62.65,19758715,345541248,Monday,2,10,True,True,0.44999999999999574,0.72,True,False,8.950000000000003,14.33,True,False,86.6,174.42,True
