Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2002-01-01,CANBK,42.0,52.0,41.85,49.65,46967322,130546832,Tuesday,True,,,False
2003-01-01,CANBK,50.0,162.25,45.1,136.25,1573978226,292026656,Wednesday,False,86.6,174.42,True
2004-01-01,CANBK,136.55,213.5,95.0,212.6,799554145,738297984,Thursday,True,76.35,56.04,True
2005-01-01,CANBK,214.5,259.95,170.0,241.25,295698703,194470416,Saturday,False,28.650000000000006,13.48,True
2006-01-01,CANBK,242.0,318.4,152.1,276.2,167653553,71697936,Sunday,True,34.94999999999999,14.49,True
2007-01-01,CANBK,277.0,340.0,174.15,331.45,133086457,239913792,Monday,False,55.25,20.0,True
2008-01-01,CANBK,332.3,421.4,136.45,188.1,195719185,95303312,Tuesday,True,-143.35,-43.25,False
2009-01-01,CANBK,190.8,437.9,144.25,388.75,214467511,219736272,Thursday,False,200.65,106.67,True
2010-01-01,CANBK,390.0,844.2,359.8,660.25,194235203,278288768,Friday,True,271.5,69.84,True
2011-01-01,CANBK,663.2,671.7,341.3,364.5,213648746,359371136,Saturday,False,-295.75,-44.79,False
2012-01-01,CANBK,366.0,566.0,306.25,496.9,193305066,316036832,Sunday,True,132.39999999999998,36.32,True
2013-01-01,CANBK,499.9,533.0,189.4,282.25,396782256,606048896,Tuesday,False,-214.64999999999998,-43.2,False
2014-01-01,CANBK,283.7,498.0,209.0,448.7,718341574,503111168,Wednesday,True,166.45,58.97,True
2015-01-01,CANBK,449.0,478.65,232.2,232.95,565317383,1029147456,Thursday,False,-215.75,-48.08,False
2016-01-01,CANBK,232.9,338.9,156.0,262.9,948659794,651628928,Friday,True,29.94999999999999,12.86,True
2017-01-01,CANBK,265.8,463.7,257.2,360.4,718871090,437243744,Sunday,False,97.5,37.09,True
2018-01-01,CANBK,361.7,384.9,204.75,275.05,1723098117,1171297024,Monday,True,-85.34999999999997,-23.68,False
2019-01-01,CANBK,276.5,302.1,170.6,221.35,1607351431,1141375104,Tuesday,False,-53.70000000000002,-19.52,False
2020-01-01,CANBK,222.1,229.8,73.65,128.95,3485120330,1823034624,Wednesday,True,-92.4,-41.74,False
2021-01-01,CANBK,128.9,247.6,123.7,199.95,5094604141,1439990528,Friday,False,71.0,55.06,True
2022-01-01,CANBK,199.7,336.7,171.75,333.3,4740469296,0,Saturday,True,133.35000000000002,66.69,True
2023-01-01,CANBK,335.85,341.7,268.8,317.45,652296116,0,Sunday,False,-15.850000000000023,-4.76,False
