Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,CHAMBLFERT,39.5,39.5,33.5,35.25,311100,10575,Saturday,True,,,False
1995-01-01,CHAMBLFERT,36.0,36.95,16.0,18.35,4388800,236715,Sunday,False,-16.9,-47.94,False
1996-01-01,CHAMBLFERT,18.35,21.3,10.0,12.75,8378600,928200,Monday,True,-5.600000000000001,-30.52,False
1997-01-01,CHAMBLFERT,13.0,15.05,9.35,10.4,25297800,394160,Wednesday,False,-2.3499999999999996,-18.43,False
1998-01-01,CHAMBLFERT,10.5,18.0,9.8,11.95,37802400,494730,Thursday,True,1.549999999999999,14.9,True
1999-01-01,CHAMBLFERT,11.95,17.0,10.1,15.5,39172781,9276843,Friday,False,3.5500000000000007,29.71,True
2000-01-01,CHAMBLFERT,17.5,20.8,10.05,10.7,32834436,134820,Saturday,True,-4.800000000000001,-30.97,False
2001-01-01,CHAMBLFERT,10.75,12.5,9.25,10.95,15916090,257161,Monday,False,0.25,2.34,True
2002-01-01,CHAMBLFERT,11.0,16.95,9.95,11.8,53016172,2542287,Tuesday,True,0.8500000000000014,7.76,True
2003-01-01,CHAMBLFERT,11.8,25.25,11.45,23.0,183143492,29331854,Wednesday,False,11.2,94.92,True
2004-01-01,CHAMBLFERT,23.25,29.4,17.0,26.55,254195230,26538370,Thursday,True,3.5500000000000007,15.43,True
2005-01-01,CHAMBLFERT,27.5,43.9,25.0,39.0,379746687,46822620,Saturday,False,12.45,46.89,True
2006-01-01,CHAMBLFERT,39.3,46.8,27.0,36.75,174350675,11700281,Sunday,True,-2.25,-5.77,False
2007-01-01,CHAMBLFERT,36.5,94.25,30.4,85.9,766164035,171186928,Monday,False,49.150000000000006,133.74,True
2008-01-01,CHAMBLFERT,86.0,96.5,29.35,37.25,3191187552,332563136,Tuesday,True,-48.650000000000006,-56.64,False
2009-01-01,CHAMBLFERT,37.85,75.4,33.3,57.85,1223381145,85203040,Thursday,False,20.6,55.3,True
2010-01-01,CHAMBLFERT,58.0,104.8,52.7,90.25,1165014160,463848448,Friday,True,32.4,56.01,True
2011-01-01,CHAMBLFERT,90.45,118.45,65.6,75.75,736396240,64739132,Saturday,False,-14.5,-16.07,False
2012-01-01,CHAMBLFERT,75.55,94.0,62.05,67.7,401472189,40310948,Sunday,True,-8.049999999999997,-10.63,False
2013-01-01,CHAMBLFERT,68.1,72.0,30.9,40.1,289626769,18604034,Tuesday,False,-27.6,-40.77,False
2014-01-01,CHAMBLFERT,40.1,71.1,36.0,60.75,193086639,4849004,Wednesday,True,20.65,51.5,True
2015-01-01,CHAMBLFERT,60.75,77.0,53.55,62.4,105431122,28027834,Thursday,False,1.6499999999999986,2.72,True
2016-01-01,CHAMBLFERT,62.8,74.5,50.65,71.05,120935740,31982946,Friday,True,8.649999999999999,13.86,True
2017-01-01,CHAMBLFERT,71.6,157.5,70.45,152.45,268422841,126865080,Sunday,False,81.39999999999999,114.57,True
2018-01-01,CHAMBLFERT,153.95,209.35,126.0,148.2,155250023,24893450,Monday,True,-4.25,-2.79,False
2019-01-01,CHAMBLFERT,147.0,195.0,133.8,152.25,77379301,115894376,Tuesday,False,4.050000000000011,2.73,True
2020-01-01,CHAMBLFERT,152.8,242.8,93.8,227.75,261445818,87879616,Wednesday,True,75.5,49.59,True
2021-01-01,CHAMBLFERT,229.15,451.0,200.35,394.8,405305910,331164960,Friday,False,167.05,73.35,True
2022-01-01,CHAMBLFERT,392.0,516.0,260.8,310.2,1073816523,0,Saturday,True,-84.60000000000002,-21.43,False
2023-01-01,CHAMBLFERT,312.0,321.0,248.4,285.65,93453317,0,Sunday,False,-24.55000000000001,-7.91,False
