Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-07-13,CHOLAFIN,12.0,12.0,12.0,12.0,250,3000.0,Thursday,1995-07-07,,,False,False,,,False,False,,,False,False,,,False
1995-07-20,CHOLAFIN,12.6,12.6,12.6,12.6,250,3150.0,Thursday,1995-07-14,,,False,False,0.5999999999999996,5.0,True,False,,,False,False,,,False
1995-07-27,,,,,,0,,Thursday,1995-07-21,,,False,False,,,False,False,,,False,False,,,False
1995-08-03,,,,,,0,,Thursday,1995-07-28,1,,False,False,,,False,True,0.8000000000000007,6.35,True,False,,,False
1995-08-10,,,,,,0,,Thursday,1995-08-04,2,,True,False,,,False,True,0.8000000000000007,6.35,True,False,,,False
1995-08-17,CHOLAFIN,12.8,13.3,12.2,12.97,6250,42153.0,Thursday,1995-08-11,3,,False,False,,,False,True,0.8000000000000007,6.35,True,False,,,False
1995-08-24,CHOLAFIN,12.7,13.0,12.4,12.4,4250,9300.0,Thursday,1995-08-18,4,,True,False,-0.5700000000000003,-4.39,False,True,0.8000000000000007,6.35,True,False,,,False
1995-08-31,CHOLAFIN,13.6,13.6,13.3,13.4,2000,6700.0,Thursday,1995-08-25,5,,False,False,1.0,8.06,True,True,0.8000000000000007,6.35,True,False,,,False
1995-09-07,CHOLAFIN,13.4,13.4,12.4,12.4,750,9300.0,Thursday,1995-09-01,1,,False,False,-1.0,-7.46,False,False,0.0,0.0,False,False,,,False
1995-09-14,,,,,,0,,Thursday,1995-09-08,2,,True,False,,,False,False,0.0,0.0,False,False,,,False
1995-09-21,,,,,,0,,Thursday,1995-09-15,3,,False,False,,,False,False,0.0,0.0,False,False,,,False
1995-09-28,CHOLAFIN,13.4,13.4,13.4,13.4,750,6700.0,Thursday,1995-09-22,4,,True,False,,,False,False,0.0,0.0,False,False,,,False
1995-10-05,,,,,,0,,Thursday,1995-09-29,1,,False,False,,,False,True,-0.5999999999999996,-4.48,False,False,,,False
1995-10-12,CHOLAFIN,13.4,14.4,13.4,14.0,7000,52500.0,Thursday,1995-10-06,2,,True,False,,,False,True,-0.5999999999999996,-4.48,False,False,,,False
1995-10-19,CHOLAFIN,13.95,14.4,12.8,12.8,12000,38400.0,Thursday,1995-10-13,3,,False,False,-1.1999999999999993,-8.57,False,True,-0.5999999999999996,-4.48,False,False,,,False
1995-10-26,CHOLAFIN,13.8,14.2,13.4,13.4,4750,13400.0,Thursday,1995-10-20,4,,True,False,0.5999999999999996,4.69,True,True,-0.5999999999999996,-4.48,False,False,,,False
1995-11-02,CHOLAFIN,13.4,13.4,12.6,12.6,5250,3150.0,Thursday,1995-10-27,1,,False,False,-0.8000000000000007,-5.97,False,False,-2.4000000000000004,-18.75,False,False,,,False
1995-11-09,CHOLAFIN,12.1,12.4,11.4,12.0,17750,66000.0,Thursday,1995-11-03,2,,True,False,-0.5999999999999996,-4.76,False,False,-2.4000000000000004,-18.75,False,False,,,False
1995-11-16,CHOLAFIN,11.8,11.8,11.0,11.4,8000,11400.0,Thursday,1995-11-10,3,,False,False,-0.5999999999999996,-5.0,False,False,-2.4000000000000004,-18.75,False,False,,,False
1995-11-23,CHOLAFIN,10.81,10.81,10.0,10.29,20500,41160.0,Thursday,1995-11-17,4,,True,False,-1.1100000000000012,-9.74,False,False,-2.4000000000000004,-18.75,False,False,,,False
1995-11-30,CHOLAFIN,10.3,10.7,10.0,10.4,11000,2600.0,Thursday,1995-11-24,5,,False,False,0.11000000000000121,1.07,True,False,-2.4000000000000004,-18.75,False,False,,,False
1995-12-07,CHOLAFIN,10.51,10.71,10.4,10.6,4250,13250.0,Thursday,1995-12-01,1,,False,False,0.1999999999999993,1.92,True,True,0.5999999999999996,5.77,True,False,,,False
1995-12-14,CHOLAFIN,10.7,11.1,10.4,10.62,6000,29205.0,Thursday,1995-12-08,2,,True,False,0.019999999999999574,0.19,True,True,0.5999999999999996,5.77,True,False,,,False
1995-12-21,CHOLAFIN,11.4,12.0,10.3,11.6,11000,5800.0,Thursday,1995-12-15,3,,False,False,0.9800000000000004,9.23,True,True,0.5999999999999996,5.77,True,False,,,False
1995-12-28,CHOLAFIN,11.1,11.3,10.8,11.0,7000,5500.0,Thursday,1995-12-22,4,,True,False,-0.5999999999999996,-5.17,False,True,0.5999999999999996,5.77,True,False,,,False
1996-01-04,CHOLAFIN,11.0,11.7,10.0,10.77,5250,37695.0,Thursday,1995-12-29,1,1,False,False,-0.23000000000000043,-2.09,False,False,-2.26,-20.55,False,True,-2.6999999999999993,-24.55,False
1996-01-11,CHOLAFIN,10.77,11.01,10.0,10.0,12750,27500.0,Thursday,1996-01-05,2,2,True,True,-0.7699999999999996,-7.15,False,False,-2.26,-20.55,False,True,-2.6999999999999993,-24.55,False
1996-01-18,CHOLAFIN,10.0,10.2,8.8,8.85,11500,8850.0,Thursday,1996-01-12,3,3,False,False,-1.1500000000000004,-11.5,False,False,-2.26,-20.55,False,True,-2.6999999999999993,-24.55,False
