Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-07-01,CHOLAFIN,12.0,12.6,12.0,12.6,500,3150,Saturday,False,,,False,False,,,False
1995-08-01,CHOLAFIN,12.8,13.6,12.2,13.4,12500,6700,Tuesday,True,0.8000000000000007,6.35,True,False,,,False
1995-09-01,CHOLAFIN,13.4,13.4,12.4,13.4,1500,6700,Friday,False,0.0,0.0,False,False,,,False
1995-10-01,CHOLAFIN,13.4,14.4,12.8,12.8,25250,6400,Sunday,True,-0.5999999999999996,-4.48,False,False,,,False
1995-11-01,CHOLAFIN,12.6,12.8,10.0,10.4,61000,2600,Wednesday,False,-2.4000000000000004,-18.75,False,False,,,False
1995-12-01,CHOLAFIN,10.51,12.0,10.3,11.0,28250,5500,Friday,True,0.5999999999999996,5.77,True,False,,,False
1996-01-01,CHOLAFIN,11.0,11.7,8.2,8.74,51250,2185,Monday,False,-2.26,-20.55,False,True,-2.6999999999999993,-24.55,False
1996-02-01,CHOLAFIN,8.91,12.4,8.5,11.44,769750,168740,Thursday,True,2.6999999999999993,30.89,True,True,-2.6999999999999993,-24.55,False
1996-03-01,CHOLAFIN,11.69,11.69,9.4,10.2,330500,22950,Friday,False,-1.2400000000000002,-10.84,False,True,-2.6999999999999993,-24.55,False
1996-04-01,CHOLAFIN,10.21,14.2,10.01,14.0,323000,924000,Monday,True,3.8000000000000007,37.25,True,True,-2.6999999999999993,-24.55,False
1996-05-01,CHOLAFIN,14.0,16.31,13.2,16.0,1141500,272000,Wednesday,False,2.0,14.29,True,True,-2.6999999999999993,-24.55,False
1996-06-01,CHOLAFIN,16.0,16.0,12.3,12.5,352250,25000,Saturday,True,-3.5,-21.88,False,True,-2.6999999999999993,-24.55,False
1996-07-01,CHOLAFIN,12.0,12.88,10.7,11.49,172000,11490,Monday,False,-1.0099999999999998,-8.08,False,True,-2.6999999999999993,-24.55,False
1996-08-01,CHOLAFIN,11.45,12.7,10.9,11.79,165000,50108,Thursday,True,0.29999999999999893,2.61,True,True,-2.6999999999999993,-24.55,False
1996-09-01,CHOLAFIN,11.7,13.0,10.48,10.66,259000,415740,Sunday,False,-1.129999999999999,-9.58,False,True,-2.6999999999999993,-24.55,False
1996-10-01,CHOLAFIN,10.5,12.49,8.48,11.66,775500,1702360,Tuesday,True,1.0,9.38,True,True,-2.6999999999999993,-24.55,False
1996-11-01,CHOLAFIN,12.0,12.12,8.4,8.7,151500,43500,Friday,False,-2.960000000000001,-25.39,False,True,-2.6999999999999993,-24.55,False
1996-12-01,CHOLAFIN,8.84,8.84,6.95,8.3,4214750,70550,Sunday,True,-0.3999999999999986,-4.6,False,True,-2.6999999999999993,-24.55,False
1997-01-01,CHOLAFIN,8.4,9.55,8.0,8.4,233750,75600,Wednesday,False,0.09999999999999964,1.2,True,False,-2.3200000000000003,-27.95,False
1997-02-01,CHOLAFIN,8.4,8.65,6.4,7.41,235000,22230,Saturday,True,-0.9900000000000002,-11.79,False,False,-2.3200000000000003,-27.95,False
1997-03-01,CHOLAFIN,7.9,8.65,7.02,7.24,621000,123080,Saturday,False,-0.16999999999999993,-2.29,False,False,-2.3200000000000003,-27.95,False
1997-04-01,CHOLAFIN,7.35,8.24,7.02,7.3,1113000,20075,Tuesday,True,0.05999999999999961,0.83,True,False,-2.3200000000000003,-27.95,False
1997-05-01,CHOLAFIN,7.12,7.34,6.61,7.09,72500,21270,Thursday,False,-0.20999999999999996,-2.88,False,False,-2.3200000000000003,-27.95,False
1997-06-01,CHOLAFIN,6.9,7.48,6.6,6.8,360250,32300,Sunday,True,-0.29000000000000004,-4.09,False,False,-2.3200000000000003,-27.95,False
1997-07-01,CHOLAFIN,7.0,7.3,6.6,7.03,2094000,154660,Tuesday,False,0.23000000000000043,3.38,True,False,-2.3200000000000003,-27.95,False
1997-08-01,CHOLAFIN,7.18,8.4,6.7,7.62,325500,26670,Friday,True,0.5899999999999999,8.39,True,False,-2.3200000000000003,-27.95,False
1997-09-01,CHOLAFIN,8.0,9.23,7.05,7.22,438250,312265,Monday,False,-0.40000000000000036,-5.25,False,False,-2.3200000000000003,-27.95,False
1997-10-01,CHOLAFIN,7.25,7.48,6.0,6.55,439500,44213,Wednesday,True,-0.6699999999999999,-9.28,False,False,-2.3200000000000003,-27.95,False
1997-11-01,CHOLAFIN,6.5,6.6,5.9,6.2,790750,15500,Saturday,False,-0.34999999999999964,-5.34,False,False,-2.3200000000000003,-27.95,False
1997-12-01,CHOLAFIN,6.14,6.43,5.96,5.98,440500,44850,Monday,True,-0.21999999999999975,-3.55,False,False,-2.3200000000000003,-27.95,False
1998-01-01,CHOLAFIN,6.02,6.36,5.8,5.9,275500,42775,Thursday,False,-0.08000000000000007,-1.34,False,True,-0.8800000000000008,-14.72,False
