Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1994-11-01,CIPLA,21.33,21.6,20.0,21.07,75000,118500,Tuesday,False,,,False,True,,,False
1994-12-01,CIPLA,20.27,20.27,17.33,18.53,112500,104250,Thursday,True,-2.539999999999999,-12.06,False,True,,,False
1995-01-01,CIPLA,18.67,18.67,16.19,16.8,290625,346500,Sunday,False,-1.7300000000000004,-9.34,False,False,-9.750000000000002,-52.62,False
1995-02-01,CIPLA,16.93,17.07,13.33,15.6,624375,321750,Wednesday,True,-1.200000000000001,-7.14,False,False,-9.750000000000002,-52.62,False
1995-03-01,CIPLA,16.27,17.07,14.8,16.15,631875,484400,Wednesday,False,0.5499999999999989,3.53,True,False,-9.750000000000002,-52.62,False
1995-04-01,CIPLA,16.4,17.07,13.12,13.39,1078125,2509750,Saturday,True,-2.759999999999998,-17.09,False,False,-9.750000000000002,-52.62,False
1995-05-01,CIPLA,13.2,14.67,12.53,13.14,1687500,1256513,Monday,False,-0.25,-1.87,False,False,-9.750000000000002,-52.62,False
1995-06-01,CIPLA,13.2,13.2,10.4,11.07,1751250,705500,Thursday,True,-2.0700000000000003,-15.75,False,False,-9.750000000000002,-52.62,False
1995-07-01,CIPLA,10.67,12.08,8.8,10.27,3050625,1443750,Saturday,False,-0.8000000000000007,-7.23,False,False,-9.750000000000002,-52.62,False
1995-08-01,CIPLA,10.33,11.68,9.69,9.71,5343750,564123,Tuesday,True,-0.5599999999999987,-5.45,False,False,-9.750000000000002,-52.62,False
1995-09-01,CIPLA,9.6,10.4,9.15,9.78,2293125,751940,Friday,False,0.06999999999999851,0.72,True,False,-9.750000000000002,-52.62,False
1995-10-01,CIPLA,9.87,9.87,8.8,8.87,806250,681625,Sunday,True,-0.9100000000000001,-9.3,False,False,-9.750000000000002,-52.62,False
1995-11-01,CIPLA,8.87,8.93,5.97,7.12,2904375,787503,Wednesday,False,-1.7499999999999991,-19.73,False,False,-9.750000000000002,-52.62,False
1995-12-01,CIPLA,7.12,9.26,7.07,8.78,19698750,6715680,Friday,True,1.6599999999999993,23.31,True,False,-9.750000000000002,-52.62,False
1996-01-01,CIPLA,8.78,9.33,7.84,8.07,10415625,1483475,Monday,False,-0.7099999999999991,-8.09,False,True,4.32,49.2,True
1996-02-01,CIPLA,8.07,10.61,7.89,9.73,7558125,3738688,Thursday,True,1.6600000000000001,20.57,True,True,4.32,49.2,True
1996-03-01,CIPLA,9.73,10.79,9.59,10.56,7558125,1722818,Friday,False,0.8300000000000001,8.53,True,True,4.32,49.2,True
1996-04-01,CIPLA,10.56,12.19,10.56,11.46,3538125,2278205,Monday,True,0.9000000000000004,8.52,True,True,4.32,49.2,True
1996-05-01,CIPLA,11.46,11.68,9.67,10.11,2137500,417065,Wednesday,False,-1.3500000000000014,-11.78,False,True,4.32,49.2,True
1996-06-01,CIPLA,10.11,11.4,10.01,10.93,2700000,922163,Saturday,True,0.8200000000000003,8.11,True,True,4.32,49.2,True
1996-07-01,CIPLA,10.87,12.53,10.0,10.71,13100625,21999460,Monday,False,-0.21999999999999886,-2.01,False,True,4.32,49.2,True
1996-08-01,CIPLA,10.67,12.35,10.31,11.78,26383125,3422788,Thursday,True,1.0699999999999985,9.99,True,True,4.32,49.2,True
1996-09-01,CIPLA,11.87,11.93,9.81,10.08,4447500,3061800,Sunday,False,-1.6999999999999993,-14.43,False,True,4.32,49.2,True
1996-10-01,CIPLA,9.95,11.25,9.47,10.53,4040625,276500,Tuesday,True,0.4499999999999993,4.46,True,True,4.32,49.2,True
1996-11-01,CIPLA,10.51,12.09,10.17,12.04,1906875,7155483,Friday,False,1.5099999999999998,14.34,True,True,4.32,49.2,True
1996-12-01,CIPLA,12.09,14.4,11.63,13.1,9251250,1621290,Sunday,True,1.0600000000000005,8.8,True,True,4.32,49.2,True
1997-01-01,CIPLA,13.31,15.07,12.13,14.38,5750625,10755045,Wednesday,False,1.2800000000000011,9.77,True,False,3.869999999999999,29.54,True
1997-02-01,CIPLA,14.13,15.47,13.73,14.7,5544375,1102400,Saturday,True,0.3199999999999985,2.23,True,False,3.869999999999999,29.54,True
1997-03-01,CIPLA,15.23,16.61,14.93,15.66,9997500,16001200,Saturday,False,0.9600000000000009,6.53,True,False,3.869999999999999,29.54,True
