Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-11-08,COALINDIA,325.4,336.95,318.0,320.15,62609607,4803564544,Monday,,,False,False,,,False,False,,,False,True,,,False
2010-11-15,COALINDIA,321.2,339.95,310.0,333.55,97725145,17252452352,Monday,,,False,False,13.400000000000034,4.19,True,False,,,False,True,,,False
2010-11-22,COALINDIA,336.0,337.0,301.0,312.7,61032332,4270644736,Monday,,,False,False,-20.850000000000023,-6.25,False,False,,,False,True,,,False
2010-11-29,COALINDIA,311.4,325.95,308.2,321.95,26194384,790005760,Monday,,,False,False,9.25,2.96,True,False,,,False,True,,,False
2010-12-06,COALINDIA,321.0,324.9,309.0,317.3,20370650,1840308224,Monday,1,,False,False,-4.649999999999977,-1.44,False,True,-2.5,-0.79,False,True,,,False
2010-12-13,COALINDIA,318.0,331.0,317.0,320.7,18158857,927801792,Monday,2,,True,False,3.3999999999999773,1.07,True,True,-2.5,-0.79,False,True,,,False
2010-12-20,COALINDIA,323.0,323.0,310.1,312.15,17943957,580315840,Monday,3,,False,False,-8.550000000000011,-2.67,False,True,-2.5,-0.79,False,True,,,False
2010-12-27,COALINDIA,312.15,316.45,301.0,314.75,26705879,1561470720,Monday,4,,True,False,2.6000000000000227,0.83,True,True,-2.5,-0.79,False,True,,,False
2011-01-03,COALINDIA,315.5,320.0,302.15,309.1,19263747,710492032,Monday,1,1,False,False,-5.649999999999977,-1.8,False,False,-10.399999999999977,-3.3,False,False,-14.100000000000023,-4.48,False
2011-01-10,COALINDIA,309.9,315.5,302.1,310.5,13691859,696918784,Monday,2,2,True,True,1.3999999999999773,0.45,True,False,-10.399999999999977,-3.3,False,False,-14.100000000000023,-4.48,False
2011-01-17,COALINDIA,307.25,319.2,306.2,314.15,12511981,758085696,Monday,3,3,False,False,3.6499999999999773,1.18,True,False,-10.399999999999977,-3.3,False,False,-14.100000000000023,-4.48,False
2011-01-24,COALINDIA,314.9,315.7,303.05,305.05,10242721,1292336896,Monday,4,4,True,True,-9.099999999999966,-2.9,False,False,-10.399999999999977,-3.3,False,False,-14.100000000000023,-4.48,False
2011-01-31,COALINDIA,302.0,320.0,300.55,308.15,17811712,520366432,Monday,5,5,False,False,3.099999999999966,1.02,True,False,-10.399999999999977,-3.3,False,False,-14.100000000000023,-4.48,False
2011-02-07,COALINDIA,309.4,310.45,293.25,304.6,16114706,1002816320,Monday,1,6,False,True,-3.5499999999999545,-1.15,False,True,23.349999999999966,7.67,True,False,-14.100000000000023,-4.48,False
2011-02-14,COALINDIA,306.0,307.85,300.1,302.35,11339884,601793792,Monday,2,7,True,False,-2.25,-0.74,False,True,23.349999999999966,7.67,True,False,-14.100000000000023,-4.48,False
2011-02-21,COALINDIA,301.5,303.9,289.0,292.65,9385197,575011264,Monday,3,8,False,True,-9.700000000000045,-3.21,False,True,23.349999999999966,7.67,True,False,-14.100000000000023,-4.48,False
2011-02-28,COALINDIA,299.0,339.9,296.1,324.25,34580518,454886432,Monday,4,9,True,False,31.600000000000023,10.8,True,True,23.349999999999966,7.67,True,False,-14.100000000000023,-4.48,False
2011-03-07,COALINDIA,322.0,344.5,318.4,329.95,14366538,282617024,Monday,1,10,False,True,5.699999999999989,1.76,True,False,18.80000000000001,5.74,True,False,-14.100000000000023,-4.48,False
2011-03-14,COALINDIA,330.9,347.9,320.15,344.4,14226701,1007772928,Monday,2,11,True,False,14.449999999999989,4.38,True,False,18.80000000000001,5.74,True,False,-14.100000000000023,-4.48,False
2011-03-21,COALINDIA,343.35,371.4,343.3,358.1,20848471,789104192,Monday,3,12,False,True,13.700000000000045,3.98,True,False,18.80000000000001,5.74,True,False,-14.100000000000023,-4.48,False
2011-03-28,COALINDIA,359.85,360.0,340.1,346.9,15477433,752702912,Monday,4,13,True,False,-11.200000000000045,-3.13,False,False,18.80000000000001,5.74,True,False,-14.100000000000023,-4.48,False
2011-04-04,COALINDIA,347.35,370.8,345.35,355.25,13167894,753721472,Monday,1,14,False,True,8.350000000000023,2.41,True,True,34.05000000000001,9.83,True,False,-14.100000000000023,-4.48,False
2011-04-11,COALINDIA,356.4,363.0,350.0,357.45,6793619,932629952,Monday,2,15,True,False,2.1999999999999886,0.62,True,True,34.05000000000001,9.83,True,False,-14.100000000000023,-4.48,False
2011-04-18,COALINDIA,359.05,369.75,345.9,362.3,11660063,1773673600,Monday,3,16,False,True,4.850000000000023,1.36,True,True,34.05000000000001,9.83,True,False,-14.100000000000023,-4.48,False
2011-04-25,COALINDIA,363.0,383.3,358.1,380.55,18190666,1445750912,Monday,4,17,True,False,18.25,5.04,True,True,34.05000000000001,9.83,True,False,-14.100000000000023,-4.48,False
2011-05-02,COALINDIA,362.0,384.5,361.3,369.75,10547405,828666304,Monday,1,18,False,True,-10.800000000000011,-2.84,False,False,27.899999999999977,7.33,True,False,-14.100000000000023,-4.48,False
2011-05-09,COALINDIA,370.0,396.35,368.65,386.85,17295407,882745280,Monday,2,19,True,False,17.100000000000023,4.62,True,False,27.899999999999977,7.33,True,False,-14.100000000000023,-4.48,False
2011-05-16,COALINDIA,388.0,401.4,362.65,364.95,32685902,1970972416,Monday,3,20,False,True,-21.900000000000034,-5.66,False,False,27.899999999999977,7.33,True,False,-14.100000000000023,-4.48,False
2011-05-23,COALINDIA,364.0,394.5,359.25,387.9,17659299,1061959616,Monday,4,21,True,False,22.94999999999999,6.29,True,False,27.899999999999977,7.33,True,False,-14.100000000000023,-4.48,False
2011-05-30,COALINDIA,390.0,422.35,390.0,391.65,24341152,1082664320,Monday,5,22,False,True,3.75,0.97,True,False,27.899999999999977,7.33,True,False,-14.100000000000023,-4.48,False
2011-06-06,COALINDIA,392.0,413.8,390.35,405.35,10487995,748134656,Monday,1,23,False,False,13.700000000000045,3.5,True,True,-15.599999999999966,-3.82,False,False,-14.100000000000023,-4.48,False
2011-06-13,COALINDIA,405.0,405.05,387.95,395.6,11925536,1503478656,Monday,2,24,True,True,-9.75,-2.41,False,True,-15.599999999999966,-3.82,False,False,-14.100000000000023,-4.48,False
2011-06-20,COALINDIA,400.15,406.35,375.0,390.0,13786870,1129666944,Monday,3,25,False,False,-5.600000000000023,-1.42,False,True,-15.599999999999966,-3.82,False,False,-14.100000000000023,-4.48,False
2011-06-27,COALINDIA,408.6,408.6,383.0,384.25,9585780,866250496,Monday,4,26,True,True,-5.75,-1.47,False,True,-15.599999999999966,-3.82,False,False,-14.100000000000023,-4.48,False
2011-07-04,COALINDIA,386.95,400.75,361.0,362.65,24933842,7036315136,Monday,1,27,False,False,-21.600000000000023,-5.62,False,False,-4.600000000000023,-1.17,False,False,-14.100000000000023,-4.48,False
2011-07-11,COALINDIA,299.0,375.5,299.0,365.85,25837390,855697536,Monday,2,28,True,True,3.2000000000000455,0.88,True,False,-4.600000000000023,-1.17,False,False,-14.100000000000023,-4.48,False
2011-07-18,COALINDIA,368.4,374.0,364.1,368.95,8232717,598204864,Monday,3,29,False,False,3.099999999999966,0.85,True,False,-4.600000000000023,-1.17,False,False,-14.100000000000023,-4.48,False
2011-07-25,COALINDIA,370.7,408.7,367.25,388.25,19660673,765548992,Monday,4,30,True,True,19.30000000000001,5.23,True,False,-4.600000000000023,-1.17,False,False,-14.100000000000023,-4.48,False
2011-08-01,COALINDIA,391.5,406.5,375.2,392.9,14268636,1258782080,Monday,1,31,False,False,4.649999999999977,1.2,True,True,-12.649999999999977,-3.26,False,False,-14.100000000000023,-4.48,False
2011-08-08,COALINDIA,381.1,399.65,376.25,385.25,15490586,1073143936,Monday,2,32,True,True,-7.649999999999977,-1.95,False,True,-12.649999999999977,-3.26,False,False,-14.100000000000023,-4.48,False
2011-08-15,COALINDIA,390.1,404.1,384.3,393.45,16778653,1677524480,Monday,3,33,False,False,8.199999999999989,2.13,True,True,-12.649999999999977,-3.26,False,False,-14.100000000000023,-4.48,False
2011-08-22,COALINDIA,395.0,397.95,357.0,359.4,24548756,2107836032,Monday,4,34,True,True,-34.05000000000001,-8.65,False,True,-12.649999999999977,-3.26,False,False,-14.100000000000023,-4.48,False
2011-08-29,COALINDIA,363.45,390.7,363.45,388.15,9844033,1365983616,Monday,5,35,False,False,28.75,8.0,True,True,-12.649999999999977,-3.26,False,False,-14.100000000000023,-4.48,False
2011-09-05,COALINDIA,383.25,393.45,375.25,381.05,11415321,890607552,Monday,1,36,False,True,-7.099999999999966,-1.83,False,False,-42.400000000000034,-11.29,False,False,-14.100000000000023,-4.48,False
2011-09-12,COALINDIA,379.4,383.6,370.35,379.15,10680380,1112226304,Monday,2,37,True,False,-1.900000000000034,-0.5,False,False,-42.400000000000034,-11.29,False,False,-14.100000000000023,-4.48,False
2011-09-19,COALINDIA,377.1,387.45,364.65,365.6,11937035,1143618432,Monday,3,38,False,True,-13.549999999999955,-3.57,False,False,-42.400000000000034,-11.29,False,False,-14.100000000000023,-4.48,False
2011-09-26,COALINDIA,365.0,365.0,325.15,333.2,30777448,4917312000,Monday,4,39,True,False,-32.400000000000034,-8.86,False,False,-42.400000000000034,-11.29,False,False,-14.100000000000023,-4.48,False
2011-10-03,COALINDIA,330.0,339.9,314.55,337.55,29199283,2634067712,Monday,1,40,False,True,4.350000000000023,1.31,True,True,-1.1999999999999886,-0.36,False,False,-14.100000000000023,-4.48,False
2011-10-10,COALINDIA,341.0,349.15,319.05,322.55,39345454,2955415552,Monday,2,41,True,False,-15.0,-4.44,False,True,-1.1999999999999886,-0.36,False,False,-14.100000000000023,-4.48,False
2011-10-17,COALINDIA,323.95,338.5,318.15,328.55,28375333,580307648,Monday,3,42,False,True,6.0,1.86,True,True,-1.1999999999999886,-0.36,False,False,-14.100000000000023,-4.48,False
2011-10-24,COALINDIA,333.0,342.8,320.55,338.2,17215165,2932782336,Monday,4,43,True,False,9.649999999999977,2.94,True,True,-1.1999999999999886,-0.36,False,False,-14.100000000000023,-4.48,False
2011-10-31,COALINDIA,339.75,339.75,324.05,326.3,15894679,1152718336,Monday,5,44,False,True,-11.899999999999977,-3.52,False,True,-1.1999999999999886,-0.36,False,False,-14.100000000000023,-4.48,False
2011-11-07,COALINDIA,328.45,330.3,323.8,326.1,10018443,1309362560,Monday,1,45,False,False,-0.19999999999998863,-0.06,False,False,-4.850000000000023,-1.46,False,False,-14.100000000000023,-4.48,False
2011-11-14,COALINDIA,326.1,326.9,294.6,297.65,20877036,1834899072,Monday,2,46,True,True,-28.450000000000045,-8.72,False,False,-4.850000000000023,-1.46,False,False,-14.100000000000023,-4.48,False
2011-11-21,COALINDIA,297.0,314.3,294.75,308.55,15120425,926936320,Monday,3,47,False,False,10.900000000000034,3.66,True,False,-4.850000000000023,-1.46,False,False,-14.100000000000023,-4.48,False
2011-11-28,COALINDIA,312.3,336.0,311.0,334.65,14276673,616722112,Monday,4,48,True,True,26.099999999999966,8.46,True,False,-4.850000000000023,-1.46,False,False,-14.100000000000023,-4.48,False
2011-12-05,COALINDIA,335.75,338.35,305.75,316.05,14563771,709714880,Monday,1,49,False,False,-18.599999999999966,-5.56,False,True,-26.5,-8.1,False,False,-14.100000000000023,-4.48,False
