Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2004-01-01,COFORGE,108.54,133.6,92.53,100.63,19637176,8721213,Thursday,True,,,False
2005-01-01,COFORGE,102.28,133.13,77.05,110.22,77077606,14083832,Saturday,False,9.590000000000003,9.53,True
2006-01-01,COFORGE,110.55,208.3,89.11,204.79,69732987,127610704,Sunday,True,94.57,85.8,True
2007-01-01,COFORGE,204.79,426.69,187.6,236.6,204663260,106086712,Monday,False,31.810000000000002,15.53,True
2008-01-01,COFORGE,239.0,251.4,53.2,70.5,114059464,22494294,Tuesday,True,-166.1,-70.2,False
2009-01-01,COFORGE,71.0,194.9,41.5,179.7,139031270,27888002,Thursday,False,109.19999999999999,154.89,True
2010-01-01,COFORGE,181.4,246.8,157.0,198.1,47365227,5297194,Friday,True,18.400000000000006,10.24,True
2011-01-01,COFORGE,198.5,245.0,163.6,184.15,36340546,3179166,Saturday,False,-13.949999999999989,-7.04,False
2012-01-01,COFORGE,184.0,324.9,180.25,242.35,31014241,16514214,Sunday,True,58.19999999999999,31.6,True
2013-01-01,COFORGE,243.8,366.0,235.0,361.05,24673464,37994736,Tuesday,False,118.70000000000002,48.98,True
2014-01-01,COFORGE,358.0,487.0,328.0,370.65,34415352,94579128,Wednesday,True,9.599999999999966,2.66,True
2015-01-01,COFORGE,368.05,631.0,325.55,579.55,45101962,27248122,Thursday,False,208.89999999999998,56.36,True
2016-01-01,COFORGE,579.55,593.6,366.55,424.7,58801986,157964624,Friday,True,-154.84999999999997,-26.72,False
2017-01-01,COFORGE,425.25,696.9,400.75,645.05,96562205,275431840,Sunday,False,220.34999999999997,51.88,True
2018-01-01,COFORGE,646.0,1425.2,637.8,1149.3,332718063,359875712,Monday,True,504.25,78.17,True
2019-01-01,COFORGE,1145.0,1643.3,1109.3,1589.85,127318379,393707264,Tuesday,False,440.54999999999995,38.33,True
2020-01-01,COFORGE,1589.85,2814.0,735.35,2705.15,170187859,474561728,Wednesday,True,1115.3000000000002,70.15,True
2021-01-01,COFORGE,2703.25,6030.0,2300.0,5890.35,135788648,1628799616,Friday,False,3185.2000000000003,117.75,True
2022-01-01,COFORGE,5920.0,6135.0,3210.05,3884.1,739187028,0,Saturday,True,-2006.2500000000005,-34.06,False
2023-01-01,COFORGE,3903.55,4512.0,3564.75,4184.5,39817847,0,Sunday,False,300.4000000000001,7.73,True
