Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,COLPAL,212.5,215.0,195.0,203.1,57700,101550,Saturday,True,,,False
1995-01-01,COLPAL,204.5,210.0,114.53,135.93,3338700,2242763,Sunday,False,-67.16999999999999,-33.07,False
1996-01-01,COLPAL,135.93,157.48,107.0,116.0,11875900,3016000,Monday,True,-19.930000000000007,-14.66,False
1997-01-01,COLPAL,118.88,188.82,113.5,129.52,141612900,64879068,Wednesday,False,13.52000000000001,11.66,True
1998-01-01,COLPAL,127.53,155.43,79.15,98.1,87642300,24731010,Thursday,True,-31.420000000000016,-24.26,False
1999-01-01,COLPAL,98.72,149.45,80.5,107.47,125187870,10219798,Friday,False,9.370000000000005,9.55,True
2000-01-01,COLPAL,110.0,126.38,67.5,83.18,59210586,7933398,Saturday,True,-24.289999999999992,-22.6,False
2001-01-01,COLPAL,83.5,97.5,74.07,83.25,30845902,6000827,Monday,False,0.06999999999999318,0.08,True
2002-01-01,COLPAL,82.8,85.25,59.0,67.43,20105910,2189695,Tuesday,True,-15.819999999999993,-19.0,False
2003-01-01,COLPAL,66.82,82.38,59.0,79.85,56211206,60759300,Wednesday,False,12.419999999999987,18.42,True
2004-01-01,COLPAL,80.75,94.5,51.08,89.55,52289026,9278455,Thursday,True,9.700000000000003,12.15,True
2005-01-01,COLPAL,89.6,141.25,82.03,134.57,87366452,21960756,Saturday,False,45.019999999999996,50.27,True
2006-01-01,COLPAL,135.25,238.15,134.52,194.23,208020344,116663968,Sunday,True,59.66,44.33,True
2007-01-01,COLPAL,195.45,220.0,145.5,203.23,106915982,49868976,Monday,False,9.0,4.63,True
2008-01-01,COLPAL,203.75,262.45,171.15,203.0,45498642,9055830,Tuesday,True,-0.22999999999998977,-0.11,False
2009-01-01,COLPAL,203.5,369.0,186.98,329.5,62987874,140985136,Thursday,False,126.5,62.32,True
2010-01-01,COLPAL,334.0,502.4,316.35,434.92,56868800,82119056,Friday,True,105.42000000000002,31.99,True
2011-01-01,COLPAL,435.52,542.5,358.08,495.27,41989052,47076880,Saturday,False,60.349999999999966,13.88,True
2012-01-01,COLPAL,497.5,788.9,467.45,783.55,39676266,200646784,Sunday,True,288.28,58.21,True
2013-01-01,COLPAL,785.5,789.95,595.0,676.67,56466962,162074480,Tuesday,False,-106.88,-13.64,False
2014-01-01,COLPAL,681.5,1024.5,631.0,892.75,57281304,129455888,Wednesday,True,216.08000000000004,31.93,True
2015-01-01,COLPAL,893.0,1099.0,893.0,972.85,83426029,404074208,Thursday,False,80.10000000000002,8.97,True
2016-01-01,COLPAL,973.0,1033.0,787.2,904.6,75521865,176501024,Friday,True,-68.25,-7.02,False
2017-01-01,COLPAL,905.7,1178.35,861.3,1100.0,87410942,246556192,Sunday,False,195.39999999999998,21.6,True
2018-01-01,COLPAL,1095.5,1354.8,1018.3,1343.55,102438811,722976384,Monday,True,243.54999999999995,22.14,True
2019-01-01,COLPAL,1349.8,1642.6,1103.05,1462.9,126230374,276722176,Tuesday,False,119.35000000000014,8.88,True
2020-01-01,COLPAL,1455.65,1630.0,1065.0,1565.25,208856950,583047808,Wednesday,True,102.34999999999991,7.0,True
2021-01-01,COLPAL,1565.0,1823.4,1392.85,1481.3,136466822,564729344,Friday,False,-83.95000000000005,-5.36,False
2022-01-01,COLPAL,1482.0,1695.95,1375.6,1536.3,465193963,0,Saturday,True,55.0,3.71,True
2023-01-01,COLPAL,1538.0,1598.0,1434.6,1595.1,22330540,0,Sunday,False,58.799999999999955,3.83,True
