Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1997-05-22,CONCOR,55.0,55.0,55.0,55.0,250000,13750000.0,Thursday,1997-05-16,,,False,False,,,False,False,,,False,False,,,False
1997-05-29,CONCOR,55.5,56.5,55.5,56.5,2000,56500.0,Thursday,1997-05-23,,,False,False,1.5,2.73,True,False,,,False,False,,,False
1997-06-05,CONCOR,59.0,59.0,57.0,57.0,2000,57000.0,Thursday,1997-05-30,1,,False,False,0.5,0.88,True,True,-4.0,-6.78,False,False,,,False
1997-06-12,CONCOR,60.0,60.0,60.0,60.0,1000,60000.0,Thursday,1997-06-06,2,,True,False,3.0,5.26,True,True,-4.0,-6.78,False,False,,,False
1997-06-19,CONCOR,60.0,60.0,55.0,55.0,1002000,55000000.0,Thursday,1997-06-13,3,,False,False,-5.0,-8.33,False,True,-4.0,-6.78,False,False,,,False
1997-06-26,,,,,,0,,Thursday,1997-06-20,4,,True,False,,,False,True,-4.0,-6.78,False,False,,,False
1997-07-03,,,,,,0,,Thursday,1997-06-27,1,,False,False,,,False,False,-12.399999999999999,-22.55,False,False,,,False
1997-07-10,CONCOR,55.0,55.0,45.0,45.0,27000,45000.0,Thursday,1997-07-04,2,,True,False,,,False,False,-12.399999999999999,-22.55,False,False,,,False
1997-07-17,CONCOR,45.0,45.0,40.5,43.0,3000,43000.0,Thursday,1997-07-11,3,,False,False,-2.0,-4.44,False,False,-12.399999999999999,-22.55,False,False,,,False
1997-07-24,CONCOR,40.6,42.7,40.6,42.7,713000,213500.0,Thursday,1997-07-18,4,,True,False,-0.29999999999999716,-0.7,False,False,-12.399999999999999,-22.55,False,False,,,False
1997-07-31,CONCOR,42.6,42.6,42.6,42.6,6000,255600.0,Thursday,1997-07-25,5,,False,False,-0.10000000000000142,-0.23,False,False,-12.399999999999999,-22.55,False,False,,,False
1997-08-07,CONCOR,45.0,50.0,45.0,50.0,102000,50000.0,Thursday,1997-08-01,1,,False,False,7.399999999999999,17.37,True,True,9.899999999999999,23.24,True,False,,,False
1997-08-14,CONCOR,45.1,52.5,45.1,52.5,53000,2677500.0,Thursday,1997-08-08,2,,True,False,2.5,5.0,True,True,9.899999999999999,23.24,True,False,,,False
1997-08-21,,,,,,0,,Thursday,1997-08-15,3,,False,False,,,False,True,9.899999999999999,23.24,True,False,,,False
1997-08-28,,,,,,0,,Thursday,1997-08-22,4,,True,False,,,False,True,9.899999999999999,23.24,True,False,,,False
1997-09-04,CONCOR,48.0,48.0,40.3,40.3,4000,80600.0,Thursday,1997-08-29,1,,False,False,,,False,False,-10.71,-20.4,False,False,,,False
1997-09-11,CONCOR,40.0,40.5,40.0,40.5,501000,40500.0,Thursday,1997-09-05,2,,True,False,0.20000000000000284,0.5,True,False,-10.71,-20.4,False,False,,,False
1997-09-18,,,,,,0,,Thursday,1997-09-12,3,,False,False,,,False,False,-10.71,-20.4,False,False,,,False
1997-09-25,CONCOR,40.0,40.0,40.0,40.0,1900000,76000000.0,Thursday,1997-09-19,4,,True,False,,,False,False,-10.71,-20.4,False,False,,,False
1997-10-02,CONCOR,39.0,42.0,39.0,41.6,27000,208000.0,Thursday,1997-09-26,1,,False,False,1.6000000000000014,4.0,True,True,0.4100000000000037,0.98,True,False,,,False
1997-10-09,CONCOR,41.5,41.5,41.5,41.5,10000,415000.0,Thursday,1997-10-03,2,,True,False,-0.10000000000000142,-0.24,False,True,0.4100000000000037,0.98,True,False,,,False
1997-10-16,CONCOR,42.0,42.0,42.0,42.0,140000,5880000.0,Thursday,1997-10-10,3,,False,False,0.5,1.2,True,True,0.4100000000000037,0.98,True,False,,,False
1997-10-23,CONCOR,42.2,42.2,42.2,42.2,10000,422000.0,Thursday,1997-10-17,4,,True,False,0.20000000000000284,0.48,True,True,0.4100000000000037,0.98,True,False,,,False
1997-10-30,,,,,,0,,Thursday,1997-10-24,5,,False,False,,,False,True,0.4100000000000037,0.98,True,False,,,False
1997-11-06,CONCOR,42.2,42.2,42.0,42.0,128000,4494000.0,Thursday,1997-10-31,1,,False,False,,,False,False,-0.20000000000000284,-0.47,False,False,,,False
1997-11-13,CONCOR,42.0,44.1,40.1,42.0,1192000,12600000.0,Thursday,1997-11-07,2,,True,False,0.0,0.0,False,False,-0.20000000000000284,-0.47,False,False,,,False
1997-11-20,CONCOR,42.0,42.0,42.0,42.0,1290000,12600000.0,Thursday,1997-11-14,3,,False,False,0.0,0.0,False,False,-0.20000000000000284,-0.47,False,False,,,False
1997-11-27,,,,,,0,,Thursday,1997-11-21,4,,True,False,,,False,False,-0.20000000000000284,-0.47,False,False,,,False
1997-12-04,CONCOR,42.0,42.0,42.0,42.0,382000,16044000.0,Thursday,1997-11-28,1,,False,False,,,False,True,0.10000000000000142,0.24,True,False,,,False
1997-12-11,,,,,,0,,Thursday,1997-12-05,2,,True,False,,,False,True,0.10000000000000142,0.24,True,False,,,False
1997-12-18,,,,,,0,,Thursday,1997-12-12,3,,False,False,,,False,True,0.10000000000000142,0.24,True,False,,,False
1997-12-25,CONCOR,42.0,42.0,42.0,42.0,750000,31500000.0,Thursday,1997-12-19,4,,True,False,,,False,True,0.10000000000000142,0.24,True,False,,,False
1998-01-01,CONCOR,42.1,42.1,42.1,42.1,2000,84200.0,Thursday,1997-12-26,1,1,False,False,0.10000000000000142,0.24,True,False,-0.10000000000000142,-0.24,False,True,-18.080000000000002,-42.95,False
1998-01-08,CONCOR,42.0,42.0,42.0,42.0,50000,2100000.0,Thursday,1998-01-02,2,2,True,True,-0.10000000000000142,-0.24,False,False,-0.10000000000000142,-0.24,False,True,-18.080000000000002,-42.95,False
1998-01-15,CONCOR,42.0,42.0,42.0,42.0,5000,210000.0,Thursday,1998-01-09,3,3,False,False,0.0,0.0,False,False,-0.10000000000000142,-0.24,False,True,-18.080000000000002,-42.95,False
1998-01-22,CONCOR,42.0,42.0,42.0,42.0,300000,420000.0,Thursday,1998-01-16,4,4,True,True,0.0,0.0,False,False,-0.10000000000000142,-0.24,False,True,-18.080000000000002,-42.95,False
1998-01-29,CONCOR,42.1,42.1,42.0,42.0,5000,210000.0,Thursday,1998-01-23,5,5,False,False,0.0,0.0,False,False,-0.10000000000000142,-0.24,False,True,-18.080000000000002,-42.95,False
1998-02-05,,,,,,0,,Thursday,1998-01-30,1,6,False,True,,,False,True,-0.20000000000000284,-0.48,False,True,-18.080000000000002,-42.95,False
1998-02-12,CONCOR,42.1,42.1,42.1,42.1,4000,168400.0,Thursday,1998-02-06,2,7,True,False,,,False,True,-0.20000000000000284,-0.48,False,True,-18.080000000000002,-42.95,False
1998-02-19,,,,,,0,,Thursday,1998-02-13,3,8,False,True,,,False,True,-0.20000000000000284,-0.48,False,True,-18.080000000000002,-42.95,False
1998-02-26,,,,,,0,,Thursday,1998-02-20,4,9,True,False,,,False,True,-0.20000000000000284,-0.48,False,True,-18.080000000000002,-42.95,False
1998-03-05,CONCOR,41.8,42.0,41.8,42.0,2501000,105000000.0,Thursday,1998-02-27,1,10,False,True,,,False,False,0.20000000000000284,0.48,True,True,-18.080000000000002,-42.95,False
1998-03-12,CONCOR,42.0,42.0,42.0,42.0,500000,21000000.0,Thursday,1998-03-06,2,11,True,False,0.0,0.0,False,False,0.20000000000000284,0.48,True,True,-18.080000000000002,-42.95,False
1998-03-19,,,,,,0,,Thursday,1998-03-13,3,12,False,True,,,False,False,0.20000000000000284,0.48,True,True,-18.080000000000002,-42.95,False
1998-03-26,,,,,,0,,Thursday,1998-03-20,4,13,True,False,,,False,False,0.20000000000000284,0.48,True,True,-18.080000000000002,-42.95,False
1998-04-02,,,,,,0,,Thursday,1998-03-27,1,14,False,True,,,False,True,4.25,10.12,True,True,-18.080000000000002,-42.95,False
1998-04-09,,,,,,0,,Thursday,1998-04-03,2,15,True,False,,,False,True,4.25,10.12,True,True,-18.080000000000002,-42.95,False
1998-04-16,,,,,,0,,Thursday,1998-04-10,3,16,False,True,,,False,True,4.25,10.12,True,True,-18.080000000000002,-42.95,False
1998-04-23,CONCOR,45.7,45.7,45.7,45.7,1000,45700.0,Thursday,1998-04-17,4,17,True,False,,,False,True,4.25,10.12,True,True,-18.080000000000002,-42.95,False
1998-04-30,CONCOR,46.25,46.25,46.25,46.25,1000,46250.0,Thursday,1998-04-24,5,18,False,True,0.5499999999999972,1.2,True,True,4.25,10.12,True,True,-18.080000000000002,-42.95,False
1998-05-07,,,,,,0,,Thursday,1998-05-01,1,19,False,False,,,False,False,3.950000000000003,8.54,True,True,-18.080000000000002,-42.95,False
1998-05-14,CONCOR,45.7,45.7,45.7,45.7,6000,274200.0,Thursday,1998-05-08,2,20,True,True,,,False,False,3.950000000000003,8.54,True,True,-18.080000000000002,-42.95,False
1998-05-21,,,,,,0,,Thursday,1998-05-15,3,21,False,False,,,False,False,3.950000000000003,8.54,True,True,-18.080000000000002,-42.95,False
1998-05-28,CONCOR,50.2,50.2,50.2,50.2,1000,50200.0,Thursday,1998-05-22,4,22,True,True,,,False,False,3.950000000000003,8.54,True,True,-18.080000000000002,-42.95,False
1998-06-04,,,,,,0,,Thursday,1998-05-29,1,23,False,False,,,False,True,-4.5,-8.96,False,True,-18.080000000000002,-42.95,False
1998-06-11,,,,,,0,,Thursday,1998-06-05,2,24,True,True,,,False,True,-4.5,-8.96,False,True,-18.080000000000002,-42.95,False
1998-06-18,CONCOR,45.7,45.7,45.7,45.7,50000,2285000.0,Thursday,1998-06-12,3,25,False,False,,,False,True,-4.5,-8.96,False,True,-18.080000000000002,-42.95,False
1998-06-25,,,,,,0,,Thursday,1998-06-19,4,26,True,True,,,False,True,-4.5,-8.96,False,True,-18.080000000000002,-42.95,False
1998-07-02,,,,,,0,,Thursday,1998-06-26,1,27,False,False,,,False,False,0.0,0.0,False,True,-18.080000000000002,-42.95,False
1998-07-09,,,,,,0,,Thursday,1998-07-03,2,28,True,True,,,False,False,0.0,0.0,False,True,-18.080000000000002,-42.95,False
1998-07-16,,,,,,0,,Thursday,1998-07-10,3,29,False,False,,,False,False,0.0,0.0,False,True,-18.080000000000002,-42.95,False
1998-07-23,CONCOR,45.7,45.7,45.7,45.7,100000,4570000.0,Thursday,1998-07-17,4,30,True,True,,,False,False,0.0,0.0,False,True,-18.080000000000002,-42.95,False
1998-07-30,,,,,,0,,Thursday,1998-07-24,5,31,False,False,,,False,False,0.0,0.0,False,True,-18.080000000000002,-42.95,False
1998-08-06,,,,,,0,,Thursday,1998-07-31,1,32,False,True,,,False,True,,,False,True,-18.080000000000002,-42.95,False
1998-08-13,,,,,,0,,Thursday,1998-08-07,2,33,True,False,,,False,True,,,False,True,-18.080000000000002,-42.95,False
1998-08-20,,,,,,0,,Thursday,1998-08-14,3,34,False,True,,,False,True,,,False,True,-18.080000000000002,-42.95,False
1998-08-27,,,,,,0,,Thursday,1998-08-21,4,35,True,False,,,False,True,,,False,True,-18.080000000000002,-42.95,False
1998-09-03,,,,,,0,,Thursday,1998-08-28,1,36,False,True,,,False,False,,,False,True,-18.080000000000002,-42.95,False
1998-09-10,,,,,,0,,Thursday,1998-09-04,2,37,True,False,,,False,False,,,False,True,-18.080000000000002,-42.95,False
1998-09-17,,,,,,0,,Thursday,1998-09-11,3,38,False,True,,,False,False,,,False,True,-18.080000000000002,-42.95,False
1998-09-24,CONCOR,47.5,47.5,47.5,47.5,1000,47500.0,Thursday,1998-09-18,4,39,True,False,,,False,False,,,False,True,-18.080000000000002,-42.95,False
1998-10-01,,,,,,0,,Thursday,1998-09-25,1,40,False,True,,,False,True,-7.020000000000003,-14.78,False,True,-18.080000000000002,-42.95,False
