Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-13,COROMANDEL,4.31,4.31,4.31,4.31,1000,4310.0,Monday,,,False,False,,,False,True,,,False,False,,,False
1995-02-20,,,,,,0,,Monday,,,False,False,,,False,True,,,False,False,,,False
1995-02-27,,,,,,0,,Monday,,,False,False,,,False,True,,,False,False,,,False
1995-03-06,COROMANDEL,4.8,4.8,4.8,4.8,2000,9600.0,Monday,1,,False,False,,,False,False,0.5900000000000007,13.69,True,False,,,False
1995-03-13,,,,,,0,,Monday,2,,True,False,,,False,False,0.5900000000000007,13.69,True,False,,,False
1995-03-20,COROMANDEL,5.1,5.1,5.1,5.1,2000,10200.0,Monday,3,,False,False,,,False,False,0.5900000000000007,13.69,True,False,,,False
1995-03-27,COROMANDEL,5.0,5.0,4.61,4.9,16000,58800.0,Monday,4,,True,False,-0.1999999999999993,-3.92,False,False,0.5900000000000007,13.69,True,False,,,False
1995-04-03,COROMANDEL,5.2,6.2,5.2,5.95,35000,83300.0,Monday,1,,False,False,1.0499999999999998,21.43,True,True,0.5999999999999996,12.24,True,False,,,False
1995-04-10,COROMANDEL,6.0,6.0,6.0,6.0,1000,6000.0,Monday,2,,True,False,0.04999999999999982,0.84,True,True,0.5999999999999996,12.24,True,False,,,False
1995-04-17,COROMANDEL,5.75,6.1,5.75,6.1,5000,12200.0,Monday,3,,False,False,0.09999999999999964,1.67,True,True,0.5999999999999996,12.24,True,False,,,False
1995-04-24,COROMANDEL,5.5,5.5,5.5,5.5,2000,11000.0,Monday,4,,True,False,-0.5999999999999996,-9.84,False,True,0.5999999999999996,12.24,True,False,,,False
