Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-02-01,COROMANDEL,4.31,4.31,4.31,4.31,1000,4310,Wednesday,True,,,False,False,,,False
1995-03-01,COROMANDEL,4.8,5.1,4.61,4.9,20000,58800,Wednesday,False,0.5900000000000007,13.69,True,False,,,False
1995-04-01,COROMANDEL,5.2,6.2,5.2,5.5,43000,11000,Saturday,True,0.5999999999999996,12.24,True,False,,,False
1995-05-01,COROMANDEL,5.25,5.4,5.2,5.4,21000,54000,Monday,False,-0.09999999999999964,-1.82,False,False,,,False
1995-06-01,COROMANDEL,6.05,6.43,5.5,5.5,31000,5500,Thursday,True,0.09999999999999964,1.85,True,False,,,False
1995-07-01,COROMANDEL,6.0,6.0,6.0,6.0,1000,6000,Saturday,False,0.5,9.09,True,False,,,False
1995-08-01,COROMANDEL,5.5,6.57,5.4,6.1,52000,12200,Tuesday,True,0.09999999999999964,1.67,True,False,,,False
1995-09-01,COROMANDEL,5.85,5.85,5.6,5.6,2000,5600,Friday,False,-0.5,-8.2,False,False,,,False
1995-10-01,COROMANDEL,5.7,5.7,5.7,5.7,1000,5700,Sunday,True,0.10000000000000053,1.79,True,False,,,False
1995-11-01,COROMANDEL,5.3,5.3,5.3,5.3,5000,15900,Wednesday,False,-0.40000000000000036,-7.02,False,False,,,False
1995-12-01,COROMANDEL,5.3,6.71,5.3,6.3,65000,18900,Friday,True,1.0,18.87,True,False,,,False
1996-01-01,COROMANDEL,5.67,5.8,5.3,5.5,42000,5500,Monday,False,-0.7999999999999998,-12.7,False,True,-3.5999999999999996,-57.14,False
1996-02-01,COROMANDEL,5.0,5.5,4.9,4.9,19000,24500,Thursday,True,-0.5999999999999996,-10.91,False,True,-3.5999999999999996,-57.14,False
1996-03-01,COROMANDEL,4.6,4.9,4.6,4.9,16000,49000,Friday,False,0.0,0.0,False,True,-3.5999999999999996,-57.14,False
1996-04-01,COROMANDEL,4.8,5.2,4.8,5.1,23000,5100,Monday,True,0.1999999999999993,4.08,True,True,-3.5999999999999996,-57.14,False
