Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1998-09-01,CUB,2.24,2.24,1.2,1.61,5248750,143065,Tuesday,False,,,False,True,,,False
1998-10-01,CUB,1.53,1.66,1.2,1.5,1802500,14960,Thursday,True,-0.1100000000000001,-6.83,False,True,,,False
1998-11-01,CUB,1.5,1.59,1.12,1.31,1330000,18040,Sunday,False,-0.18999999999999995,-12.67,False,True,,,False
1998-12-01,CUB,1.3,1.44,0.95,1.37,656250,64980,Tuesday,True,0.06000000000000005,4.58,True,True,,,False
1999-01-01,CUB,1.34,1.47,1.26,1.32,512500,31350,Friday,False,-0.050000000000000044,-3.65,False,False,0.32999999999999985,24.09,True
1999-02-01,CUB,1.32,1.36,1.06,1.29,595000,22610,Monday,True,-0.030000000000000027,-2.27,False,False,0.32999999999999985,24.09,True
1999-03-01,CUB,1.24,1.46,1.18,1.26,1605000,22120,Monday,False,-0.030000000000000027,-2.33,False,False,0.32999999999999985,24.09,True
1999-04-01,CUB,1.28,1.31,1.12,1.2,312500,16500,Thursday,True,-0.06000000000000005,-4.76,False,False,0.32999999999999985,24.09,True
1999-05-01,CUB,1.25,1.36,1.12,1.2,402500,1505,Saturday,False,0.0,0.0,False,False,0.32999999999999985,24.09,True
1999-06-01,CUB,1.24,1.36,1.16,1.31,281250,3280,Tuesday,True,0.1100000000000001,9.17,True,False,0.32999999999999985,24.09,True
1999-07-01,CUB,1.32,1.92,1.22,1.3,1351250,69875,Thursday,False,-0.010000000000000009,-0.76,False,False,0.32999999999999985,24.09,True
1999-08-01,CUB,1.28,1.44,1.16,1.3,978750,30875,Sunday,True,0.0,0.0,False,False,0.32999999999999985,24.09,True
1999-09-01,CUB,1.28,1.44,1.2,1.28,811250,59200,Wednesday,False,-0.020000000000000018,-1.54,False,False,0.32999999999999985,24.09,True
1999-10-01,CUB,1.28,1.52,1.22,1.3,985000,42120,Friday,True,0.020000000000000018,1.56,True,False,0.32999999999999985,24.09,True
1999-11-01,CUB,1.32,1.32,1.16,1.26,821250,31600,Monday,False,-0.040000000000000036,-3.08,False,False,0.32999999999999985,24.09,True
1999-12-01,CUB,1.27,1.87,1.24,1.7,1905000,44520,Wednesday,True,0.43999999999999995,34.92,True,False,0.32999999999999985,24.09,True
2000-01-01,CUB,1.78,1.88,1.5,1.75,1137400,219960,Saturday,False,0.050000000000000044,2.94,True,True,0.10000000000000009,5.88,True
2000-02-01,CUB,1.86,2.32,1.57,1.59,3286360,240625,Tuesday,True,-0.15999999999999992,-9.14,False,True,0.10000000000000009,5.88,True
2000-03-01,CUB,1.71,1.9,1.33,1.58,899030,7660,Wednesday,False,-0.010000000000000009,-0.63,False,True,0.10000000000000009,5.88,True
2000-04-01,CUB,1.69,1.69,1.26,1.53,726000,118400,Saturday,True,-0.050000000000000044,-3.16,False,True,0.10000000000000009,5.88,True
2000-05-01,CUB,1.53,1.73,1.32,1.43,515460,41640,Monday,False,-0.10000000000000009,-6.54,False,True,0.10000000000000009,5.88,True
2000-06-01,CUB,1.47,1.76,1.4,1.6,703010,19300,Thursday,True,0.17000000000000015,11.89,True,True,0.10000000000000009,5.88,True
2000-07-01,CUB,1.61,1.78,1.4,1.48,876040,114560,Saturday,False,-0.1200000000000001,-7.5,False,True,0.10000000000000009,5.88,True
2000-08-01,CUB,1.53,1.55,1.38,1.5,366630,9050,Tuesday,True,0.020000000000000018,1.35,True,True,0.10000000000000009,5.88,True
2000-09-01,CUB,1.46,1.71,1.42,1.53,340772,25900,Friday,False,0.030000000000000027,2.0,True,True,0.10000000000000009,5.88,True
2000-10-01,CUB,1.62,1.62,1.18,1.49,184488,1818,Sunday,True,-0.040000000000000036,-2.61,False,True,0.10000000000000009,5.88,True
2000-11-01,CUB,1.53,1.73,1.47,1.61,347208,16829,Wednesday,False,0.1200000000000001,8.05,True,True,0.10000000000000009,5.88,True
2000-12-01,CUB,1.64,2.07,1.57,1.8,1573180,60255,Friday,True,0.18999999999999995,11.8,True,True,0.10000000000000009,5.88,True
2001-01-01,CUB,1.85,2.38,1.73,2.29,1637587,389610,Monday,False,0.49,27.22,True,False,-0.16000000000000014,-8.89,False
2001-02-01,CUB,2.27,2.85,2.27,2.43,3748832,398517,Thursday,True,0.14000000000000012,6.11,True,False,-0.16000000000000014,-8.89,False
2001-03-01,CUB,2.56,2.62,1.77,1.97,1257541,55216,Thursday,False,-0.4600000000000002,-18.93,False,False,-0.16000000000000014,-8.89,False
2001-04-01,CUB,1.9,2.06,1.78,1.86,792115,74130,Sunday,True,-0.10999999999999988,-5.58,False,False,-0.16000000000000014,-8.89,False
2001-05-01,CUB,1.97,1.97,1.74,1.88,772052,158863,Tuesday,False,0.019999999999999796,1.08,True,False,-0.16000000000000014,-8.89,False
2001-06-01,CUB,1.85,1.96,1.76,1.88,703868,71890,Friday,True,0.0,0.0,False,False,-0.16000000000000014,-8.89,False
2001-07-01,CUB,1.86,2.07,1.83,1.96,332495,14220,Sunday,False,0.08000000000000007,4.26,True,False,-0.16000000000000014,-8.89,False
2001-08-01,CUB,2.01,2.01,1.45,1.51,868562,1830,Wednesday,True,-0.44999999999999996,-22.96,False,False,-0.16000000000000014,-8.89,False
2001-09-01,CUB,1.55,1.61,1.34,1.49,425701,7074,Saturday,False,-0.020000000000000018,-1.32,False,False,-0.16000000000000014,-8.89,False
2001-10-01,CUB,1.49,1.6,1.47,1.6,374252,5820,Monday,True,0.1100000000000001,7.38,True,False,-0.16000000000000014,-8.89,False
2001-11-01,CUB,1.57,1.77,1.52,1.77,99592,856,Thursday,False,0.16999999999999993,10.62,True,False,-0.16000000000000014,-8.89,False
2001-12-01,CUB,1.78,1.8,1.57,1.64,349495,12395,Saturday,True,-0.13000000000000012,-7.34,False,False,-0.16000000000000014,-8.89,False
2002-01-01,CUB,1.67,1.74,1.53,1.65,773224,35212,Tuesday,False,0.010000000000000009,0.61,True,True,1.07,65.24,True
2002-02-01,CUB,1.65,2.31,1.61,1.83,2124504,154778,Friday,True,0.18000000000000016,10.91,True,True,1.07,65.24,True
2002-03-01,CUB,1.82,2.15,1.82,2.0,2032531,73841,Friday,False,0.16999999999999993,9.29,True,True,1.07,65.24,True
2002-04-01,CUB,2.0,2.22,1.86,2.07,1952005,230875,Monday,True,0.06999999999999984,3.5,True,True,1.07,65.24,True
2002-05-01,CUB,2.06,2.45,1.82,2.31,4460638,894987,Wednesday,False,0.2400000000000002,11.59,True,True,1.07,65.24,True
2002-06-01,CUB,2.39,2.87,2.31,2.72,6545760,412831,Saturday,True,0.41000000000000014,17.75,True,True,1.07,65.24,True
2002-07-01,CUB,2.75,3.13,2.56,2.61,6451305,568878,Monday,False,-0.11000000000000032,-4.04,False,True,1.07,65.24,True
2002-08-01,CUB,2.64,2.93,2.15,2.23,5376946,79152,Thursday,True,-0.3799999999999999,-14.56,False,True,1.07,65.24,True
2002-09-01,CUB,2.24,2.81,2.22,2.43,1898332,343598,Sunday,False,0.20000000000000018,8.97,True,True,1.07,65.24,True
2002-10-01,CUB,2.42,2.81,2.33,2.43,2461561,310199,Tuesday,True,0.0,0.0,False,True,1.07,65.24,True
2002-11-01,CUB,2.41,2.76,2.4,2.67,3106360,371423,Friday,False,0.23999999999999977,9.88,True,True,1.07,65.24,True
2002-12-01,CUB,2.69,2.8,2.58,2.71,3386971,716656,Sunday,True,0.040000000000000036,1.5,True,True,1.07,65.24,True
2003-01-01,CUB,2.78,3.38,2.69,2.83,6274465,574697,Wednesday,False,0.1200000000000001,4.43,True,False,4.04,149.08,True
2003-02-01,CUB,2.98,3.05,2.79,2.99,3771205,2691362,Saturday,True,0.16000000000000014,5.65,True,False,4.04,149.08,True
2003-03-01,CUB,3.02,3.19,2.4,3.07,4241714,401443,Saturday,False,0.07999999999999963,2.68,True,False,4.04,149.08,True
2003-04-01,CUB,3.06,3.43,3.05,3.25,4951792,634322,Tuesday,True,0.18000000000000016,5.86,True,False,4.04,149.08,True
2003-05-01,CUB,3.3,4.09,3.26,3.94,11017426,4116033,Thursday,False,0.69,21.23,True,False,4.04,149.08,True
2003-06-01,CUB,3.83,4.04,3.63,3.8,10613913,1194206,Sunday,True,-0.14000000000000012,-3.55,False,False,4.04,149.08,True
2003-07-01,CUB,3.8,5.29,3.76,4.97,22047432,12584583,Tuesday,False,1.17,30.79,True,False,4.04,149.08,True
2003-08-01,CUB,5.45,5.45,4.11,4.23,18958157,2111539,Friday,True,-0.7399999999999993,-14.89,False,False,4.04,149.08,True
2003-09-01,CUB,4.3,4.7,4.09,4.39,11502573,2793379,Monday,False,0.15999999999999925,3.78,True,False,4.04,149.08,True
2003-10-01,CUB,4.34,4.61,4.3,4.52,7722158,1653108,Wednesday,True,0.1299999999999999,2.96,True,False,4.04,149.08,True
2003-11-01,CUB,4.62,4.74,4.31,4.47,5130664,1009019,Saturday,False,-0.04999999999999982,-1.11,False,False,4.04,149.08,True
2003-12-01,CUB,4.48,8.18,4.46,6.75,32487640,7798020,Monday,True,2.2800000000000002,51.01,True,False,4.04,149.08,True
2004-01-01,CUB,6.78,7.17,5.04,5.74,15901963,2186170,Thursday,False,-1.0099999999999998,-14.96,False,True,1.1500000000000004,17.04,True
2004-02-01,CUB,5.93,5.95,5.04,5.41,6437309,1573834,Sunday,True,-0.33000000000000007,-5.75,False,True,1.1500000000000004,17.04,True
2004-03-01,CUB,5.5,5.87,4.97,5.71,6211547,2836643,Monday,False,0.2999999999999998,5.55,True,True,1.1500000000000004,17.04,True
2004-04-01,CUB,5.7,7.44,5.66,6.98,15238740,10327437,Thursday,True,1.2700000000000005,22.24,True,True,1.1500000000000004,17.04,True
2004-05-01,CUB,6.69,7.34,4.82,6.31,19149749,3617616,Saturday,False,-0.6700000000000008,-9.6,False,True,1.1500000000000004,17.04,True
2004-06-01,CUB,6.51,6.62,6.04,6.5,6847108,2778976,Tuesday,True,0.1900000000000004,3.01,True,True,1.1500000000000004,17.04,True
2004-07-01,CUB,6.47,6.81,5.37,5.39,12091625,968481,Thursday,False,-1.1100000000000003,-17.08,False,True,1.1500000000000004,17.04,True
2004-08-01,CUB,5.62,6.12,4.46,4.88,6354737,1566332,Sunday,True,-0.5099999999999998,-9.46,False,True,1.1500000000000004,17.04,True
2004-09-01,CUB,4.9,5.74,4.79,5.46,8964150,2449402,Wednesday,False,0.5800000000000001,11.89,True,True,1.1500000000000004,17.04,True
2004-10-01,CUB,5.45,5.62,5.12,5.29,5900807,2625794,Friday,True,-0.16999999999999993,-3.11,False,True,1.1500000000000004,17.04,True
2004-11-01,CUB,5.37,6.11,5.21,5.87,13564027,1808009,Monday,False,0.5800000000000001,10.96,True,True,1.1500000000000004,17.04,True
2004-12-01,CUB,5.87,8.93,5.79,7.9,80798691,27169070,Wednesday,True,2.0300000000000002,34.58,True,True,1.1500000000000004,17.04,True
2005-01-01,CUB,7.98,8.1,6.94,7.21,31247679,5996082,Saturday,False,-0.6900000000000004,-8.73,False,False,-0.25,-3.16,False
2005-02-01,CUB,7.19,7.89,7.02,7.27,16215161,4228488,Tuesday,True,0.05999999999999961,0.83,True,False,-0.25,-3.16,False
2005-03-01,CUB,7.36,7.92,6.69,6.96,14920701,3053389,Tuesday,False,-0.3099999999999996,-4.26,False,False,-0.25,-3.16,False
2005-04-01,CUB,7.19,7.31,6.69,6.95,4517074,1583098,Friday,True,-0.009999999999999787,-0.14,False,False,-0.25,-3.16,False
2005-05-01,CUB,6.96,8.64,6.71,7.86,22803851,3652011,Sunday,False,0.9100000000000001,13.09,True,False,-0.25,-3.16,False
2005-06-01,CUB,7.87,8.17,7.03,7.31,10580708,1050495,Wednesday,True,-0.5500000000000007,-7.0,False,False,-0.25,-3.16,False
2005-07-01,CUB,7.43,8.26,7.36,7.58,19979290,5104205,Friday,False,0.27000000000000046,3.69,True,False,-0.25,-3.16,False
2005-08-01,CUB,7.6,8.1,7.36,7.76,12978069,3864455,Monday,True,0.17999999999999972,2.37,True,False,-0.25,-3.16,False
2005-09-01,CUB,7.84,9.5,7.11,8.41,41916130,6762509,Thursday,False,0.6500000000000004,8.38,True,False,-0.25,-3.16,False
2005-10-01,CUB,8.59,9.08,7.28,7.5,10894971,2010221,Saturday,True,-0.9100000000000001,-10.82,False,False,-0.25,-3.16,False
2005-11-01,CUB,7.55,8.28,7.48,7.81,8007185,4080794,Tuesday,False,0.3099999999999996,4.13,True,False,-0.25,-3.16,False
2005-12-01,CUB,7.85,8.1,7.5,7.65,6596012,2585570,Thursday,True,-0.15999999999999925,-2.05,False,False,-0.25,-3.16,False
2006-01-01,CUB,7.86,10.15,7.69,8.94,65021322,4339627,Sunday,False,1.2899999999999991,16.86,True,True,5.85,76.47,True
2006-02-01,CUB,9.09,9.92,8.76,9.22,31545292,12195759,Wednesday,True,0.28000000000000114,3.13,True,True,5.85,76.47,True
2006-03-01,CUB,9.4,10.06,9.09,9.24,18575447,4725663,Wednesday,False,0.019999999999999574,0.22,True,True,5.85,76.47,True
2006-04-01,CUB,9.4,9.62,8.7,9.14,10311256,2087744,Saturday,True,-0.09999999999999964,-1.08,False,True,5.85,76.47,True
2006-05-01,CUB,9.2,9.95,6.91,8.43,10415063,2981289,Monday,False,-0.7100000000000009,-7.77,False,True,5.85,76.47,True
2006-06-01,CUB,8.6,8.75,6.98,7.69,7020296,1059933,Thursday,True,-0.7399999999999993,-8.78,False,True,5.85,76.47,True
2006-07-01,CUB,7.69,9.83,7.52,9.5,9987472,7325534,Saturday,False,1.8099999999999996,23.54,True,True,5.85,76.47,True
2006-08-01,CUB,9.38,10.99,9.38,9.55,13845616,2615498,Tuesday,True,0.05000000000000071,0.53,True,True,5.85,76.47,True
2006-09-01,CUB,9.5,10.54,9.17,10.07,10363457,2833078,Friday,False,0.5199999999999996,5.45,True,True,5.85,76.47,True
2006-10-01,CUB,10.34,10.62,9.92,10.11,7219815,4929359,Sunday,True,0.03999999999999915,0.4,True,True,5.85,76.47,True
2006-11-01,CUB,9.94,14.42,9.94,14.07,28409806,73854032,Wednesday,False,3.960000000000001,39.17,True,True,5.85,76.47,True
2006-12-01,CUB,15.29,15.53,11.79,13.5,19330259,7163645,Friday,True,-0.5700000000000003,-4.05,False,True,5.85,76.47,True
2007-01-01,CUB,13.61,14.64,13.22,14.0,16447165,5385630,Monday,False,0.5,3.7,True,False,19.619999999999997,145.33,True
2007-02-01,CUB,14.01,15.21,12.73,13.05,6723365,2281564,Thursday,True,-0.9499999999999993,-6.79,False,False,19.619999999999997,145.33,True
2007-03-01,CUB,13.47,14.46,10.99,13.37,11953857,6719878,Thursday,False,0.3199999999999985,2.45,True,False,19.619999999999997,145.33,True
2007-04-01,CUB,12.64,14.55,12.57,14.07,4635981,1831012,Sunday,True,0.7000000000000011,5.24,True,False,19.619999999999997,145.33,True
2007-05-01,CUB,14.21,17.02,14.13,16.48,9086916,2408359,Tuesday,False,2.41,17.13,True,False,19.619999999999997,145.33,True
2007-06-01,CUB,16.32,17.85,15.34,17.56,4238811,2529642,Friday,True,1.0799999999999983,6.55,True,False,19.619999999999997,145.33,True
2007-07-01,CUB,17.76,19.67,17.44,19.17,5232294,4467856,Sunday,False,1.610000000000003,9.17,True,False,19.619999999999997,145.33,True
2007-08-01,CUB,18.99,20.5,14.88,17.46,6043996,4044804,Wednesday,True,-1.7100000000000009,-8.92,False,False,19.619999999999997,145.33,True
2007-09-01,CUB,17.56,19.63,17.42,18.3,6388981,10206318,Saturday,False,0.8399999999999999,4.81,True,False,19.619999999999997,145.33,True
2007-10-01,CUB,18.6,19.99,16.36,18.77,8373381,3468726,Monday,True,0.46999999999999886,2.57,True,False,19.619999999999997,145.33,True
2007-11-01,CUB,18.68,22.21,17.93,19.21,5560965,3475178,Thursday,False,0.4400000000000013,2.34,True,False,19.619999999999997,145.33,True
2007-12-01,CUB,19.74,38.31,19.5,33.12,20791442,14726594,Saturday,True,13.909999999999997,72.41,True,False,19.619999999999997,145.33,True
2008-01-01,CUB,35.29,42.72,31.4,35.83,12268112,4470252,Tuesday,False,2.710000000000001,8.18,True,True,-21.049999999999997,-63.56,False
2008-02-01,CUB,35.54,36.36,28.1,31.9,5704642,5719709,Friday,True,-3.9299999999999997,-10.97,False,True,-21.049999999999997,-63.56,False
2008-03-01,CUB,31.82,32.23,19.01,23.39,7545642,7233565,Saturday,False,-8.509999999999998,-26.68,False,True,-21.049999999999997,-63.56,False
2008-04-01,CUB,23.76,31.24,22.73,27.64,4383113,3525329,Tuesday,True,4.25,18.17,True,True,-21.049999999999997,-63.56,False
2008-05-01,CUB,28.47,30.58,23.97,24.3,3570181,2630771,Thursday,False,-3.34,-12.08,False,True,-21.049999999999997,-63.56,False
2008-06-01,CUB,24.67,26.78,19.09,19.38,4183392,2851333,Sunday,True,-4.920000000000002,-20.25,False,True,-21.049999999999997,-63.56,False
2008-07-01,CUB,19.34,22.23,14.88,20.12,5374604,3681769,Tuesday,False,0.740000000000002,3.82,True,True,-21.049999999999997,-63.56,False
2008-08-01,CUB,19.83,25.62,19.83,22.36,3920204,4701074,Friday,True,2.2399999999999984,11.13,True,True,-21.049999999999997,-63.56,False
2008-09-01,CUB,21.78,24.71,18.18,19.21,2935569,3781334,Monday,False,-3.1499999999999986,-14.09,False,True,-21.049999999999997,-63.56,False
2008-10-01,CUB,19.21,20.66,10.87,13.31,6533931,2232716,Wednesday,True,-5.9,-30.71,False,True,-21.049999999999997,-63.56,False
2008-11-01,CUB,13.51,15.7,9.83,10.87,4437632,1782312,Saturday,False,-2.4400000000000013,-18.33,False,True,-21.049999999999997,-63.56,False
2008-12-01,CUB,10.74,13.02,10.0,12.07,4727447,3906055,Monday,True,1.200000000000001,11.04,True,True,-21.049999999999997,-63.56,False
2009-01-01,CUB,12.15,13.55,10.74,11.12,4819452,4094705,Thursday,False,-0.9500000000000011,-7.87,False,False,9.169999999999998,75.97,True
2009-02-01,CUB,11.36,11.94,9.92,10.12,3067687,1679904,Sunday,True,-1.0,-8.99,False,False,9.169999999999998,75.97,True
2009-03-01,CUB,10.12,10.83,9.3,10.08,2959174,1338401,Sunday,False,-0.03999999999999915,-0.4,False,False,9.169999999999998,75.97,True
2009-04-01,CUB,10.12,14.83,10.08,13.76,10622048,30979806,Wednesday,True,3.6799999999999997,36.51,True,False,9.169999999999998,75.97,True
2009-05-01,CUB,13.97,23.06,12.44,20.17,17434429,23942866,Friday,False,6.410000000000002,46.58,True,False,9.169999999999998,75.97,True
