Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
1994-01-01,DABUR,7.8,7.8,6.6,7.1,505000,71000,Saturday,True,,,False
1995-01-01,DABUR,7.1,7.1,4.02,4.51,20970000,338475,Sunday,False,-2.59,-36.48,False
1996-01-01,DABUR,4.51,5.44,4.0,5.01,89415000,4679675,Monday,True,0.5,11.09,True
1997-01-01,DABUR,5.06,5.92,3.6,4.16,149445000,6596770,Wednesday,False,-0.8499999999999996,-16.97,False
1998-01-01,DABUR,4.2,8.73,3.6,8.52,1011155000,86052000,Thursday,True,4.359999999999999,104.81,True
1999-01-01,DABUR,8.6,26.2,8.55,22.0,916024050,13263800,Friday,False,13.48,158.22,True
2000-01-01,DABUR,19.9,28.73,9.55,11.36,295559070,12565616,Saturday,True,-10.64,-48.36,False
2001-01-01,DABUR,11.44,13.43,8.72,11.42,225279171,5422968,Monday,False,0.0600000000000005,0.53,True
2002-01-01,DABUR,11.39,11.72,7.27,7.34,135187654,1391799,Tuesday,True,-4.08,-35.73,False
2003-01-01,DABUR,7.3,15.81,5.19,14.77,504280618,32677382,Wednesday,False,7.43,101.23,True
2004-01-01,DABUR,14.92,16.38,10.05,15.68,472199014,101030432,Thursday,True,0.9100000000000001,6.16,True
2005-01-01,DABUR,15.88,35.53,13.58,35.33,758782887,208848576,Saturday,False,19.65,125.32,True
2006-01-01,DABUR,35.34,58.22,34.05,49.21,863683916,56567664,Sunday,True,13.880000000000003,39.29,True
2007-01-01,DABUR,49.41,66.75,41.0,57.1,560903909,98174312,Monday,False,7.890000000000001,16.03,True
2008-01-01,DABUR,57.5,63.38,30.08,42.0,333497876,21566412,Tuesday,True,-15.100000000000001,-26.44,False
2009-01-01,DABUR,42.5,86.0,41.63,79.4,327130522,78366376,Thursday,False,37.400000000000006,89.05,True
2010-01-01,DABUR,80.0,112.4,73.23,100.25,375791152,67521880,Friday,True,20.849999999999994,26.26,True
2011-01-01,DABUR,101.5,123.2,86.65,99.45,367561299,91112408,Saturday,False,-0.7999999999999972,-0.8,False
2012-01-01,DABUR,99.3,138.9,92.0,128.9,297084821,38404336,Sunday,True,29.450000000000003,29.61,True
2013-01-01,DABUR,129.1,184.45,123.2,170.35,346790321,94385656,Tuesday,False,41.44999999999999,32.16,True
2014-01-01,DABUR,170.65,249.15,159.5,233.75,348119848,86714704,Wednesday,True,63.400000000000006,37.22,True
2015-01-01,DABUR,233.3,316.4,222.5,276.95,306061871,198743200,Thursday,False,43.19999999999999,18.48,True
2016-01-01,DABUR,276.45,320.0,231.5,278.15,339324551,130655400,Friday,True,1.1999999999999886,0.43,True
2017-01-01,DABUR,278.0,360.85,263.6,349.7,340760771,297648576,Sunday,False,71.55000000000001,25.72,True
2018-01-01,DABUR,351.0,490.65,311.95,430.65,594328399,894032384,Monday,True,80.94999999999999,23.15,True
2019-01-01,DABUR,431.75,487.7,357.55,458.4,542684706,535297056,Tuesday,False,27.75,6.44,True
2020-01-01,DABUR,459.7,540.5,386.05,534.0,858321881,1782109696,Wednesday,True,75.60000000000002,16.49,True
2021-01-01,DABUR,534.0,658.95,497.05,580.05,602240759,594120832,Friday,False,46.049999999999955,8.62,True
2022-01-01,DABUR,580.0,610.75,482.25,561.45,982797245,0,Saturday,True,-18.59999999999991,-3.21,False
2023-01-01,DABUR,561.45,574.15,514.2,532.9,143047335,0,Sunday,False,-28.550000000000068,-5.09,False
