Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2019-01-21,DALBHARAT,860.0,995.55,860.0,995.55,437,149333,Monday,,,False,False,,,False,False,,,False,False,,,False
2019-01-28,DALBHARAT,1044.7,1097.55,995.0,1047.25,142878,85125720,Monday,,,False,False,51.700000000000045,5.19,True,False,,,False,False,,,False
2019-02-04,DALBHARAT,1020.0,1124.95,1020.0,1098.25,393043,141757712,Monday,1,,False,False,51.0,4.87,True,True,121.85000000000014,11.81,True,False,,,False
2019-02-11,DALBHARAT,1095.05,1100.45,1050.0,1067.25,517989,24171078,Monday,2,,True,False,-31.0,-2.82,False,True,121.85000000000014,11.81,True,False,,,False
2019-02-18,DALBHARAT,1048.0,1159.8,1039.9,1143.5,267411,26050074,Monday,3,,False,False,76.25,7.14,True,True,121.85000000000014,11.81,True,False,,,False
2019-02-25,DALBHARAT,1142.5,1219.7,1075.0,1171.8,1948398,553764608,Monday,4,,True,False,28.299999999999955,2.47,True,True,121.85000000000014,11.81,True,False,,,False
2019-03-04,DALBHARAT,1150.0,1204.8,1105.0,1132.7,691323,7731810,Monday,1,,False,False,-39.09999999999991,-3.34,False,False,-163.70000000000005,-14.2,False,False,,,False
2019-03-11,DALBHARAT,1122.15,1162.0,1076.25,1112.65,436639,155092288,Monday,2,,True,False,-20.049999999999955,-1.77,False,False,-163.70000000000005,-14.2,False,False,,,False
2019-03-18,DALBHARAT,1079.3,1099.9,989.7,1015.95,565778,90377896,Monday,3,,False,False,-96.70000000000005,-8.69,False,False,-163.70000000000005,-14.2,False,False,,,False
2019-03-25,DALBHARAT,1015.85,1016.0,966.05,989.5,1148534,417981632,Monday,4,,True,False,-26.450000000000045,-2.6,False,False,-163.70000000000005,-14.2,False,False,,,False
2019-04-01,DALBHARAT,999.95,1155.0,984.65,1115.1,2277846,66224672,Monday,1,,False,False,125.59999999999991,12.69,True,True,158.8499999999999,16.05,True,False,,,False
