Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2010-09-27,DEEPAKNTR,18.49,18.49,17.42,17.81,36080,42020,Monday,,,False,False,,,False,False,,,False,True,,,False
2010-10-04,DEEPAKNTR,19.0,19.9,17.15,18.4,31300,23920,Monday,1,,False,False,0.5899999999999999,3.31,True,True,1.2899999999999991,7.18,True,True,,,False
2010-10-11,DEEPAKNTR,18.4,19.2,18.02,19.09,46710,776187,Monday,2,,True,False,0.6900000000000013,3.75,True,True,1.2899999999999991,7.18,True,True,,,False
2010-10-18,DEEPAKNTR,18.7,19.28,18.4,19.03,47650,22836,Monday,3,,False,False,-0.05999999999999872,-0.31,False,True,1.2899999999999991,7.18,True,True,,,False
2010-10-25,DEEPAKNTR,18.8,19.93,18.8,19.25,13510,58328,Monday,4,,True,False,0.21999999999999886,1.16,True,True,1.2899999999999991,7.18,True,True,,,False
2010-11-01,DEEPAKNTR,19.2,19.5,18.7,19.2,310210,120353,Monday,1,,False,False,-0.05000000000000071,-0.26,False,False,-0.75,-3.9,False,True,,,False
2010-11-08,DEEPAKNTR,19.2,20.3,19.2,19.75,39690,98355,Monday,2,,True,False,0.5500000000000007,2.86,True,False,-0.75,-3.9,False,True,,,False
2010-11-15,DEEPAKNTR,19.2,19.8,18.5,19.23,63520,39229,Monday,3,,False,False,-0.5199999999999996,-2.63,False,False,-0.75,-3.9,False,True,,,False
2010-11-22,DEEPAKNTR,19.2,19.5,17.61,18.82,40110,315339,Monday,4,,True,False,-0.41000000000000014,-2.13,False,False,-0.75,-3.9,False,True,,,False
2010-11-29,DEEPAKNTR,18.85,22.0,18.5,19.41,19970,95861,Monday,5,,False,False,0.5899999999999999,3.13,True,False,-0.75,-3.9,False,True,,,False
2010-12-06,DEEPAKNTR,19.5,19.7,19.2,19.4,28630,129592,Monday,1,,False,False,-0.010000000000001563,-0.05,False,True,1.0,5.41,True,True,,,False
2010-12-13,DEEPAKNTR,19.4,20.2,19.0,19.33,27770,385534,Monday,2,,True,False,-0.07000000000000028,-0.36,False,True,1.0,5.41,True,True,,,False
2010-12-20,DEEPAKNTR,19.4,20.0,19.3,19.51,70210,60871,Monday,3,,False,False,0.18000000000000327,0.93,True,True,1.0,5.41,True,True,,,False
2010-12-27,DEEPAKNTR,19.55,20.0,19.5,19.5,13500,23400,Monday,4,,True,False,-0.010000000000001563,-0.05,False,True,1.0,5.41,True,True,,,False
2011-01-03,DEEPAKNTR,19.5,20.0,19.5,19.51,27560,270339,Monday,1,1,False,False,0.010000000000001563,0.05,True,False,0.120000000000001,0.62,True,False,-4.199999999999999,-21.54,False
2011-01-10,DEEPAKNTR,19.5,20.19,19.5,20.03,54430,29044,Monday,2,2,True,True,0.5199999999999996,2.67,True,False,0.120000000000001,0.62,True,False,-4.199999999999999,-21.54,False
2011-01-17,DEEPAKNTR,22.4,23.9,19.5,19.52,37130,184026,Monday,3,3,False,False,-0.5100000000000016,-2.55,False,False,0.120000000000001,0.62,True,False,-4.199999999999999,-21.54,False
2011-01-24,DEEPAKNTR,19.51,20.1,19.5,19.74,48270,351767,Monday,4,4,True,True,0.21999999999999886,1.13,True,False,0.120000000000001,0.62,True,False,-4.199999999999999,-21.54,False
