Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenYear,ReturnPoints,ReturnPercentage,PositiveYear
2010-01-01,DEEPAKNTR,18.49,22.0,17.15,19.5,788860,23400,Friday,True,,,False
2011-01-01,DEEPAKNTR,19.5,23.9,13.8,15.3,2647160,147951,Saturday,False,-4.199999999999999,-21.54,False
2012-01-01,DEEPAKNTR,15.2,30.8,13.63,26.51,3710110,64937,Sunday,True,11.21,73.27,True
2013-01-01,DEEPAKNTR,26.3,30.39,21.7,30.01,2518480,3001,Tuesday,False,3.5,13.2,True
2014-01-01,DEEPAKNTR,30.17,105.0,28.7,81.7,23091014,3186055,Wednesday,True,51.69,172.24,True
2015-01-01,DEEPAKNTR,82.1,87.55,54.45,73.55,11853992,3004444,Thursday,False,-8.150000000000006,-9.98,False
2016-01-01,DEEPAKNTR,73.95,134.0,56.0,92.0,34527297,24282756,Friday,True,18.450000000000003,25.08,True
2017-01-01,DEEPAKNTR,93.9,243.25,90.2,231.5,62136290,66190016,Sunday,False,139.5,151.63,True
2018-01-01,DEEPAKNTR,233.3,305.0,205.05,221.1,80082358,36782640,Monday,True,-10.400000000000006,-4.49,False
2019-01-01,DEEPAKNTR,222.55,386.75,206.0,373.1,73359595,67133376,Tuesday,False,152.00000000000003,68.75,True
2020-01-01,DEEPAKNTR,370.1,954.8,310.0,941.85,283834669,1139758080,Wednesday,True,568.75,152.44,True
2021-01-01,DEEPAKNTR,949.0,3020.0,941.2,2490.2,297007808,1578672256,Friday,False,1548.35,164.39,True
2022-01-01,DEEPAKNTR,2510.0,2690.05,1681.15,1985.3,1812140868,0,Saturday,True,-504.89999999999986,-20.28,False
2023-01-01,DEEPAKNTR,1995.25,2019.9,1730.0,1888.2,23719496,0,Sunday,False,-97.09999999999991,-4.89,False
