Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-11-01,DELTACORP,36.2,43.0,32.71,36.4,87520,61516,Thursday,False,,,False,False,,,False
2007-12-01,DELTACORP,39.8,78.92,35.1,78.92,3039740,22058322,Saturday,True,42.52,116.81,True,False,,,False
2008-01-01,DELTACORP,81.95,97.7,62.3,62.3,2079514,403579,Tuesday,False,-16.620000000000005,-21.06,False,True,-49.27,-62.43,False
2008-02-01,DELTACORP,59.3,72.15,55.15,58.7,694324,1003653,Friday,True,-3.5999999999999943,-5.78,False,True,-49.27,-62.43,False
2008-03-01,DELTACORP,55.8,59.95,38.65,47.05,415587,1829445,Saturday,False,-11.650000000000006,-19.85,False,True,-49.27,-62.43,False
2008-04-01,DELTACORP,46.25,63.85,42.45,53.55,450259,1357546,Tuesday,True,6.5,13.82,True,True,-49.27,-62.43,False
2008-05-01,DELTACORP,55.55,63.95,49.15,50.55,745606,1187066,Thursday,False,-3.0,-5.6,False,True,-49.27,-62.43,False
2008-06-01,DELTACORP,50.5,52.6,34.65,34.65,393868,1494177,Sunday,True,-15.899999999999999,-31.45,False,True,-49.27,-62.43,False
2008-07-01,DELTACORP,34.2,41.3,28.0,41.3,284283,26060,Tuesday,False,6.649999999999999,19.19,True,True,-49.27,-62.43,False
2008-08-01,DELTACORP,43.4,47.4,38.15,38.15,118898,12590,Friday,True,-3.1499999999999986,-7.63,False,True,-49.27,-62.43,False
2008-09-01,DELTACORP,39.5,45.5,30.35,30.65,223898,199991,Monday,False,-7.5,-19.66,False,True,-49.27,-62.43,False
2008-10-01,DELTACORP,30.0,32.0,16.0,19.5,306887,23205,Wednesday,True,-11.149999999999999,-36.38,False,True,-49.27,-62.43,False
2008-11-01,DELTACORP,20.45,23.6,19.0,23.6,79350,13782,Saturday,False,4.100000000000001,21.03,True,True,-49.27,-62.43,False
2008-12-01,DELTACORP,24.5,33.0,20.75,29.65,44710,14855,Monday,True,6.049999999999997,25.64,True,True,-49.27,-62.43,False
2009-01-01,DELTACORP,30.95,38.35,24.15,24.2,305118,168892,Thursday,False,-5.449999999999999,-18.38,False,False,15.800000000000004,53.29,True
2009-02-01,DELTACORP,24.5,31.1,21.65,27.15,226828,227951,Sunday,True,2.9499999999999993,12.19,True,False,15.800000000000004,53.29,True
2009-03-01,DELTACORP,28.5,31.5,26.0,29.95,236608,174279,Sunday,False,2.8000000000000007,10.31,True,False,15.800000000000004,53.29,True
2009-04-01,DELTACORP,29.35,45.15,28.65,40.25,465913,1362020,Wednesday,True,10.3,34.39,True,False,15.800000000000004,53.29,True
2009-05-01,DELTACORP,40.0,49.0,37.1,46.6,1824660,11593614,Friday,False,6.350000000000001,15.78,True,False,15.800000000000004,53.29,True
2009-06-01,DELTACORP,47.85,48.9,40.25,41.7,2111025,2135082,Monday,True,-4.899999999999999,-10.52,False,False,15.800000000000004,53.29,True
2009-07-01,DELTACORP,41.15,47.15,38.5,43.05,2197572,1521129,Wednesday,False,1.3499999999999943,3.24,True,False,15.800000000000004,53.29,True
2009-08-01,DELTACORP,43.2,53.45,39.3,49.2,5990602,6245744,Saturday,True,6.150000000000006,14.29,True,False,15.800000000000004,53.29,True
2009-09-01,DELTACORP,50.3,59.25,45.3,51.0,10170471,45387856,Tuesday,False,1.7999999999999972,3.66,True,False,15.800000000000004,53.29,True
2009-10-01,DELTACORP,50.95,57.5,40.1,40.4,11951393,12168884,Thursday,True,-10.600000000000001,-20.78,False,False,15.800000000000004,53.29,True
2009-11-01,DELTACORP,39.35,49.9,35.6,41.35,7368281,5998231,Sunday,False,0.9500000000000028,2.35,True,False,15.800000000000004,53.29,True
2009-12-01,DELTACORP,41.35,47.1,40.5,45.45,4033990,17934934,Tuesday,True,4.100000000000001,9.92,True,False,15.800000000000004,53.29,True
2010-01-01,DELTACORP,45.45,52.8,38.05,40.6,6378115,4207743,Friday,False,-4.850000000000001,-10.67,False,True,61.2,134.65,True
2010-02-01,DELTACORP,40.3,48.4,36.1,37.8,2584407,3010619,Monday,True,-2.8000000000000043,-6.9,False,True,61.2,134.65,True
2010-03-01,DELTACORP,38.95,44.25,33.15,34.6,2019820,1025925,Monday,False,-3.1999999999999957,-8.47,False,True,61.2,134.65,True
2010-04-01,DELTACORP,35.2,42.8,33.9,39.9,9125172,8894668,Thursday,True,5.299999999999997,15.32,True,True,61.2,134.65,True
2010-05-01,DELTACORP,40.1,40.1,31.0,32.8,2308845,2263036,Saturday,False,-7.100000000000001,-17.79,False,True,61.2,134.65,True
2010-06-01,DELTACORP,33.0,38.4,30.9,34.4,4857315,4575132,Tuesday,True,1.6000000000000014,4.88,True,True,61.2,134.65,True
2010-07-01,DELTACORP,34.4,46.95,32.65,45.7,34262793,42372400,Thursday,False,11.300000000000004,32.85,True,True,61.2,134.65,True
2010-08-01,DELTACORP,46.0,48.25,39.0,40.5,14578638,8299058,Sunday,True,-5.200000000000003,-11.38,False,True,61.2,134.65,True
2010-09-01,DELTACORP,41.35,82.4,40.5,78.5,143410705,853954944,Wednesday,False,38.0,93.83,True,True,61.2,134.65,True
2010-10-01,DELTACORP,79.8,96.2,76.8,90.2,78301454,568052992,Friday,True,11.700000000000003,14.9,True,True,61.2,134.65,True
2010-11-01,DELTACORP,93.5,141.9,90.0,110.65,281575373,1152528256,Monday,False,20.450000000000003,22.67,True,True,61.2,134.65,True
2010-12-01,DELTACORP,112.1,127.75,76.8,106.65,198543647,679443776,Wednesday,True,-4.0,-3.62,False,True,61.2,134.65,True
2011-01-01,DELTACORP,107.85,108.9,73.9,76.1,81894188,406313728,Saturday,False,-30.55000000000001,-28.65,False,False,-51.00000000000001,-47.82,False
2011-02-01,DELTACORP,77.5,79.4,59.05,64.55,106629423,116267792,Tuesday,True,-11.549999999999997,-15.18,False,False,-51.00000000000001,-47.82,False
2011-03-01,DELTACORP,65.0,78.3,65.0,75.1,71986459,535046624,Tuesday,False,10.549999999999997,16.34,True,False,-51.00000000000001,-47.82,False
2011-04-01,DELTACORP,76.5,99.45,76.1,87.55,137336016,389961024,Friday,True,12.450000000000003,16.58,True,False,-51.00000000000001,-47.82,False
2011-05-01,DELTACORP,88.25,93.25,78.4,89.1,81314382,422520032,Sunday,False,1.5499999999999972,1.77,True,False,-51.00000000000001,-47.82,False
2011-06-01,DELTACORP,89.8,103.75,81.25,100.15,162364565,542329984,Wednesday,True,11.050000000000011,12.4,True,False,-51.00000000000001,-47.82,False
2011-07-01,DELTACORP,101.5,116.75,98.5,106.0,132619141,397634080,Friday,False,5.849999999999994,5.84,True,False,-51.00000000000001,-47.82,False
2011-08-01,DELTACORP,107.9,108.85,83.55,89.95,107803960,285989344,Monday,True,-16.049999999999997,-15.14,False,False,-51.00000000000001,-47.82,False
2011-09-01,DELTACORP,90.55,115.5,88.1,99.25,180617647,571089088,Thursday,False,9.299999999999997,10.34,True,False,-51.00000000000001,-47.82,False
2011-10-01,DELTACORP,97.1,105.95,91.3,99.25,86796757,323391520,Saturday,True,0.0,0.0,False,False,-51.00000000000001,-47.82,False
2011-11-01,DELTACORP,98.1,104.35,65.2,70.0,120922366,549892992,Tuesday,False,-29.25,-29.47,False,False,-51.00000000000001,-47.82,False
2011-12-01,DELTACORP,73.35,76.6,52.25,55.65,119008776,261506208,Thursday,True,-14.350000000000001,-20.5,False,False,-51.00000000000001,-47.82,False
2012-01-01,DELTACORP,56.4,77.8,54.15,77.1,150952424,698207936,Sunday,False,21.449999999999996,38.54,True,True,17.699999999999996,31.81,True
2012-02-01,DELTACORP,77.9,87.3,70.0,75.85,109379762,256430640,Wednesday,True,-1.25,-1.62,False,True,17.699999999999996,31.81,True
2012-03-01,DELTACORP,76.1,80.8,59.1,68.95,61710524,252206608,Thursday,False,-6.8999999999999915,-9.1,False,True,17.699999999999996,31.81,True
2012-04-01,DELTACORP,69.0,72.75,58.5,60.9,39845479,157268528,Sunday,True,-8.050000000000004,-11.68,False,True,17.699999999999996,31.81,True
2012-05-01,DELTACORP,61.5,65.35,52.05,59.0,67288135,198050544,Tuesday,False,-1.8999999999999986,-3.12,False,True,17.699999999999996,31.81,True
2012-06-01,DELTACORP,58.7,68.7,56.1,66.85,76505797,471325984,Friday,True,7.849999999999994,13.31,True,True,17.699999999999996,31.81,True
2012-07-01,DELTACORP,67.4,71.2,51.6,57.7,47171067,96994800,Sunday,False,-9.149999999999991,-13.69,False,True,17.699999999999996,31.81,True
2012-08-01,DELTACORP,58.5,65.3,55.2,58.0,47506178,71667584,Wednesday,True,0.29999999999999716,0.52,True,True,17.699999999999996,31.81,True
2012-09-01,DELTACORP,59.8,74.8,58.05,70.7,66866108,244810832,Saturday,False,12.700000000000003,21.9,True,True,17.699999999999996,31.81,True
2012-10-01,DELTACORP,71.8,76.8,65.0,65.65,49354804,121967200,Monday,True,-5.049999999999997,-7.14,False,True,17.699999999999996,31.81,True
2012-11-01,DELTACORP,65.5,80.5,65.1,77.7,54549875,184236256,Thursday,False,12.049999999999997,18.35,True,True,17.699999999999996,31.81,True
2012-12-01,DELTACORP,78.1,83.3,72.05,73.35,40849618,53850928,Saturday,True,-4.3500000000000085,-5.6,False,True,17.699999999999996,31.81,True
2013-01-01,DELTACORP,73.7,84.35,72.7,73.75,46033051,74244864,Tuesday,False,0.4000000000000057,0.55,True,False,30.650000000000006,41.79,True
2013-02-01,DELTACORP,74.0,75.0,55.15,55.9,18134745,58587728,Friday,True,-17.85,-24.2,False,False,30.650000000000006,41.79,True
2013-03-01,DELTACORP,55.9,60.4,39.05,41.1,36534611,103858624,Friday,False,-14.799999999999997,-26.48,False,False,30.650000000000006,41.79,True
2013-04-01,DELTACORP,41.55,76.8,41.35,62.25,84119474,169821616,Monday,True,21.15,51.46,True,False,30.650000000000006,41.79,True
