Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2017-09-18,DIXON,545.0,604.8,527.0,531.93,39121795,500910496,Monday,,,False,False,,,False,False,,,False,False,,,False
2017-09-25,DIXON,524.0,541.76,501.27,529.75,3495580,155094912,Monday,,,False,False,-2.17999999999995,-0.41,False,False,,,False,False,,,False
2017-10-02,DIXON,533.0,549.8,515.76,535.44,1412725,132213520,Monday,1,,False,False,5.690000000000055,1.07,True,True,15.110000000000014,2.85,True,False,,,False
2017-10-09,DIXON,535.4,557.4,520.3,546.81,1739095,134476992,Monday,2,,True,False,11.36999999999989,2.12,True,True,15.110000000000014,2.85,True,False,,,False
2017-10-16,DIXON,548.0,549.09,526.02,530.97,377430,12804342,Monday,3,,False,False,-15.839999999999918,-2.9,False,True,15.110000000000014,2.85,True,False,,,False
2017-10-23,DIXON,531.0,561.14,529.21,547.46,1345470,72880616,Monday,4,,True,False,16.49000000000001,3.11,True,True,15.110000000000014,2.85,True,False,,,False
2017-10-30,DIXON,548.0,556.0,535.0,537.67,702590,32386554,Monday,5,,False,False,-9.790000000000077,-1.79,False,True,15.110000000000014,2.85,True,False,,,False
2017-11-06,DIXON,537.6,544.0,530.0,539.06,346090,47903568,Monday,1,,False,False,1.3899999999999864,0.26,True,False,159.06999999999994,29.19,True,False,,,False
2017-11-13,DIXON,539.0,583.8,533.0,578.81,2762920,727477376,Monday,2,,True,False,39.75,7.37,True,False,159.06999999999994,29.19,True,False,,,False
2017-11-20,DIXON,581.4,650.0,572.01,647.02,4743945,284954080,Monday,3,,False,False,68.21000000000004,11.78,True,False,159.06999999999994,29.19,True,False,,,False
2017-11-27,DIXON,644.2,724.76,639.36,680.46,2980200,372456576,Monday,4,,True,False,33.440000000000055,5.17,True,False,159.06999999999994,29.19,True,False,,,False
2017-12-04,DIXON,682.4,715.08,664.6,704.37,1012245,93402984,Monday,1,,False,False,23.909999999999968,3.51,True,True,134.2600000000001,19.07,True,False,,,False
2017-12-11,DIXON,706.02,709.65,626.0,639.06,750780,201994080,Monday,2,,True,False,-65.31000000000006,-9.27,False,True,134.2600000000001,19.07,True,False,,,False
2017-12-18,DIXON,637.0,816.8,632.0,807.41,3496805,541590464,Monday,3,,False,False,168.35000000000002,26.34,True,True,134.2600000000001,19.07,True,False,,,False
2017-12-25,DIXON,812.0,898.8,811.68,838.19,4446220,417502464,Monday,4,,True,False,30.780000000000086,3.81,True,True,134.2600000000001,19.07,True,False,,,False
2018-01-01,DIXON,846.0,860.0,810.0,813.64,1375260,157117952,Monday,1,1,False,False,-24.550000000000068,-2.93,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-08,DIXON,816.4,837.0,760.0,768.93,973825,125785408,Monday,2,2,True,True,-44.710000000000036,-5.5,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-15,DIXON,768.8,791.0,715.64,766.03,2187125,207758816,Monday,3,3,False,False,-2.8999999999999773,-0.38,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-22,DIXON,771.78,777.0,742.0,762.73,586720,88930504,Monday,4,4,True,True,-3.2999999999999545,-0.43,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-29,DIXON,770.33,836.4,730.0,737.55,1464915,168393728,Monday,5,5,False,False,-25.180000000000064,-3.3,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-02-05,DIXON,729.8,781.87,662.2,691.66,1758070,339314560,Monday,1,6,False,True,-45.889999999999986,-6.22,False,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-02-12,DIXON,705.0,710.0,640.2,643.03,554415,91300608,Monday,2,7,True,False,-48.629999999999995,-7.03,False,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-02-19,DIXON,653.8,667.0,620.0,657.09,944960,71829792,Monday,3,8,False,True,14.06000000000006,2.19,True,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-02-26,DIXON,660.0,727.0,657.45,708.69,674250,179511168,Monday,4,9,True,False,51.60000000000002,7.85,True,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-03-05,DIXON,707.38,709.8,678.73,690.35,710355,79970144,Monday,1,10,False,True,-18.340000000000032,-2.59,False,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-12,DIXON,695.0,709.0,680.2,689.51,418495,21816096,Monday,2,11,True,False,-0.8400000000000318,-0.12,False,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-19,DIXON,694.85,695.95,635.5,640.86,466130,54370564,Monday,3,12,False,True,-48.64999999999998,-7.06,False,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-26,DIXON,639.94,666.2,625.0,658.21,256300,55503560,Monday,4,13,True,False,17.350000000000023,2.71,True,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-04-02,DIXON,671.8,788.68,642.2,709.07,2070160,195820320,Monday,1,14,False,True,50.860000000000014,7.73,True,True,66.68999999999994,10.13,True,True,-425.61000000000007,-50.78,False
2018-04-09,DIXON,713.6,752.54,712.92,719.47,783800,72152048,Monday,2,15,True,False,10.399999999999977,1.47,True,True,66.68999999999994,10.13,True,True,-425.61000000000007,-50.78,False
