Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2017-09-21,DIXON,545.0,604.8,536.8,552.87,38180110,884426176,Thursday,2017-09-15,,,False,False,,,False,False,,,False,False,,,False
2017-09-28,DIXON,558.09,558.09,501.27,526.78,4144495,175933984,Thursday,2017-09-22,,,False,False,-26.090000000000032,-4.72,False,False,,,False,False,,,False
2017-10-05,DIXON,529.2,549.8,515.76,539.43,1458570,197059168,Thursday,2017-09-29,1,,False,False,12.649999999999977,2.4,True,True,15.110000000000014,2.85,True,False,,,False
2017-10-12,DIXON,540.25,551.0,520.3,548.54,1740090,228993504,Thursday,2017-10-06,2,,True,False,9.110000000000014,1.69,True,True,15.110000000000014,2.85,True,False,,,False
2017-10-19,DIXON,549.2,557.4,526.02,530.97,623360,12804342,Thursday,2017-10-13,3,,False,False,-17.569999999999936,-3.2,False,True,15.110000000000014,2.85,True,False,,,False
2017-10-26,DIXON,531.0,561.14,529.21,550.85,1212345,98420368,Thursday,2017-10-20,4,,True,False,19.879999999999995,3.74,True,True,15.110000000000014,2.85,True,False,,,False
2017-11-02,DIXON,553.0,556.0,535.0,540.8,775480,25382448,Thursday,2017-10-27,1,,False,False,-10.050000000000068,-1.82,False,False,159.06999999999994,29.19,True,False,,,False
2017-11-09,DIXON,542.78,544.0,530.0,535.52,317460,35866452,Thursday,2017-11-03,2,,True,False,-5.279999999999973,-0.98,False,False,159.06999999999994,29.19,True,False,,,False
2017-11-16,DIXON,531.8,558.8,531.8,552.7,1594935,655883584,Thursday,2017-11-10,3,,False,False,17.180000000000064,3.21,True,False,159.06999999999994,29.19,True,False,,,False
2017-11-23,DIXON,554.8,643.6,550.63,639.26,5560385,538490240,Thursday,2017-11-17,4,,True,False,86.55999999999995,15.66,True,False,159.06999999999994,29.19,True,False,,,False
2017-11-30,DIXON,640.64,711.18,630.2,703.93,2873250,480565952,Thursday,2017-11-24,5,,False,False,64.66999999999996,10.12,True,False,159.06999999999994,29.19,True,False,,,False
2017-12-07,DIXON,706.0,724.76,664.6,701.47,1427000,127990216,Thursday,2017-12-01,1,,False,False,-2.4599999999999227,-0.35,False,True,134.2600000000001,19.07,True,False,,,False
2017-12-14,DIXON,706.0,715.08,636.0,640.94,567305,53832548,Thursday,2017-12-08,2,,True,False,-60.52999999999997,-8.63,False,True,134.2600000000001,19.07,True,False,,,False
2017-12-21,DIXON,646.0,782.4,626.0,770.57,3142110,302683744,Thursday,2017-12-15,3,,False,False,129.63,20.22,True,True,134.2600000000001,19.07,True,False,,,False
2017-12-28,DIXON,776.6,898.8,770.5,856.73,4618895,896640768,Thursday,2017-12-22,4,,True,False,86.15999999999997,11.18,True,True,134.2600000000001,19.07,True,False,,,False
2018-01-04,DIXON,856.6,868.6,820.4,825.48,1680255,303921088,Thursday,2017-12-29,1,1,False,False,-31.25,-3.65,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-11,DIXON,827.4,837.0,776.0,780.15,1003345,240165280,Thursday,2018-01-05,2,2,True,True,-45.33000000000004,-5.49,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-18,DIXON,786.0,791.0,715.64,758.91,2079495,541307712,Thursday,2018-01-12,3,3,False,False,-21.24000000000001,-2.72,False,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-01-25,DIXON,755.97,778.0,742.0,762.73,857935,88930504,Thursday,2018-01-19,4,4,True,True,3.82000000000005,0.5,True,False,-88.12,-10.51,False,True,-425.61000000000007,-50.78,False
2018-02-01,DIXON,770.33,836.4,743.91,765.11,1236600,501215904,Thursday,2018-01-26,1,5,False,False,2.3799999999999955,0.31,True,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-02-08,DIXON,759.72,781.87,682.81,702.62,1495805,425355616,Thursday,2018-02-02,2,6,True,True,-62.49000000000001,-8.17,False,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-02-15,DIXON,692.0,715.15,654.6,656.91,903010,72365208,Thursday,2018-02-09,3,7,False,False,-45.710000000000036,-6.51,False,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-02-22,DIXON,659.8,664.88,620.0,653.18,977630,100312112,Thursday,2018-02-16,4,8,True,True,-3.730000000000018,-0.57,False,True,-59.120000000000005,-7.88,False,True,-425.61000000000007,-50.78,False
2018-03-01,DIXON,653.18,727.0,653.0,708.69,783565,179511168,Thursday,2018-02-23,1,9,False,False,55.510000000000105,8.5,True,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-08,DIXON,707.38,709.8,678.73,691.26,594515,72679080,Thursday,2018-03-02,2,10,True,True,-17.430000000000064,-2.46,False,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-15,DIXON,699.4,709.0,680.2,693.96,502695,63403656,Thursday,2018-03-09,3,11,False,False,2.7000000000000455,0.39,True,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-22,DIXON,697.6,697.6,643.0,658.28,412930,40056336,Thursday,2018-03-16,4,12,True,True,-35.680000000000064,-5.14,False,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
2018-03-29,DIXON,641.2,666.2,625.0,658.21,341140,55503560,Thursday,2018-03-23,5,13,False,False,-0.06999999999993634,-0.01,False,False,-32.74000000000001,-4.74,False,True,-425.61000000000007,-50.78,False
