Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-07-12,DLF,575.0,616.5,567.0,610.75,24730012,6442504192,Thursday,2007-07-06,,,False,False,,,False,False,,,False,False,,,False
2007-07-19,DLF,616.0,664.7,597.2,646.15,41147743,9261370368,Thursday,2007-07-13,,,False,False,35.39999999999998,5.8,True,False,,,False,False,,,False
2007-07-26,DLF,646.0,679.0,601.55,633.3,30360074,4394882560,Thursday,2007-07-20,,,False,False,-12.850000000000023,-1.99,False,False,,,False,False,,,False
2007-08-02,DLF,628.6,628.6,578.0,586.95,27565054,1791833984,Thursday,2007-07-27,1,,False,False,-46.34999999999991,-7.32,False,True,-14.150000000000091,-2.31,False,False,,,False
2007-08-09,DLF,593.5,614.95,560.0,595.5,16297484,2206858752,Thursday,2007-08-03,2,,True,False,8.549999999999955,1.46,True,True,-14.150000000000091,-2.31,False,False,,,False
2007-08-16,DLF,575.1,607.1,490.0,583.85,19045005,2692093184,Thursday,2007-08-10,3,,False,False,-11.649999999999977,-1.96,False,True,-14.150000000000091,-2.31,False,False,,,False
2007-08-23,DLF,580.0,614.0,531.15,555.2,18137863,2195136512,Thursday,2007-08-17,4,,True,False,-28.649999999999977,-4.91,False,True,-14.150000000000091,-2.31,False,False,,,False
2007-08-30,DLF,559.95,629.9,548.0,587.3,14046502,2475593984,Thursday,2007-08-24,5,,False,False,32.09999999999991,5.78,True,True,-14.150000000000091,-2.31,False,False,,,False
2007-09-06,DLF,590.0,644.95,590.0,635.9,12707342,1265806720,Thursday,2007-08-31,1,,False,False,48.60000000000002,8.28,True,False,165.1500000000001,27.61,True,False,,,False
2007-09-13,DLF,637.6,649.7,610.0,644.8,11947871,2492774144,Thursday,2007-09-07,2,,True,False,8.899999999999977,1.4,True,False,165.1500000000001,27.61,True,False,,,False
2007-09-20,DLF,650.0,779.0,643.1,748.65,27807801,6984022016,Thursday,2007-09-14,3,,False,False,103.85000000000002,16.11,True,False,165.1500000000001,27.61,True,False,,,False
2007-09-27,DLF,748.0,789.7,725.0,740.7,24231950,4811590144,Thursday,2007-09-21,4,,True,False,-7.949999999999932,-1.06,False,False,165.1500000000001,27.61,True,False,,,False
2007-10-04,DLF,745.0,904.0,745.0,863.35,31718344,5745153536,Thursday,2007-09-28,1,,False,False,122.64999999999998,16.56,True,True,186.19999999999993,24.4,True,False,,,False
2007-10-11,DLF,865.1,929.9,802.0,918.75,24331756,3734160128,Thursday,2007-10-05,2,,True,False,55.39999999999998,6.42,True,True,186.19999999999993,24.4,True,False,,,False
2007-10-18,DLF,949.0,949.0,751.0,843.9,22299424,3988876544,Thursday,2007-10-12,3,,False,False,-74.85000000000002,-8.15,False,True,186.19999999999993,24.4,True,False,,,False
