Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1928-10-08,Dow Jones,241.7,250.1,241.6,247.69,0,0.0,Monday,,,False,False,,,False,True,,,False,True,,,False
1928-10-15,Dow Jones,249.1,259.2,247.3,256.59,0,0.0,Monday,,,False,False,8.899999999999977,3.59,True,True,,,False,True,,,False
1928-10-22,Dow Jones,253.8,260.4,249.1,251.44,0,0.0,Monday,,,False,False,-5.149999999999977,-2.01,False,True,,,False,True,,,False
1928-10-29,Dow Jones,255.5,259.8,248.8,254.38,0,0.0,Monday,,,False,False,2.9399999999999977,1.17,True,True,,,False,True,,,False
1928-11-05,Dow Jones,254.2,266.2,253.9,263.05,0,0.0,Monday,1,,False,False,8.670000000000016,3.41,True,False,41.22,16.35,True,True,,,False
1928-11-12,Dow Jones,265.8,278.7,264.4,276.66,0,0.0,Monday,2,,True,False,13.610000000000014,5.17,True,False,41.22,16.35,True,True,,,False
1928-11-19,Dow Jones,277.5,295.2,273.0,288.22,0,0.0,Monday,3,,False,False,11.560000000000002,4.18,True,False,41.22,16.35,True,True,,,False
1928-11-26,Dow Jones,288.2,299.4,288.1,293.38,0,0.0,Monday,4,,True,False,5.159999999999968,1.79,True,False,41.22,16.35,True,True,,,False
1928-12-03,Dow Jones,290.8,295.6,269.6,271.05,0,0.0,Monday,1,,False,False,-22.329999999999984,-7.61,False,True,6.6200000000000045,2.26,True,True,,,False
1928-12-10,Dow Jones,257.3,275.5,254.4,272.26,0,0.0,Monday,2,,True,False,1.2099999999999795,0.45,True,True,6.6200000000000045,2.26,True,True,,,False
1928-12-17,Dow Jones,270.7,288.4,266.2,286.53,0,0.0,Monday,3,,False,False,14.269999999999982,5.24,True,True,6.6200000000000045,2.26,True,True,,,False
1928-12-24,Dow Jones,285.9,297.8,281.6,296.52,0,0.0,Monday,4,,True,False,9.990000000000009,3.49,True,True,6.6200000000000045,2.26,True,True,,,False
1928-12-31,Dow Jones,297.3,311.5,292.0,304.75,0,0.0,Monday,5,,False,False,8.230000000000018,2.78,True,True,6.6200000000000045,2.26,True,True,,,False
1929-01-07,Dow Jones,301.9,305.9,292.9,301.66,0,0.0,Monday,1,1,False,False,-3.089999999999975,-1.01,False,False,17.50999999999999,5.84,True,False,-51.52000000000001,-17.17,False
1929-01-14,Dow Jones,301.3,308.1,295.8,304.14,0,0.0,Monday,2,2,True,True,2.4799999999999613,0.82,True,False,17.50999999999999,5.84,True,False,-51.52000000000001,-17.17,False
1929-01-21,Dow Jones,306.0,319.4,302.4,315.13,0,0.0,Monday,3,3,False,False,10.990000000000009,3.61,True,False,17.50999999999999,5.84,True,False,-51.52000000000001,-17.17,False
1929-01-28,Dow Jones,314.6,324.2,308.5,319.68,0,0.0,Monday,4,4,True,True,4.550000000000011,1.44,True,False,17.50999999999999,5.84,True,False,-51.52000000000001,-17.17,False
