Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1928-10-11,Dow Jones,241.7,250.1,241.6,247.69,0,0,Thursday,1928-10-05,,,False,False,,,False,True,,,False,True,,,False
1928-10-18,Dow Jones,249.1,255.3,247.3,251.88,0,0,Thursday,1928-10-12,,,False,False,4.189999999999998,1.69,True,True,,,False,True,,,False
1928-10-25,Dow Jones,251.9,260.4,249.1,256.48,0,0,Thursday,1928-10-19,,,False,False,4.600000000000023,1.83,True,True,,,False,True,,,False
1928-11-01,Dow Jones,256.5,259.8,248.8,255.23,0,0,Thursday,1928-10-26,1,,False,False,-1.2500000000000284,-0.49,False,False,41.22,16.35,True,True,,,False
1928-11-08,Dow Jones,255.2,265.3,252.5,261.11,0,0,Thursday,1928-11-02,2,,True,False,5.880000000000024,2.3,True,False,41.22,16.35,True,True,,,False
1928-11-15,Dow Jones,261.1,272.9,259.4,269.42,0,0,Thursday,1928-11-09,3,,False,False,8.310000000000002,3.18,True,False,41.22,16.35,True,True,,,False
1928-11-22,Dow Jones,271.5,292.1,271.5,290.34,0,0,Thursday,1928-11-16,4,,True,False,20.91999999999996,7.76,True,False,41.22,16.35,True,True,,,False
1928-11-29,Dow Jones,290.3,299.4,284.4,295.62,0,0,Thursday,1928-11-23,5,,False,False,5.28000000000003,1.82,True,False,41.22,16.35,True,True,,,False
1928-12-06,Dow Jones,295.6,299.1,278.7,279.79,0,0,Thursday,1928-11-30,1,,False,False,-15.829999999999984,-5.35,False,True,6.6200000000000045,2.26,True,True,,,False
1928-12-13,Dow Jones,279.8,284.4,254.4,266.88,0,0,Thursday,1928-12-07,2,,True,False,-12.910000000000025,-4.61,False,True,6.6200000000000045,2.26,True,True,,,False
1928-12-20,Dow Jones,267.0,285.6,266.2,282.01,0,0,Thursday,1928-12-14,3,,False,False,15.129999999999995,5.67,True,True,6.6200000000000045,2.26,True,True,,,False
1928-12-27,Dow Jones,282.0,292.5,281.3,290.95,0,0,Thursday,1928-12-21,4,,True,False,8.939999999999998,3.17,True,True,6.6200000000000045,2.26,True,True,,,False
1929-01-03,Dow Jones,291.0,311.5,283.7,305.72,0,0,Thursday,1928-12-28,1,1,False,False,14.770000000000039,5.08,True,False,17.50999999999999,5.84,True,False,-51.52000000000001,-17.17,False
