Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-01-23,EXIDEIND,4.5,4.5,4.5,4.5,2000,9000.0,Monday,,,False,False,,,False,False,,,False,False,,,False
1995-01-30,EXIDEIND,4.35,4.35,4.35,4.35,10000,43500.0,Monday,,,False,False,-0.15000000000000036,-3.33,False,False,,,False,False,,,False
1995-02-06,EXIDEIND,4.35,4.49,4.2,4.47,60000,62685.0,Monday,1,,False,False,0.1200000000000001,2.76,True,True,-0.34999999999999964,-8.05,False,False,,,False
1995-02-13,EXIDEIND,4.35,4.35,4.25,4.25,40000,85000.0,Monday,2,,True,False,-0.21999999999999975,-4.92,False,True,-0.34999999999999964,-8.05,False,False,,,False
1995-02-20,EXIDEIND,4.0,4.0,4.0,4.0,20000,40000.0,Monday,3,,False,False,-0.25,-5.88,False,True,-0.34999999999999964,-8.05,False,False,,,False
1995-02-27,,,,,,0,,Monday,4,,True,False,,,False,True,-0.34999999999999964,-8.05,False,False,,,False
1995-03-06,EXIDEIND,3.76,3.8,3.5,3.5,66000,91000.0,Monday,1,,False,False,,,False,False,-0.2999999999999998,-7.5,False,False,,,False
1995-03-13,EXIDEIND,3.51,3.75,3.5,3.7,32000,66600.0,Monday,2,,True,False,0.20000000000000018,5.71,True,False,-0.2999999999999998,-7.5,False,False,,,False
1995-03-20,EXIDEIND,3.31,3.31,3.31,3.31,2000,6610.0,Monday,3,,False,False,-0.3900000000000001,-10.54,False,False,-0.2999999999999998,-7.5,False,False,,,False
1995-03-27,EXIDEIND,3.74,3.74,3.7,3.7,16000,14800.0,Monday,4,,True,False,0.3900000000000001,11.78,True,False,-0.2999999999999998,-7.5,False,False,,,False
1995-04-03,EXIDEIND,3.6,3.7,3.6,3.65,34000,14600.0,Monday,1,,False,False,-0.050000000000000266,-1.35,False,True,-0.33000000000000007,-8.92,False,False,,,False
1995-04-10,EXIDEIND,3.31,3.51,3.31,3.51,4000,14010.0,Monday,2,,True,False,-0.14000000000000012,-3.84,False,True,-0.33000000000000007,-8.92,False,False,,,False
1995-04-17,EXIDEIND,3.65,3.7,3.5,3.56,26000,14220.0,Monday,3,,False,False,0.050000000000000266,1.42,True,True,-0.33000000000000007,-8.92,False,False,,,False
1995-04-24,EXIDEIND,3.4,3.4,3.37,3.37,8000,26920.0,Monday,4,,True,False,-0.18999999999999995,-5.34,False,True,-0.33000000000000007,-8.92,False,False,,,False
