Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1995-01-01,EXIDEIND,4.5,4.5,4.35,4.35,12000,43500,Sunday,False,,,False,False,,,False
1995-02-01,EXIDEIND,4.35,4.49,4.0,4.0,120000,40000,Wednesday,True,-0.34999999999999964,-8.05,False,False,,,False
1995-03-01,EXIDEIND,3.76,3.8,3.31,3.7,116000,14800,Wednesday,False,-0.2999999999999998,-7.5,False,False,,,False
1995-04-01,EXIDEIND,3.6,3.7,3.31,3.37,72000,26920,Saturday,True,-0.33000000000000007,-8.92,False,False,,,False
1995-05-01,EXIDEIND,3.3,3.3,2.95,3.3,34000,6600,Monday,False,-0.07000000000000028,-2.08,False,False,,,False
1995-06-01,EXIDEIND,3.1,4.05,3.1,3.5,112000,7000,Thursday,True,0.20000000000000018,6.06,True,False,,,False
1995-07-01,EXIDEIND,3.25,4.35,3.25,3.7,28000,37000,Saturday,False,0.20000000000000018,5.71,True,False,,,False
1995-08-01,EXIDEIND,3.95,4.0,3.6,3.6,26000,36000,Tuesday,True,-0.10000000000000009,-2.7,False,False,,,False
1995-09-01,EXIDEIND,3.6,3.7,3.35,3.35,54000,20100,Friday,False,-0.25,-6.94,False,False,,,False
1995-10-01,EXIDEIND,3.0,3.75,2.95,3.25,116000,6500,Sunday,True,-0.10000000000000009,-2.99,False,False,,,False
1995-11-01,EXIDEIND,3.25,3.3,2.36,2.65,228000,15900,Wednesday,False,-0.6000000000000001,-18.46,False,False,,,False
1995-12-01,EXIDEIND,2.65,2.75,2.53,2.57,242000,25625,Friday,True,-0.08000000000000007,-3.02,False,False,,,False
1996-01-01,EXIDEIND,2.7,2.7,2.03,2.03,64000,12150,Monday,False,-0.54,-21.01,False,True,2.3800000000000003,92.61,True
1996-02-01,EXIDEIND,2.17,2.85,2.17,2.85,204000,5700,Thursday,True,0.8200000000000003,40.39,True,True,2.3800000000000003,92.61,True
1996-03-01,EXIDEIND,2.7,3.0,2.61,2.85,210000,11400,Friday,False,0.0,0.0,False,True,2.3800000000000003,92.61,True
1996-04-01,EXIDEIND,2.85,3.39,2.65,3.32,270000,13250,Monday,True,0.46999999999999975,16.49,True,True,2.3800000000000003,92.61,True
1996-05-01,EXIDEIND,3.32,4.13,3.32,4.0,500000,8000,Wednesday,False,0.6800000000000002,20.48,True,True,2.3800000000000003,92.61,True
1996-06-01,EXIDEIND,4.05,5.3,4.05,4.6,796000,64400,Saturday,True,0.5999999999999996,15.0,True,True,2.3800000000000003,92.61,True
1996-07-01,EXIDEIND,4.5,4.89,4.3,4.41,1004000,123620,Monday,False,-0.1899999999999995,-4.13,False,True,2.3800000000000003,92.61,True
1996-08-01,EXIDEIND,4.8,4.8,3.87,4.12,314000,164800,Thursday,True,-0.29000000000000004,-6.58,False,True,2.3800000000000003,92.61,True
1996-09-01,EXIDEIND,4.15,4.9,4.13,4.3,576000,249400,Sunday,False,0.17999999999999972,4.37,True,True,2.3800000000000003,92.61,True
1996-10-01,EXIDEIND,4.25,4.35,3.91,4.1,422000,24615,Tuesday,True,-0.20000000000000018,-4.65,False,True,2.3800000000000003,92.61,True
1996-11-01,EXIDEIND,4.15,4.7,4.11,4.61,2026000,267090,Friday,False,0.5100000000000007,12.44,True,True,2.3800000000000003,92.61,True
1996-12-01,EXIDEIND,4.6,5.0,4.43,4.95,564000,89145,Sunday,True,0.33999999999999986,7.38,True,True,2.3800000000000003,92.61,True
1997-01-01,EXIDEIND,5.0,6.75,4.9,5.66,1468000,418470,Wednesday,False,0.71,14.34,True,False,0.9299999999999997,18.79,True
1997-02-01,EXIDEIND,5.6,5.9,5.05,5.15,1096000,30900,Saturday,True,-0.5099999999999998,-9.01,False,False,0.9299999999999997,18.79,True
1997-03-01,EXIDEIND,5.3,6.25,4.99,5.13,932000,410000,Saturday,False,-0.020000000000000462,-0.39,False,False,0.9299999999999997,18.79,True
1997-04-01,EXIDEIND,5.03,7.22,5.03,7.22,6674000,1789940,Tuesday,True,2.09,40.74,True,False,0.9299999999999997,18.79,True
1997-05-01,EXIDEIND,7.09,9.95,6.88,8.64,30066000,6773760,Thursday,False,1.4200000000000008,19.67,True,False,0.9299999999999997,18.79,True
1997-06-01,EXIDEIND,8.68,9.49,7.53,8.04,6986000,610850,Sunday,True,-0.6000000000000014,-6.94,False,False,0.9299999999999997,18.79,True
1997-07-01,EXIDEIND,8.15,9.04,7.51,8.35,3606000,384100,Tuesday,False,0.3100000000000005,3.86,True,False,0.9299999999999997,18.79,True
1997-08-01,EXIDEIND,8.4,9.18,7.5,7.95,2226000,461245,Friday,True,-0.39999999999999947,-4.79,False,False,0.9299999999999997,18.79,True
1997-09-01,EXIDEIND,7.91,8.81,7.15,8.73,1844000,5357150,Monday,False,0.7800000000000002,9.81,True,False,0.9299999999999997,18.79,True
1997-10-01,EXIDEIND,8.51,9.05,7.8,8.49,2056000,50970,Wednesday,True,-0.2400000000000002,-2.75,False,False,0.9299999999999997,18.79,True
1997-11-01,EXIDEIND,7.95,8.5,6.8,7.68,3334000,3965460,Saturday,False,-0.8100000000000005,-9.54,False,False,0.9299999999999997,18.79,True
1997-12-01,EXIDEIND,7.49,8.19,5.65,5.88,2284000,1081460,Monday,True,-1.7999999999999998,-23.44,False,False,0.9299999999999997,18.79,True
1998-01-01,EXIDEIND,5.76,6.85,5.4,5.48,1956000,87680,Thursday,False,-0.39999999999999947,-6.8,False,True,1.2700000000000005,21.6,True
1998-02-01,EXIDEIND,5.59,5.95,5.36,5.76,1404000,713310,Sunday,True,0.27999999999999936,5.11,True,True,1.2700000000000005,21.6,True
1998-03-01,EXIDEIND,5.8,7.24,5.65,5.88,18194000,16546320,Sunday,False,0.1200000000000001,2.08,True,True,1.2700000000000005,21.6,True
1998-04-01,EXIDEIND,6.24,8.69,6.05,6.74,16458000,4404690,Wednesday,True,0.8600000000000003,14.63,True,True,1.2700000000000005,21.6,True
1998-05-01,EXIDEIND,6.86,8.15,6.35,6.8,13492000,2446200,Friday,False,0.05999999999999961,0.89,True,True,1.2700000000000005,21.6,True
1998-06-01,EXIDEIND,6.8,7.1,4.03,4.86,4898000,776800,Monday,True,-1.9399999999999995,-28.53,False,True,1.2700000000000005,21.6,True
1998-07-01,EXIDEIND,4.89,6.49,4.68,5.95,4784000,1533810,Wednesday,False,1.0899999999999999,22.43,True,True,1.2700000000000005,21.6,True
1998-08-01,EXIDEIND,5.89,7.19,5.49,6.61,11504000,11038700,Saturday,True,0.6600000000000001,11.09,True,True,1.2700000000000005,21.6,True
1998-09-01,EXIDEIND,6.32,7.49,6.1,7.14,15970000,599760,Tuesday,False,0.5299999999999994,8.02,True,True,1.2700000000000005,21.6,True
1998-10-01,EXIDEIND,6.8,7.74,6.5,7.26,2828000,639100,Thursday,True,0.1200000000000001,1.68,True,True,1.2700000000000005,21.6,True
1998-11-01,EXIDEIND,6.86,7.2,6.75,6.93,1002000,207750,Sunday,False,-0.33000000000000007,-4.55,False,True,1.2700000000000005,21.6,True
