Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,CalenderMonthDay,CalenderYearDay,TradingMonthDay,TradingYearDay,EvenCalenderMonthDay,EvenCalenderYearDay,EvenTradingMonthDay,EvenTradingYearDay,ReturnPoints,ReturnPercentage,PositiveDay,MondayWeeklyDate,MondayWeekNumberMonthly,MondayWeekNumberYearly,EvenMondayWeekNumberMonthly,EvenMondayWeekNumberYearly,MondayWeeklyReturnPoints,MondayWeeklyReturnPercentage,PositiveMondayWeek,ExpiryWeeklyDate,ExpiryWeekNumberMonthly,ExpiryWeekNumberYearly,EvenExpiryWeekNumberMonthly,EvenExpiryWeekNumberYearly,ExpiryWeeklyReturnPoints,ExpiryWeeklyReturnPercentage,PositiveExpiryWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2021-01-12,FINNIFTY,15554.55,15733.0,15510.35,15711.95,0,0,Tuesday,12,12,,,True,True,False,False,,,False,2021-01-11,,,,,,,False,2021-01-14,,,,,,,False,False,,,False,False,,,False
2021-01-13,FINNIFTY,15803.45,15848.25,15480.4,15624.05,0,0,Wednesday,13,13,,,False,False,False,False,-87.90000000000146,-0.56,False,2021-01-11,,,,,,,False,2021-01-14,,,,,,,False,False,,,False,False,,,False
2021-01-14,FINNIFTY,15615.35,15692.7,15567.6,15608.95,0,0,Thursday,14,14,,,True,True,False,False,-15.099999999998545,-0.1,False,2021-01-11,,,,,,,False,2021-01-14,,,,,,,False,False,,,False,False,,,False
2021-01-15,FINNIFTY,15576.9,15613.85,15364.35,15453.45,0,0,Friday,15,15,,,False,False,False,False,-155.5,-1.0,False,2021-01-11,,,,,,,False,2021-01-21,,,,,-62.25,-0.4,False,False,,,False,False,,,False
2021-01-18,FINNIFTY,15484.0,15525.35,15193.9,15246.15,0,0,Monday,18,18,,,True,True,False,False,-207.3000000000011,-1.34,False,2021-01-18,,,,,-311.65000000000146,-2.02,False,2021-01-21,,,,,-62.25,-0.4,False,False,,,False,False,,,False
2021-01-19,FINNIFTY,15356.2,15648.8,15269.15,15614.1,0,0,Tuesday,19,19,,,False,False,False,False,367.9500000000007,2.41,True,2021-01-18,,,,,-311.65000000000146,-2.02,False,2021-01-21,,,,,-62.25,-0.4,False,False,,,False,False,,,False
2021-01-20,FINNIFTY,15613.8,15703.35,15541.85,15663.0,0,0,Wednesday,20,20,,,True,True,False,False,48.899999999999636,0.31,True,2021-01-18,,,,,-311.65000000000146,-2.02,False,2021-01-21,,,,,-62.25,-0.4,False,False,,,False,False,,,False
2021-01-21,FINNIFTY,15721.2,15748.45,15463.65,15546.7,0,0,Thursday,21,21,,,False,False,False,False,-116.29999999999927,-0.74,False,2021-01-18,,,,,-311.65000000000146,-2.02,False,2021-01-21,,,,,-62.25,-0.4,False,False,,,False,False,,,False
2021-01-22,FINNIFTY,15530.75,15538.1,15115.95,15141.8,0,0,Friday,22,22,,,True,True,False,False,-404.90000000000146,-2.6,False,2021-01-18,,,,,-311.65000000000146,-2.02,False,2021-01-28,,,,,-943.8500000000004,-6.07,False,False,,,False,False,,,False
2021-01-25,FINNIFTY,15323.4,15447.8,15102.35,15143.65,0,0,Monday,25,25,,,False,False,False,False,1.8500000000003638,0.01,True,2021-01-25,,,,,-548.5,-3.62,False,2021-01-28,,,,,-943.8500000000004,-6.07,False,False,,,False,False,,,False
2021-01-27,FINNIFTY,15156.75,15156.75,14687.75,14723.9,0,0,Wednesday,27,27,,,False,False,False,False,-419.75,-2.77,False,2021-01-25,,,,,-548.5,-3.62,False,2021-01-28,,,,,-943.8500000000004,-6.07,False,False,,,False,False,,,False
2021-01-28,FINNIFTY,14510.35,14634.95,14352.2,14602.85,0,0,Thursday,28,28,,,True,True,False,False,-121.04999999999927,-0.82,False,2021-01-25,,,,,-548.5,-3.62,False,2021-01-28,,,,,-943.8500000000004,-6.07,False,False,,,False,False,,,False
