Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2021-01-14,FINNIFTY,15554.55,15848.25,15480.4,15608.95,0,0,Thursday,2021-01-08,,,False,False,,,False,False,,,False,False,,,False
2021-01-21,FINNIFTY,15576.9,15748.45,15193.9,15546.7,0,0,Thursday,2021-01-15,,,False,False,-62.25,-0.4,False,False,,,False,False,,,False
2021-01-28,FINNIFTY,15530.75,15538.1,14352.2,14602.85,0,0,Thursday,2021-01-22,,,False,False,-943.8500000000004,-6.07,False,False,,,False,False,,,False
2021-02-04,FINNIFTY,14768.55,16633.55,14545.35,16606.9,0,0,Thursday,2021-01-29,1,,False,False,2004.050000000001,13.72,True,True,1491.9500000000007,10.22,True,False,,,False
2021-02-11,FINNIFTY,16643.7,17080.6,16641.1,16861.85,0,0,Thursday,2021-02-05,2,,True,False,254.9499999999971,1.54,True,True,1491.9500000000007,10.22,True,False,,,False
2021-02-18,FINNIFTY,16843.2,17654.45,16839.55,17000.6,0,0,Thursday,2021-02-12,3,,False,False,138.75,0.82,True,True,1491.9500000000007,10.22,True,False,,,False
2021-02-25,FINNIFTY,16901.1,17214.0,16351.9,16919.3,0,0,Thursday,2021-02-19,4,,True,False,-81.29999999999927,-0.48,False,True,1491.9500000000007,10.22,True,False,,,False
2021-03-04,FINNIFTY,16618.25,16884.35,16011.25,16550.6,0,0,Thursday,2021-02-26,1,,False,False,-368.7000000000007,-2.18,False,False,-369.64999999999964,-2.3,False,False,,,False
2021-03-11,FINNIFTY,16408.5,16772.55,16214.45,16689.7,0,0,Thursday,2021-03-05,2,,True,False,139.10000000000218,0.84,True,False,-369.64999999999964,-2.3,False,False,,,False
2021-03-18,FINNIFTY,16962.85,16962.85,15774.15,15848.6,0,0,Thursday,2021-03-12,3,,False,False,-841.1000000000004,-5.04,False,False,-369.64999999999964,-2.3,False,False,,,False
2021-03-25,FINNIFTY,15733.1,16091.25,15287.65,15474.75,0,0,Thursday,2021-03-19,4,,True,False,-373.85000000000036,-2.36,False,False,-369.64999999999964,-2.3,False,False,,,False
2021-04-01,FINNIFTY,15728.55,16067.9,15614.7,15909.25,0,0,Thursday,2021-03-26,1,,False,False,434.5,2.81,True,True,-155.5,-0.99,False,False,,,False
2021-04-08,FINNIFTY,15847.65,15866.7,15231.6,15525.15,0,0,Thursday,2021-04-02,2,,True,False,-384.10000000000036,-2.41,False,True,-155.5,-0.99,False,False,,,False
2021-04-15,FINNIFTY,15490.0,15591.7,14600.65,15387.4,0,0,Thursday,2021-04-09,3,,False,False,-137.75,-0.89,False,True,-155.5,-0.99,False,False,,,False
2021-04-22,FINNIFTY,15404.35,15479.75,14675.45,15239.5,0,0,Thursday,2021-04-16,4,,True,False,-147.89999999999964,-0.96,False,True,-155.5,-0.99,False,False,,,False
2021-04-29,FINNIFTY,15095.65,16297.55,15049.8,16047.05,0,0,Thursday,2021-04-23,5,,False,False,807.5499999999993,5.3,True,True,-155.5,-0.99,False,False,,,False
2021-05-06,FINNIFTY,15790.8,15872.95,15238.75,15654.7,0,0,Thursday,2021-04-30,1,,False,False,-392.34999999999854,-2.44,False,False,1103.550000000001,7.09,True,False,,,False
2021-05-13,FINNIFTY,15786.65,15974.15,15457.35,15507.35,0,0,Thursday,2021-05-07,2,,True,False,-147.35000000000036,-0.94,False,False,1103.550000000001,7.09,True,False,,,False
2021-05-20,FINNIFTY,15517.95,16208.85,15347.65,15832.4,0,0,Thursday,2021-05-14,3,,False,False,325.0499999999993,2.1,True,False,1103.550000000001,7.09,True,False,,,False
2021-05-27,FINNIFTY,15950.8,16556.9,15948.25,16438.9,0,0,Thursday,2021-05-21,4,,True,False,606.5000000000018,3.83,True,False,1103.550000000001,7.09,True,False,,,False
2021-06-03,FINNIFTY,16531.6,16794.75,16383.7,16780.65,0,0,Thursday,2021-05-28,1,,False,False,341.75,2.08,True,True,-219.5500000000029,-1.32,False,False,,,False
2021-06-10,FINNIFTY,16794.4,16866.3,16402.1,16667.25,0,0,Thursday,2021-06-04,2,,True,False,-113.40000000000146,-0.68,False,True,-219.5500000000029,-1.32,False,False,,,False
2021-06-17,FINNIFTY,16749.0,16763.25,16344.5,16409.55,0,0,Thursday,2021-06-11,3,,False,False,-257.7000000000007,-1.55,False,True,-219.5500000000029,-1.32,False,False,,,False
2021-06-24,FINNIFTY,16484.1,16709.45,16139.95,16520.3,0,0,Thursday,2021-06-18,4,,True,False,110.75,0.67,True,True,-219.5500000000029,-1.32,False,False,,,False
2021-07-01,FINNIFTY,16579.85,16806.7,16361.25,16376.85,0,0,Thursday,2021-06-25,1,,False,False,-143.4499999999989,-0.87,False,False,24.55000000000291,0.15,True,False,,,False
2021-07-08,FINNIFTY,16411.45,16886.8,16347.45,16669.1,0,0,Thursday,2021-07-02,2,,True,False,292.2499999999982,1.78,True,False,24.55000000000291,0.15,True,False,,,False
2021-07-15,FINNIFTY,16618.0,16976.65,16511.4,16926.3,0,0,Thursday,2021-07-09,3,,False,False,257.2000000000007,1.54,True,False,24.55000000000291,0.15,True,False,,,False
2021-07-22,FINNIFTY,16968.45,16974.05,16264.7,16499.2,0,0,Thursday,2021-07-16,4,,True,False,-427.09999999999854,-2.52,False,False,24.55000000000291,0.15,True,False,,,False
2021-07-29,FINNIFTY,16520.0,16685.35,16233.45,16513.6,0,0,Thursday,2021-07-23,5,,False,False,14.399999999997817,0.09,True,False,24.55000000000291,0.15,True,False,,,False
2021-08-05,FINNIFTY,16525.85,17311.4,16428.95,17193.3,0,0,Thursday,2021-07-30,1,,False,False,679.7000000000007,4.12,True,True,1602.0499999999993,9.73,True,False,,,False
2021-08-12,FINNIFTY,17202.35,17345.05,17022.5,17233.5,0,0,Thursday,2021-08-06,2,,True,False,40.20000000000073,0.23,True,True,1602.0499999999993,9.73,True,False,,,False
2021-08-19,FINNIFTY,17252.65,17534.85,17224.95,17273.0,0,0,Thursday,2021-08-13,3,,False,False,39.5,0.23,True,True,1602.0499999999993,9.73,True,False,,,False
2021-08-26,FINNIFTY,17096.75,17574.95,17052.7,17441.4,0,0,Thursday,2021-08-20,4,,True,False,168.40000000000146,0.97,True,True,1602.0499999999993,9.73,True,False,,,False
2021-09-02,FINNIFTY,17424.5,18248.15,17325.65,18181.8,0,0,Thursday,2021-08-27,1,,False,False,740.3999999999978,4.25,True,False,233.09999999999854,1.29,True,False,,,False
2021-09-09,FINNIFTY,18180.3,18286.8,17899.95,18160.55,0,0,Thursday,2021-09-03,2,,True,False,-21.25,-0.12,False,False,233.09999999999854,1.29,True,False,,,False
2021-09-16,FINNIFTY,18146.35,18379.3,18009.15,18356.75,0,0,Thursday,2021-09-10,3,,False,False,196.20000000000073,1.08,True,False,233.09999999999854,1.29,True,False,,,False
2021-09-23,FINNIFTY,18477.45,18634.25,17958.45,18566.2,0,0,Thursday,2021-09-17,4,,True,False,209.45000000000073,1.14,True,False,233.09999999999854,1.29,True,False,,,False
2021-09-30,FINNIFTY,18644.65,18822.05,18261.55,18303.8,0,0,Thursday,2021-09-24,5,,False,False,-262.40000000000146,-1.41,False,False,233.09999999999854,1.29,True,False,,,False
