Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-02-22,FSL,90.1,90.1,76.55,79.55,53656752,4268394752,Thursday,2007-02-16,,,False,False,,,False,True,,,False,False,,,False
2007-03-01,FSL,80.9,85.5,74.1,78.05,46678482,243732992,Thursday,2007-02-23,1,,False,False,-1.5,-1.89,False,False,-6.150000000000006,-7.84,False,False,,,False
2007-03-08,FSL,86.3,86.3,61.15,65.4,13293617,139354192,Thursday,2007-03-02,2,,True,False,-12.649999999999991,-16.21,False,False,-6.150000000000006,-7.84,False,False,,,False
2007-03-15,FSL,66.0,82.0,63.55,74.35,16538428,194180112,Thursday,2007-03-09,3,,False,False,8.949999999999989,13.69,True,False,-6.150000000000006,-7.84,False,False,,,False
2007-03-22,FSL,75.0,78.95,71.5,77.1,5465193,113782480,Thursday,2007-03-16,4,,True,False,2.75,3.7,True,False,-6.150000000000006,-7.84,False,False,,,False
2007-03-29,FSL,78.0,78.0,68.3,73.7,3239616,47030620,Thursday,2007-03-23,5,,False,False,-3.3999999999999915,-4.41,False,False,-6.150000000000006,-7.84,False,False,,,False
2007-04-05,FSL,73.2,74.0,69.5,71.1,1448999,22237662,Thursday,2007-03-30,1,,False,False,-2.6000000000000085,-3.53,False,True,9.400000000000006,13.01,True,False,,,False
2007-04-12,FSL,71.9,75.4,71.55,74.25,2144894,35401584,Thursday,2007-04-06,2,,True,False,3.1500000000000057,4.43,True,True,9.400000000000006,13.01,True,False,,,False
2007-04-19,FSL,75.5,81.7,74.0,78.15,5677004,53773140,Thursday,2007-04-13,3,,False,False,3.9000000000000057,5.25,True,True,9.400000000000006,13.01,True,False,,,False
2007-04-26,FSL,78.95,91.25,78.0,84.85,24584997,143645200,Thursday,2007-04-20,4,,True,False,6.699999999999989,8.57,True,True,9.400000000000006,13.01,True,False,,,False
2007-05-03,FSL,87.25,91.45,80.75,89.15,15765144,874126912,Thursday,2007-04-27,1,,False,False,4.300000000000011,5.07,True,False,0.8999999999999915,1.1,True,False,,,False
2007-05-10,FSL,90.0,92.4,84.0,85.7,16040283,159123808,Thursday,2007-05-04,2,,True,False,-3.450000000000003,-3.87,False,False,0.8999999999999915,1.1,True,False,,,False
2007-05-17,FSL,85.0,93.2,83.5,89.9,17350981,197592112,Thursday,2007-05-11,3,,False,False,4.200000000000003,4.9,True,False,0.8999999999999915,1.1,True,False,,,False
2007-05-24,FSL,90.0,92.0,81.5,83.7,11092291,159661680,Thursday,2007-05-18,4,,True,False,-6.200000000000003,-6.9,False,False,0.8999999999999915,1.1,True,False,,,False
2007-05-31,FSL,83.15,86.5,82.05,82.55,4525711,45424544,Thursday,2007-05-25,5,,False,False,-1.1500000000000057,-1.37,False,False,0.8999999999999915,1.1,True,False,,,False
2007-06-07,FSL,83.0,88.3,82.5,84.5,10470514,109505072,Thursday,2007-06-01,1,,False,False,1.9500000000000028,2.36,True,True,1.6500000000000057,2.0,True,False,,,False
2007-06-14,FSL,84.0,85.5,80.6,83.1,3878790,65857912,Thursday,2007-06-08,2,,True,False,-1.4000000000000057,-1.66,False,True,1.6500000000000057,2.0,True,False,,,False
2007-06-21,FSL,83.8,88.5,82.5,87.5,7375361,230963248,Thursday,2007-06-15,3,,False,False,4.400000000000006,5.29,True,True,1.6500000000000057,2.0,True,False,,,False
2007-06-28,FSL,88.1,88.5,83.0,83.6,2706352,29543988,Thursday,2007-06-22,4,,True,False,-3.9000000000000057,-4.46,False,True,1.6500000000000057,2.0,True,False,,,False
2007-07-05,FSL,84.0,87.35,82.0,82.4,2876693,30574438,Thursday,2007-06-29,1,,False,False,-1.1999999999999886,-1.44,False,False,-2.4000000000000057,-2.85,False,False,,,False
2007-07-12,FSL,83.0,84.25,80.25,81.0,2577220,58787288,Thursday,2007-07-06,2,,True,False,-1.4000000000000057,-1.7,False,False,-2.4000000000000057,-2.85,False,False,,,False
2007-07-19,FSL,82.8,83.0,77.1,79.9,2786518,60592404,Thursday,2007-07-13,3,,False,False,-1.0999999999999943,-1.36,False,False,-2.4000000000000057,-2.85,False,False,,,False
