Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
2007-02-01,FSL,90.1,90.1,74.1,78.4,97212454,351260480,Thursday,True,,,False,False,,,False
2007-03-01,FSL,80.5,86.3,61.15,72.25,41959849,21690534,Thursday,False,-6.150000000000006,-7.84,False,False,,,False
2007-04-01,FSL,71.0,91.25,69.5,81.65,39515698,180585968,Sunday,True,9.400000000000006,13.01,True,False,,,False
2007-05-01,FSL,82.8,93.2,81.5,82.55,58814391,45424544,Tuesday,False,0.8999999999999915,1.1,True,False,,,False
2007-06-01,FSL,83.0,88.5,80.6,84.2,24967346,45158900,Friday,True,1.6500000000000057,2.0,True,False,,,False
2007-07-01,FSL,84.5,87.35,77.0,81.8,12485236,56390140,Sunday,False,-2.4000000000000057,-2.85,False,False,,,False
2007-08-01,FSL,81.0,84.75,69.05,83.85,13324305,108460560,Wednesday,True,2.049999999999997,2.51,True,False,,,False
2007-09-01,FSL,84.25,84.8,70.45,76.5,8183838,46281352,Saturday,False,-7.349999999999994,-8.77,False,False,,,False
2007-10-01,FSL,77.35,80.4,66.1,71.65,9193282,19389996,Monday,True,-4.849999999999994,-6.34,False,False,,,False
2007-11-01,FSL,72.5,73.5,65.0,65.6,6311400,15809272,Thursday,False,-6.050000000000011,-8.44,False,False,,,False
2007-12-01,FSL,66.0,77.5,65.0,76.4,12842946,93060248,Saturday,True,10.800000000000011,16.46,True,False,,,False
2008-01-01,FSL,76.5,89.7,46.2,54.25,27684935,22125374,Tuesday,False,-22.150000000000006,-28.99,False,True,-63.45,-83.05,False
2008-02-01,FSL,54.3,56.7,46.1,51.2,10305971,21168128,Friday,True,-3.049999999999997,-5.62,False,True,-63.45,-83.05,False
2008-03-01,FSL,50.0,50.0,30.2,36.6,11832902,21942322,Saturday,False,-14.600000000000001,-28.52,False,True,-63.45,-83.05,False
2008-04-01,FSL,37.4,47.0,36.2,44.55,9624662,35160016,Tuesday,True,7.949999999999996,21.72,True,True,-63.45,-83.05,False
2008-05-01,FSL,45.35,45.7,39.1,40.75,11294454,11164807,Thursday,False,-3.799999999999997,-8.53,False,True,-63.45,-83.05,False
2008-06-01,FSL,42.0,42.9,31.75,32.35,4168336,6072257,Sunday,True,-8.399999999999999,-20.61,False,True,-63.45,-83.05,False
