Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1997-04-07,GAIL,23.8,24.8,23.2,23.64,164500,1099260,Monday,,,False,False,,,False,True,,,False,False,,,False
1997-04-14,GAIL,24.4,24.9,22.8,24.38,546000,9252210,Monday,,,False,False,0.7399999999999984,3.13,True,True,,,False,False,,,False
1997-04-21,GAIL,25.0,28.75,23.3,28.01,915500,8669095,Monday,,,False,False,3.6300000000000026,14.89,True,True,,,False,False,,,False
1997-04-28,GAIL,28.0,31.92,28.0,29.52,1967000,8221321,Monday,,,False,False,1.509999999999998,5.39,True,True,,,False,False,,,False
1997-05-05,GAIL,28.0,30.96,25.93,29.69,2505500,2716635,Monday,1,,False,False,0.1700000000000017,0.58,True,False,0.39000000000000057,1.28,True,False,,,False
1997-05-12,GAIL,29.2,30.4,27.6,29.76,1216500,3452160,Monday,2,,True,False,0.07000000000000028,0.24,True,False,0.39000000000000057,1.28,True,False,,,False
1997-05-19,GAIL,30.0,30.34,28.1,28.51,560000,1368480,Monday,3,,False,False,-1.25,-4.2,False,False,0.39000000000000057,1.28,True,False,,,False
1997-05-26,GAIL,28.25,31.6,25.4,30.89,1798000,12216995,Monday,4,,True,False,2.379999999999999,8.35,True,False,0.39000000000000057,1.28,True,False,,,False
1997-06-02,GAIL,30.8,37.39,30.21,36.1,3735000,32616350,Monday,1,,False,False,5.210000000000001,16.87,True,True,4.509999999999998,14.6,True,False,,,False
1997-06-09,GAIL,36.48,37.1,34.66,36.28,1566500,9106280,Monday,2,,True,False,0.17999999999999972,0.5,True,True,4.509999999999998,14.6,True,False,,,False
1997-06-16,GAIL,35.96,35.96,31.72,32.9,397500,559300,Monday,3,,False,False,-3.3800000000000026,-9.32,False,True,4.509999999999998,14.6,True,False,,,False
1997-06-23,GAIL,32.8,36.8,32.4,36.43,1448500,36757868,Monday,4,,True,False,3.530000000000001,10.73,True,True,4.509999999999998,14.6,True,False,,,False
1997-06-30,GAIL,36.1,37.1,33.0,33.23,922500,21915184,Monday,5,,False,False,-3.200000000000003,-8.78,False,True,4.509999999999998,14.6,True,False,,,False
1997-07-07,GAIL,32.4,33.2,26.95,29.99,1941500,16419525,Monday,1,,False,False,-3.2399999999999984,-9.75,False,False,-5.68,-16.05,False,False,,,False
1997-07-14,GAIL,29.6,29.88,25.36,27.22,1619500,20904960,Monday,2,,True,False,-2.7699999999999996,-9.24,False,False,-5.68,-16.05,False,False,,,False
1997-07-21,GAIL,26.4,29.6,26.22,28.83,523000,1672140,Monday,3,,False,False,1.6099999999999994,5.91,True,False,-5.68,-16.05,False,False,,,False
1997-07-28,GAIL,28.65,30.78,28.2,30.5,243500,1784250,Monday,4,,True,False,1.6700000000000017,5.79,True,False,-5.68,-16.05,False,False,,,False
1997-08-04,GAIL,31.55,35.66,29.6,34.86,1136500,3956610,Monday,1,,False,False,4.359999999999999,14.3,True,True,-2.5299999999999976,-8.51,False,False,,,False
1997-08-11,GAIL,35.0,38.0,31.45,36.97,1198500,4917010,Monday,2,,True,False,2.1099999999999994,6.05,True,True,-2.5299999999999976,-8.51,False,False,,,False
1997-08-18,GAIL,36.65,36.7,34.1,34.32,735000,7687681,Monday,3,,False,False,-2.6499999999999986,-7.17,False,True,-2.5299999999999976,-8.51,False,False,,,False
1997-08-25,GAIL,34.08,34.1,27.0,27.19,2358000,29351604,Monday,4,,True,False,-7.129999999999999,-20.78,False,True,-2.5299999999999976,-8.51,False,False,,,False
1997-09-01,GAIL,27.7,34.3,25.6,34.2,3732000,43981200,Monday,1,,False,False,7.010000000000002,25.78,True,False,4.66,17.14,True,False,,,False
1997-09-08,GAIL,33.62,35.1,31.25,31.84,3666000,12194720,Monday,2,,True,False,-2.360000000000003,-6.9,False,False,4.66,17.14,True,False,,,False
1997-09-15,GAIL,31.6,31.85,28.25,31.11,5823000,47038320,Monday,3,,False,False,-0.7300000000000004,-2.29,False,False,4.66,17.14,True,False,,,False
1997-09-22,GAIL,31.25,31.99,29.23,31.35,1744000,2711775,Monday,4,,True,False,0.240000000000002,0.77,True,False,4.66,17.14,True,False,,,False
