Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,StartDate,WeekNumberMonthly,WeekNumberYearly,EvenWeekNumberMonthly,EvenWeekNumberYearly,ReturnPoints,ReturnPercentage,PositiveWeek,EvenMonth,MonthlyReturnPoints,MonthlyReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1997-04-17,GAIL,23.8,24.9,22.8,24.38,710500,9252210,Thursday,1997-04-11,,,False,False,,,False,True,,,False,False,,,False
1997-04-24,GAIL,25.0,26.62,23.3,26.14,606000,7371480,Thursday,1997-04-18,,,False,False,1.7600000000000016,7.22,True,True,,,False,False,,,False
1997-05-01,GAIL,26.55,31.92,26.3,30.5,1998000,16485250,Thursday,1997-04-25,1,,False,False,4.359999999999999,16.68,True,False,0.39000000000000057,1.28,True,False,,,False
1997-05-08,GAIL,30.21,30.96,25.93,29.65,2692500,16500225,Thursday,1997-05-02,2,,True,False,-0.8500000000000014,-2.79,False,False,0.39000000000000057,1.28,True,False,,,False
1997-05-15,GAIL,29.95,30.4,27.6,29.95,1192000,8415950,Thursday,1997-05-09,3,,False,False,0.3000000000000007,1.01,True,False,0.39000000000000057,1.28,True,False,,,False
1997-05-22,GAIL,29.99,30.34,28.4,28.76,628000,359500,Thursday,1997-05-16,4,,True,False,-1.1899999999999977,-3.97,False,False,0.39000000000000057,1.28,True,False,,,False
1997-05-29,GAIL,28.79,29.0,25.4,28.99,1450500,22365784,Thursday,1997-05-23,5,,False,False,0.22999999999999687,0.8,True,False,0.39000000000000057,1.28,True,False,,,False
1997-06-05,GAIL,29.16,34.88,29.16,34.79,3227000,22857030,Thursday,1997-05-30,1,,False,False,5.800000000000001,20.01,True,True,4.509999999999998,14.6,True,False,,,False
1997-06-12,GAIL,34.6,37.39,34.31,36.8,2219000,2870400,Thursday,1997-06-06,2,,True,False,2.009999999999998,5.78,True,True,4.509999999999998,14.6,True,False,,,False
1997-06-19,GAIL,37.1,37.1,31.72,33.19,631500,1891830,Thursday,1997-06-13,3,,False,False,-3.6099999999999994,-9.81,False,True,4.509999999999998,14.6,True,False,,,False
1997-06-26,GAIL,33.0,36.69,32.4,35.84,456500,4067840,Thursday,1997-06-20,4,,True,False,2.6500000000000057,7.98,True,True,4.509999999999998,14.6,True,False,,,False
1997-07-03,GAIL,36.2,37.1,34.44,35.39,1272000,902445,Thursday,1997-06-27,1,,False,False,-0.45000000000000284,-1.26,False,False,-5.68,-16.05,False,False,,,False
1997-07-10,GAIL,35.11,35.4,26.95,29.71,2053500,4917005,Thursday,1997-07-04,2,,True,False,-5.68,-16.05,False,False,-5.68,-16.05,False,False,,,False
1997-07-17,GAIL,29.99,30.1,25.36,27.22,2167000,20904960,Thursday,1997-07-11,3,,False,False,-2.490000000000002,-8.38,False,False,-5.68,-16.05,False,False,,,False
1997-07-24,GAIL,26.4,29.6,26.22,28.91,465000,3064460,Thursday,1997-07-18,4,,True,False,1.6900000000000013,6.21,True,False,-5.68,-16.05,False,False,,,False
1997-07-31,GAIL,28.35,29.89,28.2,29.72,243000,1129360,Thursday,1997-07-25,5,,False,False,0.8099999999999987,2.8,True,False,-5.68,-16.05,False,False,,,False
1997-08-07,GAIL,30.02,35.66,29.6,34.92,1081500,17686980,Thursday,1997-08-01,1,,False,False,5.200000000000003,17.5,True,True,-2.5299999999999976,-8.51,False,False,,,False
1997-08-14,GAIL,34.8,38.0,31.45,36.97,1312000,4917010,Thursday,1997-08-08,2,,True,False,2.049999999999997,5.87,True,True,-2.5299999999999976,-8.51,False,False,,,False
1997-08-21,GAIL,36.65,36.7,35.11,35.8,511000,3347300,Thursday,1997-08-15,3,,False,False,-1.1700000000000017,-3.16,False,True,-2.5299999999999976,-8.51,False,False,,,False
1997-08-28,GAIL,36.0,36.0,28.53,28.66,1502500,13269580,Thursday,1997-08-22,4,,True,False,-7.139999999999997,-19.94,False,True,-2.5299999999999976,-8.51,False,False,,,False
1997-09-04,GAIL,30.52,31.29,25.6,31.18,3525500,31070868,Thursday,1997-08-29,1,,False,False,2.5199999999999996,8.79,True,False,4.66,17.14,True,False,,,False
1997-09-11,GAIL,31.56,35.1,31.25,32.98,4569000,19705550,Thursday,1997-09-05,2,,True,False,1.7999999999999972,5.77,True,False,4.66,17.14,True,False,,,False
1997-09-18,GAIL,32.45,32.8,28.25,29.93,4694000,73837304,Thursday,1997-09-12,3,,False,False,-3.049999999999997,-9.25,False,False,4.66,17.14,True,False,,,False
1997-09-25,GAIL,30.29,31.99,29.23,31.54,3169500,4352520,Thursday,1997-09-19,4,,True,False,1.6099999999999994,5.38,True,False,4.66,17.14,True,False,,,False
1997-10-02,GAIL,31.58,32.62,31.21,31.91,731500,9126260,Thursday,1997-09-26,1,,False,False,0.370000000000001,1.17,True,True,-5.560000000000002,-17.46,False,False,,,False
1997-10-09,GAIL,31.72,31.89,30.68,30.86,150500,4644430,Thursday,1997-10-03,2,,True,False,-1.0500000000000007,-3.29,False,True,-5.560000000000002,-17.46,False,False,,,False
1997-10-16,GAIL,31.27,32.8,29.96,32.22,2185000,23810580,Thursday,1997-10-10,3,,False,False,1.3599999999999994,4.41,True,True,-5.560000000000002,-17.46,False,False,,,False
1997-10-23,GAIL,32.78,33.8,26.8,28.39,3544000,3889430,Thursday,1997-10-17,4,,True,False,-3.8299999999999983,-11.89,False,True,-5.560000000000002,-17.46,False,False,,,False
1997-10-30,GAIL,28.22,28.22,24.76,26.29,3443000,6033555,Thursday,1997-10-24,5,,False,False,-2.1000000000000014,-7.4,False,True,-5.560000000000002,-17.46,False,False,,,False
1997-11-06,GAIL,26.2,26.4,23.6,24.9,5307000,22696350,Thursday,1997-10-31,1,,False,False,-1.3900000000000006,-5.29,False,False,-1.5500000000000007,-5.9,False,False,,,False
1997-11-13,GAIL,24.63,25.0,23.21,23.88,2083000,5301360,Thursday,1997-11-07,2,,True,False,-1.0199999999999996,-4.1,False,False,-1.5500000000000007,-5.9,False,False,,,False
1997-11-20,GAIL,23.71,24.88,23.7,24.68,670500,1443780,Thursday,1997-11-14,3,,False,False,0.8000000000000007,3.35,True,False,-1.5500000000000007,-5.9,False,False,,,False
1997-11-27,GAIL,24.78,25.16,23.84,25.0,1909500,6712500,Thursday,1997-11-21,4,,True,False,0.3200000000000003,1.3,True,False,-1.5500000000000007,-5.9,False,False,,,False
1997-12-04,GAIL,24.71,24.93,23.7,24.33,1193500,2019390,Thursday,1997-11-28,1,,False,False,-0.6700000000000017,-2.68,False,True,0.11000000000000298,0.44,True,False,,,False
1997-12-11,GAIL,24.25,24.7,22.76,23.35,612500,2218250,Thursday,1997-12-05,2,,True,False,-0.9799999999999969,-4.03,False,True,0.11000000000000298,0.44,True,False,,,False
1997-12-18,GAIL,23.3,24.4,23.2,23.99,413500,1859225,Thursday,1997-12-12,3,,False,False,0.639999999999997,2.74,True,True,0.11000000000000298,0.44,True,False,,,False
1997-12-25,GAIL,23.95,25.07,23.9,24.61,269500,849045,Thursday,1997-12-19,4,,True,False,0.620000000000001,2.58,True,True,0.11000000000000298,0.44,True,False,,,False
1998-01-01,GAIL,24.76,26.0,24.5,25.32,292000,1303980,Thursday,1997-12-26,1,1,False,False,0.7100000000000009,2.89,True,False,-3.6799999999999997,-14.81,False,True,-7.800000000000001,-31.39,False
1998-01-08,GAIL,25.3,26.4,25.01,25.31,463000,1721080,Thursday,1998-01-02,2,2,True,True,-0.010000000000001563,-0.04,False,False,-3.6799999999999997,-14.81,False,True,-7.800000000000001,-31.39,False
1998-01-15,GAIL,24.6,24.6,19.8,20.79,1818500,9989595,Thursday,1998-01-09,3,3,False,False,-4.52,-17.86,False,False,-3.6799999999999997,-14.81,False,True,-7.800000000000001,-31.39,False
