Date,Ticker,Open,High,Low,Close,Volume,OpenInterest,Weekday,EvenMonth,ReturnPoints,ReturnPercentage,PositiveMonth,EvenYear,YearlyReturnPoints,YearlyReturnPercentage,PositiveYear
1997-04-01,GAIL,23.8,31.92,22.8,30.5,3314500,16485250,Tuesday,True,,,False,False,,,False
1997-05-01,GAIL,30.21,31.6,25.4,30.89,6358500,12216995,Thursday,False,0.39000000000000057,1.28,True,False,,,False
1997-06-01,GAIL,30.8,37.39,30.21,35.4,7171500,849600,Sunday,True,4.509999999999998,14.6,True,False,,,False
1997-07-01,GAIL,35.6,37.1,25.36,29.72,5167500,1129360,Tuesday,False,-5.68,-16.05,False,False,,,False
1997-08-01,GAIL,30.02,38.0,27.0,27.19,5486500,29351604,Friday,True,-2.5299999999999976,-8.51,False,False,,,False
1997-09-01,GAIL,27.7,35.1,25.6,31.85,15324000,4379375,Monday,False,4.66,17.14,True,False,,,False
1997-10-01,GAIL,31.82,33.8,24.76,26.29,9608500,6033555,Wednesday,True,-5.560000000000002,-17.46,False,False,,,False
1997-11-01,GAIL,26.2,26.4,23.21,24.74,10233000,6506620,Saturday,False,-1.5500000000000007,-5.9,False,False,,,False
1997-12-01,GAIL,24.05,26.0,22.76,24.85,2466500,956725,Monday,True,0.11000000000000298,0.44,True,False,,,False
1998-01-01,GAIL,24.66,26.4,19.8,21.17,3452500,465740,Thursday,False,-3.6799999999999997,-14.81,False,True,-7.800000000000001,-31.39,False
1998-02-01,GAIL,21.2,25.78,20.35,24.7,2967000,5384600,Sunday,True,3.5299999999999976,16.67,True,True,-7.800000000000001,-31.39,False
1998-03-01,GAIL,24.8,25.6,22.0,23.94,3145000,8893710,Sunday,False,-0.759999999999998,-3.08,False,True,-7.800000000000001,-31.39,False
1998-04-01,GAIL,25.16,27.0,22.61,23.71,6169000,1683410,Wednesday,True,-0.23000000000000043,-0.96,False,True,-7.800000000000001,-31.39,False
1998-05-01,GAIL,23.93,24.0,20.8,21.91,1987000,887355,Friday,False,-1.8000000000000007,-7.59,False,True,-7.800000000000001,-31.39,False
1998-06-01,GAIL,23.15,24.0,16.41,18.64,2250000,1621680,Monday,True,-3.2699999999999996,-14.92,False,True,-7.800000000000001,-31.39,False
1998-07-01,GAIL,18.2,19.4,17.0,18.49,1410000,536210,Wednesday,False,-0.15000000000000213,-0.8,False,True,-7.800000000000001,-31.39,False
1998-08-01,GAIL,18.4,20.33,17.2,19.72,704500,512720,Saturday,True,1.2300000000000004,6.65,True,True,-7.800000000000001,-31.39,False
1998-09-01,GAIL,19.4,22.7,18.6,19.89,1104000,527085,Tuesday,False,0.1700000000000017,0.86,True,True,-7.800000000000001,-31.39,False
1998-10-01,GAIL,19.1,19.3,13.47,14.0,1550500,28000,Thursday,True,-5.890000000000001,-29.61,False,True,-7.800000000000001,-31.39,False
1998-11-01,GAIL,14.2,15.1,13.41,14.41,966000,172920,Sunday,False,0.41000000000000014,2.93,True,True,-7.800000000000001,-31.39,False
1998-12-01,GAIL,14.8,19.5,14.36,17.05,578000,1645325,Tuesday,True,2.6400000000000006,18.32,True,True,-7.800000000000001,-31.39,False
1999-01-01,GAIL,16.4,17.6,12.5,13.6,1459500,1428000,Friday,False,-3.450000000000001,-20.23,False,False,-3.49,-20.47,False
1999-02-01,GAIL,13.6,13.6,10.76,11.7,77049920,2091726,Monday,True,-1.9000000000000004,-13.97,False,False,-3.49,-20.47,False
1999-03-01,GAIL,11.6,13.2,11.0,12.2,2333645,720959,Monday,False,0.5,4.27,True,False,-3.49,-20.47,False
1999-04-01,GAIL,12.58,12.78,11.0,12.01,911400,249688,Thursday,True,-0.1899999999999995,-1.56,False,False,-3.49,-20.47,False
1999-05-01,GAIL,12.1,16.8,11.82,14.09,3592000,1684248,Saturday,False,2.08,17.32,True,False,-3.49,-20.47,False
1999-06-01,GAIL,14.26,14.3,12.3,12.39,2656060,1626188,Tuesday,True,-1.6999999999999993,-12.07,False,False,-3.49,-20.47,False
1999-07-01,GAIL,12.8,16.98,12.35,14.1,21807775,4035279,Thursday,False,1.709999999999999,13.8,True,False,-3.49,-20.47,False
1999-08-01,GAIL,13.71,16.4,13.51,15.79,6856905,2269339,Sunday,True,1.6899999999999995,11.99,True,False,-3.49,-20.47,False
1999-09-01,GAIL,15.98,19.2,14.4,15.98,12322890,5740416,Wednesday,False,0.19000000000000128,1.2,True,False,-3.49,-20.47,False
1999-10-01,GAIL,16.02,21.3,15.5,15.87,7177865,3868233,Friday,True,-0.11000000000000121,-0.69,False,False,-3.49,-20.47,False
